# file...... 986.csv
# date...... Wed Aug  3 18:07:40 2022
# user...... duncanr
# host...... (null)
# target.... triplex_meter 1239
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,voltage_1,voltage_2
2000-01-01 00:00:00 EST,-57.8018+99.1463j,-60.875+105.059j
2000-01-01 00:01:00 EST,-58.5922+100.527j,-61.6227+106.36j
2000-01-01 00:02:00 EST,-59.4019+101.941j,-62.39+107.694j
2000-01-01 00:03:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:04:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:05:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:06:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:07:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:08:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:09:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:10:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:11:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:12:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:13:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:14:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:15:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:16:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:17:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:18:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:19:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:20:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:21:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:22:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:23:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:24:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:25:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:26:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:27:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:28:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:29:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:30:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:31:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:32:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:33:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:34:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:35:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:36:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:37:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:38:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:39:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:40:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:41:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:42:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:43:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:44:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:45:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:46:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:47:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:48:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:49:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:50:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:51:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:52:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:53:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:54:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:55:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:56:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:57:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:58:00 EST,-60.2317+103.391j,-63.1775+109.063j
2000-01-01 00:59:00 EST,-60.2317+103.391j,-63.1775+109.063j
# end of tape
