# file...... R5-35.00-1_reg_output.csv
# date...... Wed Aug  3 18:07:40 2022
# user...... duncanr
# host...... (null)
# target.... regulator 0
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+5.25139e+06,+2.92246e+06,+4.42293e+06,+2.45989e+06,+5.71809e+06,+3.18524e+06,+1.53924e+07,+8.56759e+06
2000-01-01 00:01:00 EST,2,2,2,+5.24254e+06,+2.91871e+06,+4.41629e+06,+2.45713e+06,+5.70782e+06,+3.18091e+06,+1.53667e+07,+8.55675e+06
2000-01-01 00:02:00 EST,4,4,4,+5.23392e+06,+2.91507e+06,+4.40982e+06,+2.45443e+06,+5.69784e+06,+3.17673e+06,+1.53416e+07,+8.54623e+06
2000-01-01 00:03:00 EST,6,6,6,+5.22552e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:04:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:05:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:06:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:07:00 EST,6,6,6,+5.22552e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:08:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:09:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:10:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:11:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:12:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:13:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:14:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:15:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:16:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:17:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:18:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:19:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:20:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
2000-01-01 00:21:00 EST,6,6,6,+5.22551e+06,+2.91153e+06,+4.40349e+06,+2.45181e+06,+5.68815e+06,+3.17267e+06,+1.53172e+07,+8.53601e+06
