Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.7264,0.0000,0.1312,0.0383,0.0003,0.0940,0.2565,0.0768,0.0839,0.2104,0.0342,0.0000
1,WEEKDAY,1,0.7447,0.0000,0.1324,0.0383,0.0003,0.0940,0.2565,0.0768,0.0839,0.2104,0.0342,0.0000
1,WEEKDAY,2,0.7703,0.0000,0.1335,0.0383,0.0003,0.0940,0.2565,0.0773,0.0839,0.2104,0.0342,0.0000
1,WEEKDAY,3,0.7809,0.0000,0.1345,0.0384,0.0003,0.0940,0.2565,0.0843,0.0842,0.2107,0.0352,0.0007
1,WEEKDAY,4,0.8136,0.0000,0.1360,0.0387,0.0005,0.0940,0.2565,0.1132,0.0872,0.2133,0.0458,0.0079
1,WEEKDAY,5,0.8255,0.0000,0.1376,0.0403,0.0011,0.0941,0.2565,0.1521,0.0963,0.2208,0.0769,0.0290
1,WEEKDAY,6,0.8165,0.0000,0.1565,0.0422,0.0037,0.0955,0.2565,0.2671,0.2110,0.2292,0.0913,0.0388
1,WEEKDAY,7,0.7520,0.0000,0.1473,0.0512,0.0092,0.1004,0.1676,0.5151,0.4578,0.2351,0.0975,0.0430
1,WEEKDAY,8,1.3250,0.0000,0.1513,0.0612,0.0142,0.1060,0.0000,0.8184,0.6225,0.2383,0.1003,0.0449
1,WEEKDAY,9,0.9046,0.0254,0.1390,0.0733,0.0166,0.1097,0.0000,1.0004,0.7155,0.2392,0.1016,0.0458
1,WEEKDAY,10,0.6961,0.0319,0.1295,0.0751,0.0171,0.1104,0.0000,1.0324,0.7453,0.2393,0.1020,0.0460
1,WEEKDAY,11,0.5424,0.0140,0.1175,0.0733,0.0171,0.1105,0.0000,1.0048,0.7487,0.2393,0.1020,0.0460
1,WEEKDAY,12,0.4432,0.0228,0.1151,0.0752,0.0168,0.1103,0.0000,1.0005,0.7489,0.2393,0.1020,0.0460
1,WEEKDAY,13,0.3366,0.0533,0.1164,0.0735,0.0164,0.1098,0.0000,1.0121,0.7473,0.2391,0.1018,0.0459
1,WEEKDAY,14,0.2721,0.0808,0.1188,0.0723,0.0152,0.1085,0.0000,1.0130,0.7269,0.2373,0.0999,0.0446
1,WEEKDAY,15,0.3069,0.0647,0.1209,0.0702,0.0126,0.1066,0.0000,0.9411,0.6692,0.2333,0.0942,0.0407
1,WEEKDAY,16,0.4692,0.0120,0.1248,0.0662,0.0084,0.1026,0.0000,0.7257,0.5656,0.2270,0.0829,0.0330
