Month,Daytype,Hour,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0000,0.0420,0.1019,1.9342,0.0951,0.3855,0.0023,0.0100,0.0007,0.0115
1,WEEKDAY,1,0.0000,0.1237,0.0147,1.9393,0.0951,0.3855,0.0020,0.0078,0.0007,0.0115
1,WEEKDAY,2,0.0000,0.2323,0.0009,1.9416,0.0951,0.2881,0.0020,0.0078,0.0007,0.0115
1,WEEKDAY,3,0.0000,0.2323,0.0178,1.9497,0.0951,0.2902,0.0024,0.0117,0.0007,0.0115
1,WEEKDAY,4,0.0000,0.2323,0.1528,1.9589,0.0951,0.2976,0.0038,0.0249,0.0013,0.0231
1,WEEKDAY,5,0.0000,0.2323,0.3580,2.0702,0.0951,0.3323,0.0164,0.0471,0.0022,0.0384
1,WEEKDAY,6,0.0000,0.2329,0.5390,2.0587,0.0951,0.8278,0.0261,0.0723,0.0035,0.0615
1,WEEKDAY,7,0.0000,0.2333,0.6261,1.9844,0.0716,1.1984,0.0516,0.0812,0.0042,0.0730
1,WEEKDAY,8,0.0000,0.2327,0.6765,1.9255,0.0000,1.2381,0.0553,0.0907,0.0042,0.0730
1,WEEKDAY,9,0.0005,0.2329,0.6766,2.0201,0.0000,1.2385,0.0564,0.1180,0.0042,0.0730
1,WEEKDAY,10,0.0009,0.2334,0.6766,2.0393,0.0000,1.2385,0.0565,0.1362,0.0042,0.0730
1,WEEKDAY,11,0.0247,0.2335,0.6755,2.0789,0.0000,1.2385,0.0565,0.1499,0.0042,0.0730
1,WEEKDAY,12,0.0551,0.2333,0.6658,2.2267,0.0000,1.2385,0.0565,0.1499,0.0042,0.0730
1,WEEKDAY,13,0.0795,0.2332,0.6354,2.2701,0.0000,1.2385,0.0565,0.1499,0.0042,0.0730
1,WEEKDAY,14,0.0926,0.2331,0.5947,2.4117,0.0000,1.2375,0.0565,0.1499,0.0042,0.0730
1,WEEKDAY,15,0.0957,0.2330,0.5652,2.4482,0.0000,1.2315,0.0565,0.1499,0.0042,0.0730
1,WEEKDAY,16,0.0922,0.2329,0.5489,2.3672,0.0000,1.2275,0.0565,0.1497,0.0042,0.0730
1,WEEKDAY,17,0.0782,0.2328,0.5391,2.3574,0.0951,1.2002,0.0562,0.1347,0.0042,0.0730
1,WEEKDAY,18,0.0371,0.2325,0.5315,2.2208,0.1065,1.2004,0.0548,0.1214,0.0042,0.0730
1,WEEKDAY,19,0.0110,0.2319,0.4776,2.1846,0.1065,1.1851,0.0315,0.0659,0.0035,0.0615
1,WEEKDAY,20,0.0000,0.2320,0.4042,2.1640,0.1065,1.1469,0.0220,0.0440,0.0027,0.0461
1,WEEKDAY,21,0.0000,0.2320,0.2620,2.0585,0.0951,1.0495,0.0086,0.0271,0.0018,0.0307
1,WEEKDAY,22,0.0000,0.2320,0.1945,2.0542,0.0951,0.9032,0.0057,0.0171,0.0004,0.0077
1,WEEKDAY,23,0.0000,0.2232,0.1698,1.9381,0.0951,0.4185,0.0047,0.0125,0.0004,0.0077
1,SATURDAY,0,0.0000,0.0330,0.1019,1.9342,0.0951,0.3855,0.0023,0.0100,0.0007,0.0115
