Month,Daytype,Hour,Heating,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.3788,0.0191,0.2456,0.0134,0.0935,0.2804,0.1168,0.0135,0.0396,0.0209,0.0015
1,WEEKDAY,1,0.4267,0.0152,0.2467,0.0134,0.0897,0.2804,0.1100,0.0129,0.0329,0.0134,0.0004
1,WEEKDAY,2,0.4524,0.0135,0.2466,0.0134,0.0880,0.2804,0.1081,0.0124,0.0279,0.0107,0.0000
1,WEEKDAY,3,0.4873,0.0140,0.2465,0.0134,0.0880,0.2804,0.1081,0.0124,0.0279,0.0107,0.0000
1,WEEKDAY,4,0.5368,0.0151,0.2469,0.0301,0.0930,0.2804,0.1712,0.0131,0.0296,0.0157,0.0008
1,WEEKDAY,5,0.4703,0.0164,0.2228,0.0725,0.0995,0.2804,0.3719,0.0160,0.0446,0.0408,0.0046
1,WEEKDAY,6,0.4343,0.0192,0.2222,0.1188,0.1035,0.2804,0.3663,0.0188,0.0563,0.0566,0.0070
1,WEEKDAY,7,0.3966,0.0244,0.2239,0.1360,0.1063,0.0000,0.4149,0.0206,0.0613,0.0617,0.0077
1,WEEKDAY,8,0.2698,0.0278,0.2085,0.1274,0.1088,0.0000,0.3967,0.0215,0.0647,0.0614,0.0077
1,WEEKDAY,9,0.1488,0.0471,0.2014,0.1117,0.1112,0.0000,0.3006,0.0214,0.0655,0.0584,0.0072
1,WEEKDAY,10,0.0865,0.0488,0.1984,0.1020,0.1119,0.0000,0.2045,0.0206,0.0680,0.0556,0.0068
1,WEEKDAY,11,0.0636,0.0475,0.1936,0.1420,0.1119,0.0000,0.2070,0.0203,0.0696,0.0545,0.0066
1,WEEKDAY,12,0.0572,0.0402,0.1896,0.1506,0.1120,0.0000,0.2066,0.0199,0.0696,0.0545,0.0066
1,WEEKDAY,13,0.0464,0.0409,0.1869,0.1460,0.1121,0.0000,0.2064,0.0202,0.0705,0.0544,0.0066
1,WEEKDAY,14,0.0494,0.0359,0.1867,0.1221,0.1122,0.0000,0.2068,0.0213,0.0713,0.0554,0.0068
1,WEEKDAY,15,0.0506,0.0338,0.1948,0.1114,0.1122,0.0000,0.2070,0.0215,0.0763,0.0568,0.0070
1,WEEKDAY,16,0.0633,0.0361,0.2444,0.1181,0.1121,0.0000,0.2101,0.0213,0.0813,0.0548,0.0067
1,WEEKDAY,17,0.0857,0.0309,0.2489,0.1397,0.1113,0.0000,0.2357,0.0206,0.0855,0.0518,0.0062
1,WEEKDAY,18,0.1018,0.0271,0.2104,0.1363,0.1099,0.0000,0.4244,0.0198,0.0863,0.0711,0.0092
1,WEEKDAY,19,0.1161,0.0300,0.2332,0.1317,0.1089,0.3060,0.4464,0.0192,0.0863,0.0750,0.0098
1,WEEKDAY,20,0.1307,0.0309,0.2403,0.1212,0.1070,0.3060,0.4484,0.0183,0.0746,0.0769,0.0100
1,WEEKDAY,21,0.1840,0.0310,0.2460,0.1085,0.1036,0.3060,0.4456,0.0178,0.0613,0.0702,0.0090
1,WEEKDAY,22,0.2537,0.0287,0.2483,0.0822,0.0996,0.3060,0.2972,0.0169,0.0530,0.0423,0.0048
1,WEEKDAY,23,0.3238,0.0281,0.2477,0.0264,0.0968,0.2804,0.2252,0.0147,0.0479,0.0259,0.0023
1,SATURDAY,0,0.3070,0.0182,0.2471,0.0134,0.0936,0.2804,0.1168,0.0136,0.0398,0.0209,0.0019
1,SATURDAY,1,0.3952,0.0089,0.2468,0.0134,0.0897,0.2804,0.1100,0.0129,0.0330,0.0134,0.0005
1,SATURDAY,2,0.4111,0.0204,0.2466,0.0134,0.0880,0.2804,0.1081,0.0124,0.0279,0.0107,0.0000
1,SATURDAY,3,0.4396,0.0217,0.2465,0.0134,0.0880,0.2804,0.1081,0.0124,0.0279,0.0107,0.0000
1,SATURDAY,4,0.4578,0.0205,0.2469,0.0301,0.0931,0.2804,0.1693,0.0131,0.0296,0.0157,0.0009
1,SATURDAY,5,0.4726,0.0156,0.2158,0.0725,0.0996,0.2804,0.3578,0.0162,0.0450,0.0410,0.0056
1,SATURDAY,6,0.4392,0.0237,0.2322,0.1188,0.1037,0.2804,0.3585,0.0191,0.0569,0.0569,0.0085
1,SATURDAY,7,0.4061,0.0256,0.2169,0.1360,0.1066,0.0000,0.4116,0.0210,0.0620,0.0620,0.0094
1,SATURDAY,8,0.3463,0.0258,0.2093,0.1274,0.1091,0.0000,0.3967,0.0220,0.0655,0.0617,0.0094
