Month,Daytype,Hour,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0000,0.0000,0.0079,0.0016,0.0170,0.1190,0.1200,0.0245,0.0070,0.0000,0.0000
1,WEEKDAY,1,0.0000,0.0000,0.0079,0.0016,0.0170,0.1190,0.1200,0.0245,0.0070,0.0000,0.0000
1,WEEKDAY,2,0.0000,0.0000,0.0079,0.0016,0.0170,0.1190,0.1252,0.0245,0.0070,0.0000,0.0000
1,WEEKDAY,3,0.0000,0.0000,0.0082,0.0017,0.0170,0.1190,0.1926,0.0278,0.0078,0.0037,0.0007
1,WEEKDAY,4,0.0000,0.0000,0.0099,0.0029,0.0173,0.1190,0.4343,0.0543,0.0135,0.0425,0.0079
1,WEEKDAY,5,0.0000,0.0000,0.0124,0.0058,0.0182,0.1190,0.6355,0.1110,0.0244,0.1555,0.0290
1,WEEKDAY,6,0.0000,0.2252,0.0143,0.0074,0.0189,0.1190,0.7426,0.1424,0.0318,0.2079,0.0388
1,WEEKDAY,7,0.0000,0.2252,0.0151,0.0082,0.0194,0.1190,0.7926,0.1611,0.0362,0.2305,0.0430
1,WEEKDAY,8,0.0000,0.2252,0.0149,0.0085,0.0197,0.0000,0.8216,0.1725,0.0384,0.2408,0.0449
1,WEEKDAY,9,0.0000,0.2252,0.0146,0.0085,0.0197,0.0000,0.8220,0.1775,0.0388,0.2456,0.0458
1,WEEKDAY,10,0.0000,0.2252,0.0148,0.0085,0.0197,0.0000,0.8135,0.1787,0.0388,0.2468,0.0460
1,WEEKDAY,11,0.0000,0.2252,0.0149,0.0085,0.0197,0.0000,0.8069,0.1789,0.0388,0.2470,0.0460
1,WEEKDAY,12,0.0000,0.2252,0.0147,0.0084,0.0197,0.0000,0.8074,0.1782,0.0388,0.2470,0.0460
1,WEEKDAY,13,0.0000,0.2252,0.0145,0.0082,0.0196,0.0000,0.8105,0.1739,0.0386,0.2463,0.0459
1,WEEKDAY,14,0.0000,0.2252,0.0142,0.0079,0.0195,0.0000,0.8110,0.1679,0.0372,0.2394,0.0446
1,WEEKDAY,15,0.0000,0.2252,0.0138,0.0072,0.0192,0.0000,0.7877,0.1551,0.0342,0.2184,0.0407
1,WEEKDAY,16,0.0000,0.2252,0.0131,0.0062,0.0189,0.0000,0.7342,0.1324,0.0293,0.1772,0.0330
1,WEEKDAY,17,0.0000,0.2252,0.0118,0.0047,0.0183,0.1190,0.6631,0.0979,0.0222,0.1134,0.0211
1,WEEKDAY,18,0.0000,0.0000,0.0096,0.0025,0.0175,0.1190,0.5772,0.0488,0.0123,0.0366,0.0068
1,WEEKDAY,19,0.0000,0.0000,0.0082,0.0016,0.0171,0.1190,0.4458,0.0271,0.0076,0.0039,0.0007
1,WEEKDAY,20,0.0000,0.0000,0.0079,0.0016,0.0170,0.1190,0.3066,0.0245,0.0070,0.0000,0.0000
1,WEEKDAY,21,0.0000,0.0000,0.0079,0.0016,0.0170,0.1190,0.2009,0.0245,0.0070,0.0000,0.0000
