Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,1.3287,0.0017,0.2663,0.0063,0.0050,0.0977,0.1923,0.3955,0.0450,0.0690,0.0003,0.0002
1,WEEKDAY,1,1.3487,0.0011,0.1868,0.0054,0.0024,0.0963,0.1433,0.2637,0.0333,0.0369,0.0000,0.0000
1,WEEKDAY,2,1.3698,0.0009,0.1883,0.0053,0.0020,0.0961,0.1433,0.2378,0.0311,0.0310,0.0000,0.0000
1,WEEKDAY,3,1.3820,0.0006,0.1895,0.0053,0.0020,0.0962,0.1433,0.2379,0.0311,0.0310,0.0000,0.0000
1,WEEKDAY,4,1.4206,0.0004,0.1907,0.0056,0.0038,0.0968,0.1433,0.2664,0.0348,0.0378,0.0003,0.0002
1,WEEKDAY,5,1.4894,0.0004,0.2173,0.0080,0.0197,0.1021,0.1433,0.4297,0.0566,0.0745,0.0024,0.0023
1,WEEKDAY,6,1.4707,0.0009,0.2799,0.0133,0.0572,0.1043,0.1433,0.5841,0.0861,0.0985,0.0081,0.0076
1,WEEKDAY,7,1.4042,0.0008,0.3032,0.0158,0.0755,0.1052,0.1311,0.6822,0.1122,0.1142,0.0125,0.0117
1,WEEKDAY,8,1.6177,0.0030,0.3637,0.0211,0.0907,0.1051,0.0000,0.9557,0.1464,0.1290,0.0154,0.0145
1,WEEKDAY,9,1.4116,0.0211,0.3778,0.0225,0.0937,0.1074,0.0000,1.0855,0.1704,0.1373,0.0170,0.0159
1,WEEKDAY,10,1.2250,0.0369,0.4640,0.0235,0.0941,0.1080,0.0000,1.0886,0.1831,0.1419,0.0173,0.0162
1,WEEKDAY,11,1.0966,0.0580,0.4595,0.0245,0.0962,0.1094,0.0000,1.0886,0.1889,0.1439,0.0174,0.0162
1,WEEKDAY,12,1.0155,0.0777,0.4537,0.0244,0.0968,0.1123,0.0000,1.0886,0.1891,0.1440,0.0174,0.0162
1,WEEKDAY,13,0.8910,0.0961,0.4493,0.0234,0.0945,0.1130,0.0000,1.0886,0.1891,0.1440,0.0174,0.0162
1,WEEKDAY,14,0.8331,0.1088,0.4458,0.0237,0.0928,0.1159,0.0000,1.0886,0.1890,0.1440,0.0174,0.0162
1,WEEKDAY,15,0.8360,0.1112,0.4443,0.0243,0.0939,0.1166,0.0000,1.0862,0.1874,0.1440,0.0174,0.0162
1,WEEKDAY,16,0.9596,0.1012,0.4449,0.0245,0.0940,0.1146,0.0000,1.0619,0.1802,0.1435,0.0174,0.0162
1,WEEKDAY,17,1.1672,0.0845,0.4476,0.0243,0.0896,0.1141,0.2568,0.9850,0.1659,0.1418,0.0173,0.0162
1,WEEKDAY,18,1.1510,0.0657,0.4288,0.0235,0.0781,0.1112,0.2568,0.8993,0.1447,0.1396,0.0171,0.0160
1,WEEKDAY,19,1.2464,0.0515,0.4313,0.0220,0.0609,0.1099,0.3058,0.8457,0.1157,0.1366,0.0165,0.0154
1,WEEKDAY,20,1.2566,0.0265,0.3381,0.0193,0.0477,0.1091,0.3058,0.7464,0.0944,0.1298,0.0152,0.0143
1,WEEKDAY,21,1.2532,0.0183,0.3421,0.0146,0.0347,0.1055,0.3058,0.5449,0.0725,0.1199,0.0129,0.0121
1,WEEKDAY,22,1.2757,0.0128,0.2914,0.0117,0.0242,0.1038,0.3058,0.4935,0.0592,0.1061,0.0085,0.0080
1,WEEKDAY,23,1.3096,0.0067,0.2939,0.0077,0.0103,0.0992,0.3058,0.4431,0.0515,0.0891,0.0025,0.0024
1,SATURDAY,0,1.3730,0.0023,0.2646,0.0063,0.0050,0.0977,0.1923,0.3955,0.0450,0.0690,0.0003,0.0002
1,SATURDAY,1,1.4638,0.0035,0.1853,0.0054,0.0024,0.0963,0.1433,0.2637,0.0333,0.0369,0.0000,0.0000
