Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.2275,0.0000,0.0407,0.0148,0.0100,0.0458,0.3775,0.1105,0.0317,0.0058,0.0020,0.0000
1,WEEKDAY,1,0.2352,0.0000,0.0430,0.0148,0.0100,0.0458,0.3775,0.1105,0.0317,0.0058,0.0020,0.0000
1,WEEKDAY,2,0.2444,0.0000,0.0447,0.0148,0.0100,0.0458,0.3775,0.1105,0.0317,0.0058,0.0020,0.0000
1,WEEKDAY,3,0.2493,0.0000,0.0466,0.0149,0.0106,0.0458,0.3775,0.1108,0.0317,0.0061,0.0020,0.0002
1,WEEKDAY,4,0.2518,0.0000,0.0476,0.0152,0.0155,0.0462,0.3775,0.1143,0.0317,0.0081,0.0020,0.0013
1,WEEKDAY,5,0.2531,0.0000,0.0483,0.0182,0.0303,0.0472,0.3775,0.1321,0.0321,0.0123,0.0025,0.0035
1,WEEKDAY,6,0.2437,0.0000,0.0451,0.0303,0.0606,0.0488,0.1448,0.2473,0.0355,0.0195,0.0071,0.0080
1,WEEKDAY,7,0.1513,0.0012,0.0595,0.0548,0.0878,0.0503,0.0594,0.4859,0.0506,0.0298,0.0189,0.0157
1,WEEKDAY,8,0.1698,0.0064,0.1100,0.0934,0.1103,0.0520,0.0000,0.8494,0.0901,0.0476,0.0383,0.0259
1,WEEKDAY,9,0.0915,0.0319,0.1023,0.1307,0.1304,0.0539,0.0000,1.0624,0.1449,0.0678,0.0628,0.0372
1,WEEKDAY,10,0.0720,0.0795,0.1013,0.1296,0.1330,0.0547,0.0000,1.0780,0.1633,0.0806,0.0729,0.0417
1,WEEKDAY,11,0.0837,0.1295,0.1118,0.1309,0.1306,0.0548,0.0000,1.0791,0.1627,0.0815,0.0741,0.0423
1,WEEKDAY,12,0.0911,0.1746,0.1166,0.1349,0.1298,0.0548,0.0000,1.0569,0.1606,0.0793,0.0720,0.0414
1,WEEKDAY,13,0.0930,0.2024,0.1205,0.1229,0.1223,0.0544,0.0000,1.0047,0.1587,0.0686,0.0588,0.0350
1,WEEKDAY,14,0.0956,0.2045,0.1187,0.1021,0.0935,0.0531,0.0000,0.9623,0.1398,0.0463,0.0426,0.0237
1,WEEKDAY,15,0.1080,0.1753,0.1142,0.0780,0.0608,0.0522,0.0000,0.8738,0.1144,0.0285,0.0320,0.0161
1,WEEKDAY,16,0.1090,0.0976,0.0977,0.0543,0.0376,0.0509,0.0000,0.8283,0.0746,0.0169,0.0246,0.0109
1,WEEKDAY,17,0.0211,0.0088,0.0167,0.0328,0.0267,0.0486,0.1448,0.5710,0.0455,0.0103,0.0157,0.0060
1,WEEKDAY,18,0.0530,0.0049,0.0082,0.0226,0.0205,0.0471,0.1448,0.3464,0.0343,0.0075,0.0074,0.0023
