Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,0.7264,0.0000,0.1453,0.0416,0.0002,0.1022,0.2712,0.0721,0.0903,0.3322,0.0471
1,WEEKDAY,1,0.7447,0.0000,0.1466,0.0416,0.0002,0.1022,0.2712,0.0721,0.0903,0.3322,0.0471
1,WEEKDAY,2,0.7703,0.0000,0.1479,0.0416,0.0002,0.1022,0.2712,0.0721,0.0903,0.3322,0.0471
1,WEEKDAY,3,0.7809,0.0000,0.1489,0.0416,0.0002,0.1022,0.2712,0.0727,0.0903,0.3322,0.0471
1,WEEKDAY,4,0.8136,0.0000,0.1506,0.0418,0.0002,0.1022,0.2712,0.0788,0.0907,0.3330,0.0471
1,WEEKDAY,5,0.8255,0.0000,0.1524,0.0433,0.0006,0.1023,0.2712,0.1002,0.0947,0.3385,0.0471
1,WEEKDAY,6,0.8165,0.0000,0.1492,0.0452,0.0033,0.1037,0.2712,0.2161,0.2183,0.3474,0.0471
1,WEEKDAY,7,0.7520,0.0000,0.1390,0.0551,0.0093,0.1091,0.1728,0.4854,0.4896,0.3543,0.0471
1,WEEKDAY,8,1.3250,0.0000,0.1434,0.0662,0.0148,0.1152,0.0000,0.8181,0.6707,0.3580,0.0471
1,WEEKDAY,9,0.9046,0.0281,0.1298,0.0796,0.0175,0.1193,0.0000,1.0196,0.7731,0.3593,0.0471
1,WEEKDAY,10,0.6961,0.0353,0.1192,0.0816,0.0181,0.1202,0.0000,1.0558,0.8061,0.3595,0.0471
1,WEEKDAY,11,0.5424,0.0155,0.1060,0.0795,0.0181,0.1203,0.0000,1.0260,0.8098,0.3595,0.0471
1,WEEKDAY,12,0.4432,0.0252,0.1033,0.0816,0.0178,0.1200,0.0000,1.0212,0.8100,0.3595,0.0471
1,WEEKDAY,13,0.3366,0.0590,0.1047,0.0798,0.0173,0.1195,0.0000,1.0337,0.8088,0.3592,0.0471
1,WEEKDAY,14,0.2721,0.0894,0.1074,0.0785,0.0160,0.1181,0.0000,1.0346,0.7869,0.3572,0.0471
1,WEEKDAY,15,0.3069,0.0716,0.1097,0.0763,0.0132,0.1159,0.0000,0.9575,0.7243,0.3526,0.0471
1,WEEKDAY,16,0.4692,0.0133,0.1141,0.0719,0.0086,0.1116,0.0000,0.7248,0.6120,0.3456,0.0471
1,WEEKDAY,17,0.7348,0.0000,0.1316,0.0632,0.0029,0.1060,0.3137,0.5173,0.2264,0.3373,0.0471
1,WEEKDAY,18,0.5212,0.0000,0.1287,0.0522,0.0005,0.1025,0.3137,0.3508,0.0974,0.3329,0.0471
1,WEEKDAY,19,0.5693,0.0000,0.1330,0.0426,0.0002,0.1023,0.2712,0.2351,0.0907,0.3322,0.0471
1,WEEKDAY,20,0.6010,0.0000,0.1356,0.0417,0.0002,0.1022,0.2712,0.1581,0.0903,0.3322,0.0471
1,WEEKDAY,21,0.6249,0.0000,0.1379,0.0416,0.0002,0.1022,0.2712,0.1111,0.0903,0.3322,0.0471
1,WEEKDAY,22,0.6475,0.0000,0.1400,0.0416,0.0002,0.1022,0.2712,0.0809,0.0903,0.3322,0.0471
1,WEEKDAY,23,0.6685,0.0000,0.1415,0.0416,0.0002,0.1022,0.2712,0.0731,0.0903,0.3322,0.0471
1,SATURDAY,0,0.7135,0.0000,0.1438,0.0416,0.0002,0.1022,0.2712,0.0721,0.0903,0.3322,0.0471
1,SATURDAY,1,0.7598,0.0000,0.1448,0.0416,0.0002,0.1022,0.2712,0.0721,0.0903,0.3322,0.0471
1,SATURDAY,2,0.7741,0.0000,0.1453,0.0416,0.0002,0.1022,0.2712,0.0721,0.0903,0.3322,0.0471
1,SATURDAY,3,0.7713,0.0000,0.1460,0.0416,0.0002,0.1022,0.2712,0.0721,0.0903,0.3322,0.0471
1,SATURDAY,4,0.7820,0.0000,0.1471,0.0416,0.0002,0.1022,0.2712,0.0721,0.0903,0.3322,0.0471
1,SATURDAY,5,0.8133,0.0000,0.1479,0.0416,0.0002,0.1022,0.2712,0.0754,0.0923,0.3323,0.0471
