timestamp,air_temperature[degF],system_mode
2020-01-01 00:00:00 PST,+75.7956,OFF
2020-01-01 01:00:00 PST,+72.7053,OFF
2020-01-01 02:00:00 PST,+69.8026,OFF
2020-01-01 02:19:36 PST,+68.9998,HEAT
2020-01-01 02:23:22 PST,+71.002,OFF
2020-01-01 02:36:04 PST,+68.9989,HEAT
2020-01-01 02:40:03 PST,+71.0061,OFF
2020-01-01 02:51:12 PST,+68.9992,HEAT
2020-01-01 02:55:16 PST,+71.001,OFF
2020-01-01 03:00:00 PST,+69.7334,OFF
2020-01-01 03:05:27 PST,+68.9997,HEAT
2020-01-01 03:09:45 PST,+71.0017,OFF
2020-01-01 03:19:35 PST,+68.9998,HEAT
2020-01-01 03:23:55 PST,+71.0047,OFF
2020-01-01 03:33:40 PST,+68.9988,HEAT
2020-01-01 03:38:01 PST,+71.0053,OFF
2020-01-01 03:47:43 PST,+68.9985,HEAT
2020-01-01 03:52:04 PST,+71.0028,OFF
2020-01-01 04:00:00 PST,+69.1902,OFF
2020-01-01 04:01:35 PST,+68.9996,HEAT
2020-01-01 04:06:11 PST,+71.0025,OFF
2020-01-01 04:15:22 PST,+68.9999,HEAT
2020-01-01 04:19:58 PST,+71.0048,OFF
2020-01-01 04:29:11 PST,+68.9997,HEAT
2020-01-01 04:33:46 PST,+71.0009,OFF
2020-01-01 04:42:59 PST,+68.9997,HEAT
2020-01-01 04:47:34 PST,+71.0013,OFF
2020-01-01 04:56:48 PST,+68.9986,HEAT
2020-01-01 05:00:00 PST,+70.5314,HEAT
2020-01-01 05:01:44 PST,+71.0027,OFF
2020-01-01 05:09:54 PST,+68.9991,HEAT
2020-01-01 05:15:20 PST,+71.0035,OFF
2020-01-01 05:23:36 PST,+68.9984,HEAT
2020-01-01 05:29:00 PST,+71.0018,OFF
2020-01-01 05:37:19 PST,+68.9979,HEAT
2020-01-01 05:42:42 PST,+71.0011,OFF
2020-01-01 05:51:02 PST,+68.999,HEAT
2020-01-01 05:56:25 PST,+71.0037,OFF
2020-01-01 06:00:00 PST,+69.8413,OFF
2020-01-01 06:04:51 PST,+68.9989,HEAT
2020-01-01 06:10:11 PST,+71.0031,OFF
2020-01-01 06:18:41 PST,+68.9985,HEAT
2020-01-01 06:24:00 PST,+71.0014,OFF
2020-01-01 06:32:31 PST,+68.9984,HEAT
