timestamp,measured_real_energy_delta[kWh]
2020-01-01 00:00:00 PST,+0
2020-01-01 01:00:00 PST,+0.222389
2020-01-01 02:00:00 PST,+0.159825
2020-01-01 03:00:00 PST,+1.28659
2020-01-01 04:00:00 PST,+1.80038
2020-01-01 05:00:00 PST,+2.20296
2020-01-01 06:00:00 PST,+2.39749
2020-01-01 07:00:00 PST,+2.4117
2020-01-01 08:00:00 PST,+2.59285
2020-01-01 09:00:00 PST,+2.74461
2020-01-01 10:00:00 PST,+1.41914
2020-01-01 11:00:00 PST,+1.06644
2020-01-01 12:00:00 PST,+0.724675
2020-01-01 13:00:00 PST,+0.665134
2020-01-01 14:00:00 PST,+0.607838
2020-01-01 15:00:00 PST,+0.552445
2020-01-01 16:00:00 PST,+0.552547
2020-01-01 17:00:00 PST,+0.634672
2020-01-01 18:00:00 PST,+1.40047
2020-01-01 19:00:00 PST,+1.75336
2020-01-01 20:00:00 PST,+1.73441
2020-01-01 21:00:00 PST,+2.02627
2020-01-01 22:00:00 PST,+2.00282
2020-01-01 23:00:00 PST,+1.71322
2020-01-02 00:00:00 PST,+1.9325
2020-01-02 01:00:00 PST,+2.29494
2020-01-02 02:00:00 PST,+1.45798
2020-01-02 03:00:00 PST,+2.14397
2020-01-02 04:00:00 PST,+1.9527
2020-01-02 05:00:00 PST,+2.66673
2020-01-02 06:00:00 PST,+2.12684
2020-01-02 07:00:00 PST,+2.0312
2020-01-02 08:00:00 PST,+2.19785
2020-01-02 09:00:00 PST,+2.26516
2020-01-02 10:00:00 PST,+1.04188
2020-01-02 11:00:00 PST,+0.741485
2020-01-02 12:00:00 PST,+0.724675
2020-01-02 13:00:00 PST,+0.665134
2020-01-02 14:00:00 PST,+0.607838
2020-01-02 15:00:00 PST,+0.552445
2020-01-02 16:00:00 PST,+0.552547
2020-01-02 17:00:00 PST,+0.634672
2020-01-02 18:00:00 PST,+0.762701
2020-01-02 19:00:00 PST,+1.76752
2020-01-02 20:00:00 PST,+1.68329
2020-01-02 21:00:00 PST,+1.64964
2020-01-02 22:00:00 PST,+2.03746
2020-01-02 23:00:00 PST,+2.00202
2020-01-03 00:00:00 PST,+1.69793
2020-01-03 01:00:00 PST,+1.62053
2020-01-03 02:00:00 PST,+1.38799
2020-01-03 03:00:00 PST,+1.52138
2020-01-03 04:00:00 PST,+1.06905
2020-01-03 05:00:00 PST,+0.954328
2020-01-03 06:00:00 PST,+1.13295
2020-01-03 07:00:00 PST,+1.46102
2020-01-03 08:00:00 PST,+1.64204
2020-01-03 09:00:00 PST,+1.66308
2020-01-03 10:00:00 PST,+1.03205
2020-01-03 11:00:00 PST,+0.741485
2020-01-03 12:00:00 PST,+0.724675
2020-01-03 13:00:00 PST,+0.665134
2020-01-03 14:00:00 PST,+0.607838
2020-01-03 15:00:00 PST,+0.552445
2020-01-03 16:00:00 PST,+0.552547
2020-01-03 17:00:00 PST,+0.634672
2020-01-03 18:00:00 PST,+0.762701
2020-01-03 19:00:00 PST,+0.783749
2020-01-03 20:00:00 PST,+1.66324
2020-01-03 21:00:00 PST,+1.69721
2020-01-03 22:00:00 PST,+2.03237
2020-01-03 23:00:00 PST,+2.00202
2020-01-04 00:00:00 PST,+1.71545
2020-01-04 01:00:00 PST,+1.58206
2020-01-04 02:00:00 PST,+1.80426
2020-01-04 03:00:00 PST,+1.82111
2020-01-04 04:00:00 PST,+1.63873
2020-01-04 05:00:00 PST,+1.89176
2020-01-04 06:00:00 PST,+2.52768
2020-01-04 07:00:00 PST,+2.03205
2020-01-04 08:00:00 PST,+2.19024
2020-01-04 09:00:00 PST,+2.13851
2020-01-04 10:00:00 PST,+1.74695
2020-01-04 11:00:00 PST,+1.60415
2020-01-04 12:00:00 PST,+1.46863
2020-01-04 13:00:00 PST,+0.883759
2020-01-04 14:00:00 PST,+0.840703
2020-01-04 15:00:00 PST,+0.772906
2020-01-04 16:00:00 PST,+1.04519
2020-01-04 17:00:00 PST,+1.06014
2020-01-04 18:00:00 PST,+2.14299
2020-01-04 19:00:00 PST,+1.77456
2020-01-04 20:00:00 PST,+2.09309
2020-01-04 21:00:00 PST,+1.88998
2020-01-04 22:00:00 PST,+1.81787
2020-01-04 23:00:00 PST,+1.9316
2020-01-05 00:00:00 PST,+2.05779
2020-01-05 01:00:00 PST,+1.76041
2020-01-05 02:00:00 PST,+1.95493
2020-01-05 03:00:00 PST,+1.75725
2020-01-05 04:00:00 PST,+2.05206
2020-01-05 05:00:00 PST,+2.61499
2020-01-05 06:00:00 PST,+2.28993
2020-01-05 07:00:00 PST,+2.3127
2020-01-05 08:00:00 PST,+2.38006
2020-01-05 09:00:00 PST,+2.18035
2020-01-05 10:00:00 PST,+1.81016
2020-01-05 11:00:00 PST,+1.56309
2020-01-05 12:00:00 PST,+0.898705
2020-01-05 13:00:00 PST,+1.21705
2020-01-05 14:00:00 PST,+0.840703
2020-01-05 15:00:00 PST,+0.772906
2020-01-05 16:00:00 PST,+0.72958
