# file...... weather_recorder.csv
# date...... Sun Apr 26 13:59:34 2020
# user...... david
# host...... (null)
# target.... weather 0
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,temperature,humidity,wind_speed,opq_sky_cov
2020-01-01 00:00:00 UTC,+48.8,+0,+2.2,+0
2020-01-01 01:00:00 UTC,+49.7,+0,+1.1,+0
2020-01-01 02:00:00 UTC,+48.5,+0,+0,+0
2020-01-01 03:00:00 UTC,+47,+0,+2.2,+0
2020-01-01 04:00:00 UTC,+47,+0,+1.1,+0
2020-01-01 05:00:00 UTC,+46.7,+0,+0,+0
2020-01-01 06:00:00 UTC,+47.4,+0,+2.2,+0
2020-01-01 07:00:00 UTC,+44.3,+88.2,+0.6,+63.3
2020-01-01 08:00:00 UTC,+45.3,+90.91,+6.3,+63.3
2020-01-01 09:00:00 UTC,+47,+91.33,+6.7,+63.3
2020-01-01 10:00:00 UTC,+50.6,+0,+0,+0
2020-01-01 11:00:00 UTC,+55.2,+77.18,+4.3,+35.7
2020-01-01 12:00:00 UTC,+54.6,+84.57,+8.3,+63.3
2020-01-01 13:00:00 UTC,+56,+85.79,+11,+49.5
2020-01-01 14:00:00 UTC,+56.1,+91.31,+15.3,+49.5
2020-01-01 15:00:00 UTC,+60.3,+78.51,+8.2,+49.5
2020-01-01 16:00:00 UTC,+56,+91.66,+10.8,+63.3
2020-01-01 17:00:00 UTC,+55.8,+86.17,+11.7,+49.3
2020-01-01 18:00:00 UTC,+55.2,+87.91,+8.1,+0
2020-01-01 19:00:00 UTC,+54.8,+0,+6.9,+0
2020-01-01 20:00:00 UTC,+53.8,+92.98,+5.7,+0
2020-01-01 21:00:00 UTC,+52.4,+91.53,+6,+0
2020-01-01 22:00:00 UTC,+54.2,+0,+10.3,+0
2020-01-01 23:00:00 UTC,+54.6,+0,+15,+0
2020-01-02 00:00:00 UTC,+53.9,+0,+10.3,+0
2020-01-02 01:00:00 UTC,+52.4,+0,+6.9,+0
2020-01-02 02:00:00 UTC,+52.1,+0,+8.1,+0
2020-01-02 03:00:00 UTC,+51.5,+0,+4.7,+0
2020-01-02 04:00:00 UTC,+51,+0,+0,+0
2020-01-02 05:00:00 UTC,+48.5,+0,+2.2,+0
2020-01-02 06:00:00 UTC,+50.1,+0,+1.1,+0
2020-01-02 07:00:00 UTC,+45.4,+96.82,+0.6,+19.6
2020-01-02 08:00:00 UTC,+42.7,+87.24,+0.6,+19.6
2020-01-02 09:00:00 UTC,+47.5,+89.75,+0.3,+19.6
2020-01-02 10:00:00 UTC,+53.8,+81.34,+0,+26.5
2020-01-02 11:00:00 UTC,+55.3,+76.89,+1.3,+26.5
2020-01-02 12:00:00 UTC,+56.8,+68.21,+5.9,+26.5
2020-01-02 13:00:00 UTC,+57.1,+58.71,+8,+35.7
2020-01-02 14:00:00 UTC,+60.1,+49.32,+4.3,+35.7
2020-01-02 15:00:00 UTC,+60.2,+0,+2.2,+0
2020-01-02 16:00:00 UTC,+60.2,+0,+4.7,+0
2020-01-02 17:00:00 UTC,+56,+65.51,+4.8,+0
2020-01-02 18:00:00 UTC,+56.6,+0,+0,+0
2020-01-02 19:00:00 UTC,+51.2,+78.03,+1,+0
2020-01-02 20:00:00 UTC,+52.4,+0,+1.1,+0
2020-01-02 21:00:00 UTC,+47.5,+78.02,+3,+0
2020-01-02 22:00:00 UTC,+48.8,+0,+2.2,+0
2020-01-02 23:00:00 UTC,+48.3,+0,+0,+0
2020-01-03 00:00:00 UTC,+47.9,+0,+0,+0
2020-01-03 01:00:00 UTC,+47,+0,+0,+0
2020-01-03 02:00:00 UTC,+46.7,+0,+1.1,+0
2020-01-03 03:00:00 UTC,+45.8,+0,+2.2,+0
2020-01-03 04:00:00 UTC,+45.6,+0,+2.2,+0
2020-01-03 05:00:00 UTC,+45.2,+0,+2.2,+0
2020-01-03 06:00:00 UTC,+44.9,+0,+2.2,+0
2020-01-03 07:00:00 UTC,+39.3,+86.52,+1,+35.7
2020-01-03 08:00:00 UTC,+40.8,+87.67,+0.6,+35.7
2020-01-03 09:00:00 UTC,+47,+84.89,+0,+28.1
2020-01-03 10:00:00 UTC,+50.6,+0,+2.2,+0
2020-01-03 11:00:00 UTC,+53.7,+0,+2.2,+0
2020-01-03 12:00:00 UTC,+54.2,+65.29,+4.7,+35.7
2020-01-03 13:00:00 UTC,+55.7,+66.12,+4.7,+35.7
2020-01-03 14:00:00 UTC,+58.8,+59.17,+4.7,+35.7
2020-01-03 15:00:00 UTC,+58.6,+63.94,+7.7,+35.7
2020-01-03 16:00:00 UTC,+55.6,+71.19,+6.9,+63.3
2020-01-03 17:00:00 UTC,+55.2,+67.5,+4.3,+63.3
2020-01-03 18:00:00 UTC,+52.4,+0,+3.4,+0
2020-01-03 19:00:00 UTC,+49.4,+77.71,+0.5,+0
2020-01-03 20:00:00 UTC,+49.1,+78.39,+3.6,+0
2020-01-03 21:00:00 UTC,+46.4,+87.19,+0,+0
2020-01-03 22:00:00 UTC,+50.1,+0,+0,+0
2020-01-03 23:00:00 UTC,+51.2,+0,+3.4,+0
2020-01-04 00:00:00 UTC,+49.4,+0,+0,+0
# end of tape
