latitude,longitude,configuration,pole_height
37.41504514,-122.2056472,flat3,54
37.41469802,-122.2084875,sideT,60
37.41445409,-122.2104428,sideT,63
37.41422295,-122.2123137,sideT,54
37.41398115,-122.2142717,sideT,60
37.41369674,-122.2165676,sideT,54
37.41348477,-122.2182682,sideT,63
37.41321101,-122.220481,sideT,54
37.4129756,-122.2223237,sideT,48
37.41270503,-122.2245606,sideT,63
37.41235884,-122.2273609,sideT,54
37.41211277,-122.2294047,sideT,57
37.41181238,-122.2318401,3pole,45
37.40995248,-122.2354115,3pole,48
37.40912057,-122.2377131,2pole,45
37.40789338,-122.2410738,2pole,51
37.40714994,-122.2431096,2pole,45
37.40644443,-122.2450254,3pole,51
37.40562304,-122.2444302,vert3,51
37.40455757,-122.2441759,vert3,60
37.40338852,-122.2442889,vert3,60
37.40248883,-122.2446771,vert3,60
37.40136061,-122.2456642,vert3,66
37.39986735,-122.249266,3pole,48
37.39966304,-122.2511333,2pole,54
37.39937036,-122.2562744,2pole,66
37.39927724,-122.2579454,3pole,45
37.39881734,-122.2644859,3pole,54
37.39870934,-122.2660996,2pole,45
37.39860603,-122.2675694,3pole,54
37.39448378,-122.2706254,3pole,63
37.39306477,-122.2718017,3pole,63
37.39248479,-122.2744576,2pole,51
37.39189776,-122.2771737,2pole,63
37.39160503,-122.2785973,2pole,69
37.39170991,-122.2813852,3pole,48
37.38806397,-122.2884429,tower,69
