REGION,NAICS,DESCRIPTION,FLOORAREA[Msf],SITES[unit],FLOORAREA_PER_SITE[sf/unit],BUILDINGS[unit],BUILDINGS_PER_SITE[unit/unit],PURCHASES[GWh],TRANSFERS[GWh],GENERATION[GWh],SALES[GWh],NET_DEMAND[GWh],REPORTED_ELECTRIC[GWh],REPORTED_ELECTRIFICATION[pu],UNREPORTED_ELECTRIC[GWh],UNREPORTED_ELECTRIFICATION[pu],A,B,C,D,E,I,Z
NERC,311,Food,1157,13690,96586.0,31087,2.5,72205,239,4594,336,76701,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,311,Food,1157,13690,96586.0,31087,2.5,5739,2,Q,Q,6125,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,311,Food,1157,13690,96586.0,31087,2.5,31956,40,1081,17,33061,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,311,Food,1157,13690,96586.0,31087,2.5,22517,158,1739,168,24245,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,311,Food,1157,13690,96586.0,31087,2.5,11993,Q,1351,113,13270,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,312,Beverage and Tobacco Products,252,2443,113358.9,6844,3.0,9755,*,259,Q,10014,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NORTHEAST,312,Beverage and Tobacco Products,252,2443,113358.9,6844,3.0,1466,*,2,*,1468,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
MIDWEST,312,Beverage and Tobacco Products,252,2443,113358.9,6844,3.0,1435,0,0,0,1435,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
SOUTH,312,Beverage and Tobacco Products,252,2443,113358.9,6844,3.0,3897,*,9,*,3906,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
WEST,312,Beverage and Tobacco Products,252,2443,113358.9,6844,3.0,2957,0,248,0,3205,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
NERC,313,Textile Mills,220,1355,164744.2,2677,2.0,12773,0,101,187,12687,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NORTHEAST,313,Textile Mills,220,1355,164744.2,2677,2.0,Q,0,47,0,Q,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
MIDWEST,313,Textile Mills,220,1355,164744.2,2677,2.0,270,0,0,0,270,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
SOUTH,313,Textile Mills,220,1355,164744.2,2677,2.0,10418,0,54,187,10285,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
WEST,313,Textile Mills,220,1355,164744.2,2677,2.0,239,0,0,0,239,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
