NAICS,Code,Industrial Load Type,IA,IB,IC,MD,PwrEl,Z,I
339,IND_OTH,Industrial - Other,0.1,0.3,0.3,0,0.2,0.05,0.05
211,IND_SHG,Shale Gas Extraction Plant,0,0.2,0.4,0,0.4,0,0
212,IND_MIN,Mining,0.25,0.25,0.3,0,0.2,0,0
213,IND_OIL,Oil Pumping,0.3,0,0.4,0,0.3,0,0
2211,PPA_AUX,Power Plant Auxiliaries,0,0.4,0.3,0,0.2,0.05,0.05
2213,AGR_IRR,Irrigation and pumping,0,0,1,0,0,0,0
311,AGR_PRO,Food processing,0.6,0,0.25,0,0.05,0.05,0.05
3221,IND_PMK,Paper Mill Kraft Process,0.1,0.2,0.3,0,0.3,0.05,0.05
3222,IND_PMT,Paper Mill with Refiners,0.05,0.6,0.15,0,0.15,0.02,0.03
325,IND_PCH,Petro-Chemical Plant,0.1,0.4,0.3,0,0.15,0.02,0.03
3311,IND_SML,Steel Mill,0.15,0.35,0.25,0,0.15,0.05,0.05
3314,IND_ASM,Aluminum Smelter,0.05,0,0.05,0,0.05,0.85,0
333,IND_LNG,Liquified Natural Gas,0,0.3,0.2,0,0.5,0,0
334,IND_SCD,Semiconductor,0,0.25,0.3,0,0.4,0,0.05
336,IND_CAR,Car Manufacturing,0.15,0,0.3,0,0.3,0.1,0.15
423,IND_LMB,Lumber Mill,0.4,0.2,0.3,0,0,0.05,0.05
482,IND_RAIL,Transportation - Rail,0,0,0.05,0,0.95,0,0
518,IND_SRF,Server Farm,0,0,0.1,0,0.9,0,0
312,MECS_312,Beverage and Tobacco Products,0.133,0.283,0.017,0.017,0.15,0.367,0.033
313,MECS_313,Textile Mills,0.16,0.34,0.02,0,0.18,0.28,0.02
314,MECS_314,Textile Product Mills,0.16,0.34,0.02,0,0.18,0.28,0.02
315,MECS_315,Apparel,0.15,0.294,0.019,0,0.225,0.287,0.025
316,MECS_316,Leather and Allied Products,0.16,0.34,0.02,0,0.18,0.28,0.02
321,MECS_321,Wood Products,0.133,0.283,0.017,0.017,0.15,0.367,0.033
322,MECS_322,Paper,0.145,0.309,0.018,0.009,0.164,0.327,0.027
323,MECS_323,Printing and Related Support,0.16,0.34,0.02,0,0.18,0.28,0.02
324,MECS_324,Petroleum and Coal Products,0.133,0.283,0.017,0.017,0.15,0.367,0.033
326,MECS_326,Plastics and Rubber Products,0.15,0.294,0.019,0,0.225,0.287,0.025
327,MECS_327,Nonmetallic Mineral Products,0.145,0.309,0.018,0.009,0.164,0.327,0.027
331,MECS_331,Primary Metals,0.133,0.283,0.017,0.017,0.15,0.367,0.033
