Month,Daytype,Hour,Heating,Cooling,Ventilation,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0176,0.0000,0.0246,0.0007,0.0180,0.5060,0.2206,0.1159,0.0020,0.0000,0.0001
1,WEEKDAY,1,0.0176,0.0000,0.0247,0.0006,0.0178,0.5060,0.2078,0.1128,0.0008,0.0000,0.0000
1,WEEKDAY,2,0.0176,0.0000,0.0247,0.0006,0.0178,0.5060,0.2049,0.1128,0.0000,0.0000,0.0000
1,WEEKDAY,3,0.0176,0.0000,0.0248,0.0006,0.0178,0.5060,0.2053,0.1130,0.0003,0.0004,0.0000
1,WEEKDAY,4,0.0761,0.0208,0.1735,0.0011,0.0179,0.5060,0.2182,0.1149,0.0010,0.0041,0.0001
1,WEEKDAY,5,0.0852,0.0535,0.1736,0.0031,0.0183,0.5060,0.4002,0.1252,0.0045,0.0135,0.0004
1,WEEKDAY,6,0.0693,0.1470,0.1735,0.0070,0.0187,0.2233,0.5385,0.1388,0.0078,0.0218,0.0007
1,WEEKDAY,7,0.3719,0.0026,0.3311,0.0086,0.0193,0.0000,0.7358,0.1531,0.0108,0.0286,0.0011
1,WEEKDAY,8,0.2516,0.0026,0.3516,0.0086,0.0202,0.0000,0.9512,0.1721,0.0153,0.0326,0.0019
1,WEEKDAY,9,0.1984,0.0316,0.3514,0.0084,0.0211,0.0000,0.9891,0.1989,0.0199,0.0346,0.0028
1,WEEKDAY,10,0.1686,0.0788,0.3510,0.0088,0.0217,0.0000,1.0016,0.2201,0.0219,0.0351,0.0030
1,WEEKDAY,11,0.1355,0.1283,0.3507,0.0091,0.0219,0.0000,1.0009,0.2250,0.0223,0.0352,0.0031
1,WEEKDAY,12,0.1056,0.1848,0.3504,0.0090,0.0219,0.0000,0.9970,0.2253,0.0223,0.0352,0.0031
1,WEEKDAY,13,0.0821,0.2388,0.3500,0.0086,0.0219,0.0000,0.9700,0.2253,0.0224,0.0352,0.0031
1,WEEKDAY,14,0.0681,0.2653,0.3499,0.0084,0.0218,0.0000,0.9195,0.2236,0.0219,0.0351,0.0031
1,WEEKDAY,15,0.0625,0.2717,0.3499,0.0085,0.0218,0.0000,0.9351,0.2158,0.0217,0.0337,0.0030
1,WEEKDAY,16,0.0709,0.2299,0.3499,0.0093,0.0216,0.0000,0.9458,0.2117,0.0213,0.0292,0.0029
1,WEEKDAY,17,0.0833,0.1984,0.2859,0.0099,0.0214,0.2233,0.9342,0.2073,0.0206,0.0255,0.0028
1,WEEKDAY,18,0.1088,0.1501,0.2860,0.0093,0.0212,0.5060,0.7884,0.1930,0.0194,0.0226,0.0026
1,WEEKDAY,19,0.1406,0.0824,0.2862,0.0079,0.0209,0.5060,0.6420,0.1746,0.0181,0.0202,0.0024
1,WEEKDAY,20,0.1707,0.0371,0.2863,0.0070,0.0204,0.5060,0.5424,0.1610,0.0149,0.0172,0.0020
1,WEEKDAY,21,0.1838,0.0156,0.2866,0.0059,0.0198,0.5060,0.4873,0.1528,0.0111,0.0111,0.0016
1,WEEKDAY,22,0.1856,0.0113,0.1748,0.0040,0.0191,0.5060,0.3675,0.1448,0.0074,0.0032,0.0011
1,WEEKDAY,23,0.0144,0.1141,0.1732,0.0017,0.0185,0.5060,0.2830,0.1328,0.0044,0.0003,0.0004
1,SATURDAY,0,0.0176,0.0000,0.0245,0.0024,0.0178,0.5060,0.2078,0.1128,0.0016,0.0000,0.0000
1,SATURDAY,1,0.0176,0.0000,0.0245,0.0013,0.0178,0.5060,0.1979,0.1127,0.0007,0.0000,0.0000
1,SATURDAY,2,0.0176,0.0000,0.0245,0.0006,0.0178,0.5060,0.1952,0.1127,0.0000,0.0000,0.0000
1,SATURDAY,3,0.0176,0.0000,0.0245,0.0006,0.0178,0.5060,0.1953,0.1127,0.0000,0.0001,0.0000
1,SATURDAY,4,0.0813,0.0000,0.1804,0.0006,0.0178,0.5060,0.1968,0.1132,0.0002,0.0013,0.0000
1,SATURDAY,5,0.0664,0.1337,0.1805,0.0011,0.0178,0.5060,0.2955,0.1170,0.0023,0.0045,0.0000
1,SATURDAY,6,0.0724,0.1360,0.1805,0.0030,0.0181,0.2233,0.3909,0.1286,0.0042,0.0094,0.0000
1,SATURDAY,7,0.4036,0.0000,0.1850,0.0039,0.0183,0.0000,0.5088,0.1409,0.0053,0.0150,0.0001
1,SATURDAY,8,0.2830,0.0000,0.2137,0.0043,0.0186,0.0000,0.5442,0.1521,0.0064,0.0201,0.0003
1,SATURDAY,9,0.2434,0.0000,0.2707,0.0042,0.0189,0.0000,0.5586,0.1606,0.0074,0.0245,0.0005
1,SATURDAY,10,0.2319,0.0000,0.3014,0.0043,0.0190,0.0000,0.5573,0.1662,0.0088,0.0261,0.0008
1,SATURDAY,11,0.2131,0.0000,0.3012,0.0046,0.0190,0.0000,0.5542,0.1682,0.0097,0.0264,0.0009
1,SATURDAY,12,0.1971,0.0496,0.3010,0.0046,0.0190,0.0000,0.5536,0.1685,0.0098,0.0264,0.0009
1,SATURDAY,13,0.1772,0.0421,0.3007,0.0044,0.0190,0.0000,0.5533,0.1685,0.0099,0.0264,0.0009
1,SATURDAY,14,0.1725,0.0494,0.3006,0.0043,0.0190,0.0000,0.5538,0.1683,0.0097,0.0262,0.0009
1,SATURDAY,15,0.1627,0.0683,0.3005,0.0042,0.0190,0.0000,0.5536,0.1671,0.0098,0.0241,0.0008
1,SATURDAY,16,0.1658,0.0701,0.3006,0.0042,0.0188,0.0000,0.5506,0.1646,0.0100,0.0169,0.0007
1,SATURDAY,17,0.1850,0.0252,0.2697,0.0043,0.0187,0.2233,0.5293,0.1593,0.0099,0.0092,0.0004
1,SATURDAY,18,0.1893,0.0208,0.1817,0.0046,0.0185,0.5060,0.4301,0.1532,0.0091,0.0037,0.0002
1,SATURDAY,19,0.1959,0.0165,0.1818,0.0045,0.0184,0.5060,0.3878,0.1463,0.0083,0.0010,0.0001
1,SATURDAY,20,0.2097,0.0087,0.1819,0.0042,0.0182,0.5060,0.3779,0.1391,0.0065,0.0001,0.0000
1,SATURDAY,21,0.2249,0.0000,0.1821,0.0035,0.0180,0.5060,0.3251,0.1296,0.0046,0.0000,0.0000
1,SATURDAY,22,0.2301,0.0075,0.1822,0.0031,0.0179,0.5060,0.2643,0.1192,0.0034,0.0000,0.0000
1,SATURDAY,23,0.0176,0.0939,0.1802,0.0028,0.0178,0.5060,0.2136,0.1136,0.0028,0.0000,0.0000
1,SUNDAY,0,0.0176,0.0000,0.0245,0.0006,0.0178,0.5060,0.2272,0.1128,0.0020,0.0000,0.0000
1,SUNDAY,1,0.0176,0.0000,0.0245,0.0006,0.0178,0.5060,0.2161,0.1128,0.0009,0.0000,0.0000
1,SUNDAY,2,0.0176,0.0000,0.0245,0.0006,0.0178,0.5060,0.2130,0.1128,0.0000,0.0000,0.0000
1,SUNDAY,3,0.0176,0.0000,0.0246,0.0006,0.0178,0.5060,0.2130,0.1128,0.0000,0.0000,0.0000
1,SUNDAY,4,0.0176,0.0000,0.0247,0.0006,0.0178,0.5060,0.2130,0.1128,0.0003,0.0000,0.0000
1,SUNDAY,5,0.0176,0.0000,0.0247,0.0006,0.0178,0.5060,0.3454,0.1133,0.0029,0.0002,0.0000
