Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.0474,0.0461,0.1969,0.0166,0.0092,0.0782,0.0977,0.1439,0.0370,0.1056,0.0273,0.0247
1,WEEKDAY,1,0.0474,0.0434,0.1979,0.0166,0.0092,0.0782,0.0977,0.1437,0.0370,0.1056,0.0273,0.0247
1,WEEKDAY,2,0.0474,0.0453,0.1993,0.0166,0.0092,0.0785,0.0977,0.1437,0.0372,0.1056,0.0285,0.0261
1,WEEKDAY,3,0.0474,0.0522,0.2018,0.0166,0.0168,0.0788,0.0977,0.1441,0.0378,0.1071,0.0307,0.0285
1,WEEKDAY,4,0.0474,0.0787,0.2073,0.0166,0.0499,0.0795,0.0977,0.1530,0.0462,0.1209,0.0517,0.0474
1,WEEKDAY,5,0.0474,0.1471,0.2155,0.0176,0.0827,0.0813,0.0977,0.2381,0.0836,0.1699,0.0766,0.0752
1,WEEKDAY,6,0.0474,0.1954,0.2281,0.0222,0.1175,0.0841,0.0977,0.4400,0.1737,0.2670,0.0854,0.0950
1,WEEKDAY,7,0.1976,0.2149,0.2440,0.0269,0.1246,0.0878,0.0400,0.6270,0.2584,0.3684,0.1295,0.1345
1,WEEKDAY,8,0.1280,0.2292,0.2446,0.0313,0.1266,0.0905,0.0000,0.7467,0.3076,0.4011,0.1305,0.1375
1,WEEKDAY,9,0.1038,0.2401,0.2317,0.0331,0.1271,0.0922,0.0000,0.7756,0.3300,0.4132,0.1305,0.1383
1,WEEKDAY,10,0.0923,0.2491,0.2305,0.0327,0.1272,0.0925,0.0000,0.7708,0.3371,0.4140,0.1305,0.1386
1,WEEKDAY,11,0.0983,0.2594,0.2294,0.0323,0.1271,0.0928,0.0000,0.7561,0.3379,0.4140,0.1305,0.1387
1,WEEKDAY,12,0.1148,0.2850,0.2304,0.0329,0.1269,0.0930,0.0000,0.7550,0.3378,0.4140,0.1305,0.1387
1,WEEKDAY,13,0.0947,0.3149,0.2334,0.0325,0.1265,0.0929,0.0000,0.7605,0.3365,0.4136,0.1305,0.1386
1,WEEKDAY,14,0.0925,0.3419,0.2361,0.0320,0.1258,0.0927,0.0000,0.7619,0.3311,0.4097,0.1305,0.1384
1,WEEKDAY,15,0.0894,0.3226,0.2347,0.0314,0.1244,0.0917,0.0000,0.7418,0.3183,0.3915,0.1300,0.1370
1,WEEKDAY,16,0.1154,0.2499,0.2282,0.0306,0.1221,0.0895,0.0000,0.6795,0.2945,0.3549,0.1217,0.1255
1,WEEKDAY,17,0.1427,0.1934,0.2274,0.0289,0.1188,0.0864,0.0977,0.5802,0.2382,0.3000,0.1116,0.1108
1,WEEKDAY,18,0.0513,0.1408,0.1970,0.0249,0.0984,0.0822,0.1831,0.4851,0.1167,0.2246,0.1022,0.0954
1,WEEKDAY,19,0.0474,0.1062,0.1867,0.0200,0.0888,0.0797,0.1831,0.3811,0.0609,0.1757,0.0734,0.0647
1,WEEKDAY,20,0.0474,0.0838,0.1906,0.0170,0.0545,0.0791,0.1831,0.2813,0.0499,0.1516,0.0525,0.0450
1,WEEKDAY,21,0.0474,0.0668,0.1914,0.0166,0.0237,0.0786,0.1831,0.2176,0.0471,0.1276,0.0421,0.0363
1,WEEKDAY,22,0.0474,0.0552,0.1928,0.0166,0.0145,0.0785,0.1831,0.1715,0.0370,0.1056,0.0319,0.0282
1,WEEKDAY,23,0.0474,0.0487,0.1937,0.0166,0.0145,0.0782,0.1831,0.1461,0.0370,0.1056,0.0319,0.0282
1,SATURDAY,0,0.0474,0.0442,0.1932,0.0166,0.0092,0.0782,0.0977,0.1437,0.0370,0.1056,0.0273,0.0247
1,SATURDAY,1,0.0474,0.0411,0.1943,0.0166,0.0092,0.0782,0.0977,0.1437,0.0370,0.1056,0.0273,0.0247
