Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,0.1452,0.0001,0.0170,0.0051,0.0065,0.0609,0.1254,0.0779,0.0134,0.0157,0.0140,0.0037
1,WEEKDAY,1,0.1602,0.0001,0.0181,0.0050,0.0085,0.0610,0.1254,0.0766,0.0134,0.0157,0.0140,0.0037
1,WEEKDAY,2,0.1747,0.0001,0.0187,0.0050,0.0161,0.0615,0.1254,0.0810,0.0139,0.0161,0.0167,0.0043
1,WEEKDAY,3,0.1879,0.0001,0.0217,0.0066,0.0280,0.0620,0.1207,0.0963,0.0179,0.0186,0.0326,0.0079
1,WEEKDAY,4,0.1921,0.0001,0.0208,0.0137,0.0471,0.0632,0.1207,0.1538,0.0286,0.0294,0.0640,0.0122
1,WEEKDAY,5,0.1794,0.0001,0.0228,0.0164,0.0583,0.0654,0.1207,0.1971,0.0407,0.0338,0.0794,0.0163
1,WEEKDAY,6,0.2605,0.0001,0.0248,0.0184,0.0629,0.0665,0.1207,0.2541,0.0638,0.0495,0.0919,0.0287
1,WEEKDAY,7,0.5016,0.0002,0.0329,0.0192,0.0657,0.0674,0.0694,0.3226,0.0932,0.0712,0.0847,0.0664
1,WEEKDAY,8,0.3878,0.0003,0.0496,0.0196,0.0691,0.0678,0.0000,0.3763,0.1119,0.0908,0.0889,0.0822
1,WEEKDAY,9,0.2491,0.0007,0.0372,0.0200,0.0741,0.0695,0.0000,0.4149,0.1234,0.0965,0.0901,0.0864
1,WEEKDAY,10,0.1872,0.0011,0.0761,0.0203,0.0782,0.0704,0.0000,0.4322,0.1297,0.0982,0.0904,0.0882
1,WEEKDAY,11,0.1553,0.0017,0.0555,0.0205,0.0791,0.0710,0.0000,0.4276,0.1310,0.0985,0.0904,0.0882
1,WEEKDAY,12,0.1338,0.0027,0.0445,0.0204,0.0781,0.0720,0.0000,0.4261,0.1307,0.0985,0.0904,0.0882
1,WEEKDAY,13,0.1207,0.0032,0.0432,0.0196,0.0740,0.0721,0.0000,0.4257,0.1285,0.0982,0.0904,0.0882
1,WEEKDAY,14,0.1120,0.0035,0.0407,0.0196,0.0661,0.0728,0.0000,0.4058,0.1216,0.0952,0.0903,0.0859
1,WEEKDAY,15,0.1188,0.0035,0.0248,0.0199,0.0621,0.0726,0.0000,0.3759,0.1085,0.0858,0.0893,0.0748
1,WEEKDAY,16,0.1609,0.0023,0.0268,0.0199,0.0604,0.0710,0.0003,0.3209,0.0846,0.0718,0.0999,0.0386
1,WEEKDAY,17,0.2553,0.0011,0.0206,0.0194,0.0585,0.0703,0.1211,0.2708,0.0511,0.0485,0.0889,0.0226
1,WEEKDAY,18,0.0524,0.0005,0.0157,0.0184,0.0559,0.0689,0.1738,0.2187,0.0331,0.0375,0.0750,0.0134
1,WEEKDAY,19,0.0210,0.0003,0.0163,0.0172,0.0521,0.0678,0.1854,0.2018,0.0257,0.0332,0.0467,0.0090
1,WEEKDAY,20,0.0508,0.0002,0.0170,0.0153,0.0441,0.0669,0.1854,0.1873,0.0209,0.0308,0.0359,0.0062
1,WEEKDAY,21,0.0688,0.0001,0.0179,0.0119,0.0294,0.0647,0.1374,0.1528,0.0172,0.0255,0.0256,0.0044
1,WEEKDAY,22,0.0838,0.0001,0.0159,0.0067,0.0118,0.0634,0.1370,0.0975,0.0144,0.0181,0.0173,0.0038
1,WEEKDAY,23,0.1016,0.0001,0.0156,0.0052,0.0067,0.0613,0.1370,0.0801,0.0135,0.0160,0.0143,0.0037
1,SATURDAY,0,0.0535,0.0001,0.0148,0.0051,0.0065,0.0609,0.1254,0.0778,0.0134,0.0157,0.0140,0.0037
1,SATURDAY,1,0.0772,0.0001,0.0158,0.0050,0.0085,0.0610,0.1254,0.0766,0.0134,0.0157,0.0140,0.0037
1,SATURDAY,2,0.1102,0.0001,0.0167,0.0050,0.0161,0.0614,0.1254,0.0809,0.0135,0.0160,0.0160,0.0042
1,SATURDAY,3,0.1140,0.0001,0.0191,0.0064,0.0275,0.0618,0.1207,0.0928,0.0141,0.0185,0.0274,0.0059
1,SATURDAY,4,0.1193,0.0001,0.0185,0.0126,0.0453,0.0629,0.1207,0.1317,0.0169,0.0291,0.0511,0.0079
1,SATURDAY,5,0.1246,0.0001,0.0206,0.0152,0.0561,0.0649,0.1207,0.1524,0.0192,0.0324,0.0608,0.0103
1,SATURDAY,6,0.1291,0.0001,0.0213,0.0171,0.0598,0.0659,0.1207,0.1771,0.0213,0.0343,0.0691,0.0125
1,SATURDAY,7,0.1778,0.0002,0.0221,0.0180,0.0604,0.0664,0.0694,0.1898,0.0251,0.0321,0.0598,0.0142
1,SATURDAY,8,0.1857,0.0002,0.0201,0.0184,0.0607,0.0664,0.0000,0.1965,0.0270,0.0330,0.0625,0.0152
1,SATURDAY,9,0.1414,0.0005,0.0194,0.0186,0.0619,0.0675,0.0000,0.1974,0.0274,0.0335,0.0634,0.0155
1,SATURDAY,10,0.1234,0.0007,0.0180,0.0187,0.0627,0.0681,0.0000,0.1966,0.0276,0.0338,0.0637,0.0156
1,SATURDAY,11,0.1107,0.0008,0.0174,0.0189,0.0629,0.0686,0.0000,0.1959,0.0276,0.0339,0.0637,0.0156
1,SATURDAY,12,0.0857,0.0012,0.0167,0.0188,0.0623,0.0696,0.0000,0.1957,0.0276,0.0339,0.0634,0.0156
1,SATURDAY,13,0.0739,0.0014,0.0166,0.0181,0.0596,0.0698,0.0000,0.1953,0.0276,0.0339,0.0630,0.0156
1,SATURDAY,14,0.0536,0.0018,0.0158,0.0182,0.0556,0.0709,0.0000,0.1949,0.0276,0.0339,0.0619,0.0155
1,SATURDAY,15,0.0555,0.0015,0.0163,0.0187,0.0546,0.0711,0.0000,0.1939,0.0276,0.0339,0.0607,0.0153
1,SATURDAY,16,0.0860,0.0007,0.0168,0.0189,0.0553,0.0699,0.0003,0.1936,0.0276,0.0372,0.0734,0.0148
1,SATURDAY,17,0.1239,0.0003,0.0180,0.0188,0.0554,0.0696,0.1211,0.1918,0.0272,0.0371,0.0702,0.0137
1,SATURDAY,18,0.1408,0.0002,0.0180,0.0183,0.0538,0.0685,0.1738,0.1908,0.0257,0.0367,0.0636,0.0111
1,SATURDAY,19,0.1030,0.0002,0.0193,0.0172,0.0503,0.0675,0.1854,0.1825,0.0235,0.0324,0.0372,0.0079
1,SATURDAY,20,0.1125,0.0001,0.0184,0.0153,0.0427,0.0667,0.1854,0.1755,0.0203,0.0302,0.0310,0.0052
1,SATURDAY,21,0.1177,0.0001,0.0201,0.0119,0.0291,0.0647,0.1374,0.1475,0.0171,0.0254,0.0249,0.0042
1,SATURDAY,22,0.1243,0.0001,0.0180,0.0067,0.0118,0.0634,0.1370,0.0954,0.0144,0.0181,0.0173,0.0038
1,SATURDAY,23,0.1332,0.0001,0.0173,0.0052,0.0067,0.0613,0.1370,0.0796,0.0135,0.0160,0.0143,0.0037
1,SUNDAY,0,0.1594,0.0001,0.0185,0.0051,0.0065,0.0609,0.1254,0.0778,0.0134,0.0157,0.0140,0.0046
1,SUNDAY,1,0.1656,0.0001,0.0191,0.0050,0.0085,0.0610,0.1254,0.0766,0.0134,0.0157,0.0140,0.0046
1,SUNDAY,2,0.1740,0.0001,0.0199,0.0050,0.0161,0.0614,0.1254,0.0809,0.0135,0.0160,0.0160,0.0049
1,SUNDAY,3,0.1936,0.0001,0.0221,0.0064,0.0275,0.0618,0.1207,0.0930,0.0141,0.0185,0.0274,0.0064
1,SUNDAY,4,0.2053,0.0001,0.0218,0.0126,0.0453,0.0629,0.1207,0.1325,0.0169,0.0291,0.0511,0.0081
1,SUNDAY,5,0.1945,0.0002,0.0232,0.0152,0.0561,0.0649,0.1207,0.1540,0.0192,0.0324,0.0608,0.0104
1,SUNDAY,6,0.2162,0.0002,0.0245,0.0171,0.0598,0.0659,0.1207,0.1847,0.0213,0.0343,0.0691,0.0125
1,SUNDAY,7,0.2658,0.0002,0.0247,0.0180,0.0604,0.0664,0.0694,0.1981,0.0251,0.0321,0.0598,0.0142
1,SUNDAY,8,0.2647,0.0003,0.0230,0.0184,0.0607,0.0664,0.0000,0.2008,0.0270,0.0330,0.0625,0.0152
1,SUNDAY,9,0.1951,0.0005,0.0215,0.0186,0.0619,0.0675,0.0000,0.1988,0.0274,0.0335,0.0634,0.0155
1,SUNDAY,10,0.1506,0.0007,0.0192,0.0187,0.0627,0.0681,0.0000,0.1964,0.0276,0.0338,0.0637,0.0156
1,SUNDAY,11,0.1342,0.0010,0.0188,0.0189,0.0629,0.0686,0.0000,0.1904,0.0276,0.0339,0.0637,0.0156
1,SUNDAY,12,0.1201,0.0016,0.0183,0.0188,0.0623,0.0696,0.0000,0.1815,0.0276,0.0339,0.0634,0.0156
1,SUNDAY,13,0.1119,0.0021,0.0175,0.0181,0.0596,0.0698,0.0000,0.1766,0.0276,0.0339,0.0630,0.0156
1,SUNDAY,14,0.1150,0.0021,0.0173,0.0182,0.0556,0.0709,0.0000,0.1752,0.0276,0.0339,0.0619,0.0155
1,SUNDAY,15,0.1206,0.0018,0.0172,0.0187,0.0546,0.0711,0.0000,0.1749,0.0276,0.0339,0.0607,0.0153
1,SUNDAY,16,0.1408,0.0010,0.0180,0.0189,0.0553,0.0699,0.0003,0.1760,0.0276,0.0372,0.0734,0.0149
1,SUNDAY,17,0.1748,0.0007,0.0186,0.0188,0.0554,0.0696,0.1211,0.1775,0.0272,0.0371,0.0702,0.0138
1,SUNDAY,18,0.1972,0.0003,0.0193,0.0183,0.0538,0.0685,0.1738,0.1811,0.0257,0.0367,0.0636,0.0113
1,SUNDAY,19,0.1673,0.0002,0.0196,0.0172,0.0503,0.0675,0.1854,0.1800,0.0235,0.0324,0.0372,0.0080
1,SUNDAY,20,0.1728,0.0002,0.0202,0.0153,0.0427,0.0667,0.1854,0.1753,0.0203,0.0302,0.0310,0.0050
1,SUNDAY,21,0.1817,0.0001,0.0211,0.0119,0.0291,0.0647,0.1374,0.1475,0.0171,0.0254,0.0249,0.0049
1,SUNDAY,22,0.1884,0.0001,0.0196,0.0067,0.0118,0.0634,0.1370,0.0954,0.0144,0.0181,0.0173,0.0047
1,SUNDAY,23,0.2079,0.0001,0.0193,0.0052,0.0067,0.0613,0.1370,0.0796,0.0135,0.0160,0.0143,0.0046
