Month,Daytype,Hour,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,0,1.1041,0.0515,0.0063,0.0002,0.3380,0.0823,0.1637,0.0089,0.0345,0.0774,0.0257
1,WEEKDAY,1,0.8493,0.0397,0.0063,0.0002,0.3395,0.0823,0.1628,0.0088,0.0328,0.0755,0.0252
1,WEEKDAY,2,0.6971,0.0328,0.0063,0.0002,0.3400,0.0823,0.1628,0.0088,0.0328,0.0755,0.0252
1,WEEKDAY,3,0.6447,0.0305,0.0064,0.0002,0.3414,0.0823,0.1628,0.0088,0.0328,0.0815,0.0263
1,WEEKDAY,4,1.0196,0.0487,0.0074,0.0002,0.3420,0.0823,0.1630,0.0089,0.0328,0.1159,0.0323
1,WEEKDAY,5,1.5595,0.0747,0.0088,0.0003,0.3639,0.0823,0.1643,0.0092,0.0328,0.1444,0.0372
1,WEEKDAY,6,1.6662,0.0800,0.0116,0.0006,0.3589,0.0823,0.1708,0.0104,0.0357,0.1600,0.0403
1,WEEKDAY,7,2.4233,0.1163,0.0168,0.0017,0.3447,0.0156,0.2600,0.0200,0.0616,0.1851,0.0492
1,WEEKDAY,8,3.4004,0.1637,0.0224,0.0043,0.3321,0.0000,0.3114,0.0275,0.1044,0.2248,0.0660
1,WEEKDAY,9,4.0851,0.1937,0.0245,0.0063,0.3508,0.0000,0.3367,0.0345,0.1404,0.2594,0.0822
1,WEEKDAY,10,4.6304,0.2152,0.0246,0.0071,0.3515,0.0000,0.3414,0.0366,0.1502,0.2694,0.0872
1,WEEKDAY,11,5.1375,0.2337,0.0252,0.0073,0.3571,0.0000,0.3417,0.0368,0.1510,0.2703,0.0876
1,WEEKDAY,12,5.5987,0.2501,0.0252,0.0073,0.3877,0.0000,0.3417,0.0368,0.1510,0.2703,0.0876
1,WEEKDAY,13,6.0208,0.2650,0.0244,0.0073,0.3959,0.0000,0.3417,0.0367,0.1510,0.2703,0.0876
1,WEEKDAY,14,6.3219,0.2746,0.0244,0.0072,0.4248,0.0000,0.3412,0.0364,0.1510,0.2701,0.0876
1,WEEKDAY,15,6.4681,0.2799,0.0241,0.0068,0.4324,0.0000,0.3381,0.0354,0.1510,0.2681,0.0874
1,WEEKDAY,16,6.4098,0.2768,0.0203,0.0062,0.4161,0.0000,0.3308,0.0335,0.1510,0.2613,0.0866
1,WEEKDAY,17,5.9925,0.2618,0.0164,0.0051,0.4146,0.0823,0.3230,0.0315,0.1510,0.2537,0.0854
1,WEEKDAY,18,5.0167,0.2233,0.0140,0.0044,0.3866,0.0823,0.2487,0.0234,0.1458,0.2445,0.0826
1,WEEKDAY,19,4.5310,0.2064,0.0122,0.0037,0.3810,0.0823,0.2340,0.0204,0.1389,0.2215,0.0754
1,WEEKDAY,20,3.0914,0.1412,0.0096,0.0025,0.3781,0.0823,0.2139,0.0170,0.1206,0.1521,0.0574
1,WEEKDAY,21,2.1621,0.1000,0.0076,0.0013,0.3574,0.0823,0.1921,0.0131,0.0905,0.1167,0.0426
