Month,Daytype,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous
1,WEEKDAY,0,0.0163,0.0000,0.0073,0.1178,0.4304,0.8125,0.2814,0.6611,0.0141,0.0631
1,WEEKDAY,1,0.0443,0.0000,0.0256,0.1152,0.2704,0.8014,0.2814,0.5257,0.0127,0.0601
1,WEEKDAY,2,0.0456,0.0000,0.0256,0.1152,0.1225,0.7910,0.2814,0.3955,0.0123,0.0563
1,WEEKDAY,3,0.0633,0.0000,0.0366,0.1152,0.0551,0.7821,0.2814,0.2867,0.0115,0.0494
1,WEEKDAY,4,0.0512,0.0000,0.0293,0.1152,0.0388,0.7732,0.2814,0.2091,0.0098,0.0347
1,WEEKDAY,5,0.0649,0.0000,0.0366,0.1191,0.0428,0.7781,0.2814,0.1586,0.0081,0.0214
1,WEEKDAY,6,0.0721,0.0000,0.0403,0.1543,0.0871,0.7701,0.2814,0.1344,0.0085,0.0182
1,WEEKDAY,7,0.0687,0.0000,0.0366,0.2683,0.2060,0.7644,0.1164,0.1434,0.1423,0.0259
1,WEEKDAY,8,0.0071,0.0000,0.0037,0.4847,0.4121,0.7588,0.0000,0.1736,0.1497,0.0394
1,WEEKDAY,9,0.0000,0.0225,0.0243,0.7550,0.6412,0.7737,0.0000,0.2085,0.1601,0.0528
1,WEEKDAY,10,0.0257,0.0543,0.0778,0.9563,0.7574,0.7870,0.0000,0.2452,0.1702,0.0601
1,WEEKDAY,11,0.0184,0.1088,0.1146,1.0254,0.8379,0.8042,0.0000,0.2825,0.1783,0.0602
1,WEEKDAY,12,0.0000,0.1693,0.1171,1.0379,0.9427,0.8273,0.0000,0.3392,0.1860,0.0602
1,WEEKDAY,13,0.0000,0.2004,0.1171,0.9992,1.1496,0.8549,0.0000,0.5228,0.1882,0.0618
1,WEEKDAY,14,0.0000,0.2171,0.1181,0.9768,1.2925,0.8981,0.0000,0.7795,0.1894,0.0728
1,WEEKDAY,15,0.0000,0.2161,0.1180,0.9865,1.3622,0.9200,0.0000,0.9332,0.1916,0.0899
1,WEEKDAY,16,0.4188,0.8956,0.4017,1.0161,1.4066,0.9160,0.0000,1.0010,0.1933,0.1010
1,WEEKDAY,17,0.3749,1.0256,0.4470,1.0192,1.4297,0.9133,0.2814,1.0227,0.1940,0.1077
1,WEEKDAY,18,0.3689,0.8434,0.4403,0.9793,1.4989,0.8978,0.2814,1.0291,0.1933,0.1095
1,WEEKDAY,19,0.3728,0.8335,0.4547,0.8145,1.4940,0.8857,0.2814,1.0222,0.1887,0.1089
1,WEEKDAY,20,0.3924,0.7580,0.4549,0.5246,1.3707,0.8759,0.2814,0.9726,0.1775,0.1016
1,WEEKDAY,21,0.3994,0.6873,0.3982,0.3406,1.1634,0.8557,0.2814,0.9185,0.1520,0.0925
1,WEEKDAY,22,0.3933,0.5876,0.3370,0.2143,0.9029,0.8464,0.2814,0.8566,0.0982,0.0777
1,WEEKDAY,23,0.4053,0.5029,0.3138,0.1412,0.6133,0.8233,0.2814,0.7833,0.0179,0.0680
1,SATURDAY,0,0.0000,0.0000,0.0000,0.1178,0.4304,0.8125,0.2814,0.6611,0.0141,0.0631
1,SATURDAY,1,0.1282,0.0000,0.0604,0.1152,0.2704,0.8014,0.2814,0.5257,0.0127,0.0601
1,SATURDAY,2,0.0000,0.0000,0.0000,0.1152,0.1225,0.7910,0.2814,0.3955,0.0123,0.0563
1,SATURDAY,3,0.1590,0.0000,0.0806,0.1152,0.0551,0.7821,0.2814,0.2867,0.0115,0.0494
1,SATURDAY,4,0.0385,0.0000,0.0201,0.1152,0.0388,0.7732,0.2814,0.2091,0.0098,0.0347
1,SATURDAY,5,0.1690,0.0000,0.0806,0.1191,0.0428,0.7781,0.2814,0.1586,0.0081,0.0214
1,SATURDAY,6,0.0428,0.0000,0.0201,0.1543,0.0871,0.7701,0.2814,0.1344,0.0085,0.0182
1,SATURDAY,7,0.1568,0.0000,0.0806,0.2683,0.2060,0.7644,0.1164,0.1434,0.1423,0.0259
1,SATURDAY,8,0.0000,0.0000,0.0000,0.4847,0.4121,0.7588,0.0000,0.1736,0.1497,0.0394
1,SATURDAY,9,0.0000,0.0208,0.0259,0.7550,0.6412,0.7737,0.0000,0.2085,0.1601,0.0528
1,SATURDAY,10,0.0000,0.0446,0.0356,0.9563,0.7574,0.7870,0.0000,0.2452,0.1702,0.0601
1,SATURDAY,11,0.0556,0.0556,0.1149,1.0254,0.8379,0.8042,0.0000,0.2825,0.1783,0.0602
1,SATURDAY,12,0.0000,0.1044,0.1174,1.0379,0.9427,0.8273,0.0000,0.3392,0.1860,0.0602
1,SATURDAY,13,0.0000,0.1396,0.1179,0.9992,1.1496,0.8549,0.0000,0.5228,0.1882,0.0618
1,SATURDAY,14,0.0000,0.1507,0.1191,0.9768,1.2925,0.8981,0.0000,0.7795,0.1894,0.0728
1,SATURDAY,15,0.0000,0.1544,0.1181,0.9865,1.3622,0.9200,0.0000,0.9332,0.1916,0.0899
1,SATURDAY,16,0.5452,0.8845,0.4247,1.0161,1.4066,0.9160,0.0000,1.0010,0.1933,0.1010
1,SATURDAY,17,0.4852,1.0266,0.4593,1.0192,1.4297,0.9133,0.2814,1.0227,0.1940,0.1077
1,SATURDAY,18,0.4457,0.8447,0.4489,0.9793,1.4989,0.8978,0.2814,1.0291,0.1933,0.1095
1,SATURDAY,19,0.4406,0.8395,0.4523,0.8145,1.4940,0.8857,0.2814,1.0222,0.1887,0.1089
1,SATURDAY,20,0.4749,0.7852,0.4460,0.5246,1.3707,0.8759,0.2814,0.9726,0.1775,0.1016
1,SATURDAY,21,0.4272,0.7258,0.3526,0.3406,1.1634,0.8557,0.2814,0.9185,0.1520,0.0925
1,SATURDAY,22,0.4155,0.6083,0.3299,0.2143,0.9029,0.8464,0.2814,0.8566,0.0982,0.0777
1,SATURDAY,23,0.3987,0.5250,0.3014,0.1412,0.6133,0.8233,0.2814,0.7833,0.0179,0.0680
1,SUNDAY,0,0.0488,0.0000,0.0201,0.1178,0.4304,0.8125,0.2814,0.6611,0.0141,0.0631
1,SUNDAY,1,0.0406,0.0000,0.0201,0.1152,0.2704,0.8014,0.2814,0.5257,0.0127,0.0601
1,SUNDAY,2,0.0441,0.0000,0.0201,0.1152,0.1225,0.7910,0.2814,0.3955,0.0123,0.0563
1,SUNDAY,3,0.0722,0.0000,0.0403,0.1152,0.0551,0.7821,0.2814,0.2867,0.0115,0.0494
1,SUNDAY,4,0.0780,0.0000,0.0403,0.1152,0.0388,0.7732,0.2814,0.2091,0.0098,0.0347
