NAICS,REGION,DESCRIPTION,FLOORAREA[Msf],SITES[unit],FLOORAREA_PER_SITE[sf/unit],BUILDINGS[unit],BUILDINGS_PER_SITE[unit/unit],PURCHASES[GWh],TRANSFERS[GWh],GENERATION[GWh],SALES[GWh],NET_DEMAND[GWh],REPORTED_ELECTRIC[GWh],REPORTED_ELECTRIFICATION[pu],UNREPORTED_ELECTRIC[GWh],UNREPORTED_ELECTRIFICATION[pu],A,B,C,D,E,I,Z
311,NERC,Food,1157.0,13690.0,96586.0,31087.0,2.5,72205.0,239.0,4594.0,336.0,76701.0,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
311,NORTHEAST,Food,,,96586.0,,2.5,5739.0,2.0,,,6125.0,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
311,MIDWEST,Food,,,96586.0,,2.5,31956.0,40.0,1081.0,17.0,33061.0,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
311,SOUTH,Food,,,96586.0,,2.5,22517.0,158.0,1739.0,168.0,24245.0,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
311,WEST,Food,,,96586.0,,2.5,11993.0,,1351.0,113.0,13270.0,72331.0,0.05254963985013342,1443.0,0.4658101178101178,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
312,NERC,Beverage and Tobacco Products,252.0,2443.0,113358.9,6844.0,3.0,9755.0,0.0,259.0,,10014.0,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
312,NORTHEAST,Beverage and Tobacco Products,,,113358.9,,3.0,1466.0,0.0,2.0,0.0,1468.0,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
312,MIDWEST,Beverage and Tobacco Products,,,113358.9,,3.0,1435.0,0.0,0.0,0.0,1435.0,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
312,SOUTH,Beverage and Tobacco Products,,,113358.9,,3.0,3897.0,0.0,9.0,0.0,3906.0,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
312,WEST,Beverage and Tobacco Products,,,113358.9,,3.0,2957.0,0.0,248.0,0.0,3205.0,9808.0,0.03304853181076672,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
313,NERC,Textile Mills,220.0,1355.0,164744.2,2677.0,2.0,12773.0,0.0,101.0,187.0,12687.0,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
313,NORTHEAST,Textile Mills,,,164744.2,,2.0,,0.0,47.0,0.0,,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
313,MIDWEST,Textile Mills,,,164744.2,,2.0,270.0,0.0,0.0,0.0,270.0,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
313,SOUTH,Textile Mills,,,164744.2,,2.0,10418.0,0.0,54.0,187.0,10285.0,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
313,WEST,Textile Mills,,,164744.2,,2.0,239.0,0.0,0.0,0.0,239.0,12586.0,0.02629620212935007,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
314,NERC,Textile Product Mills,151.0,4277.0,39709.4,2522.0,0.7,2748.0,0.0,0.0,0.0,2748.0,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
314,NORTHEAST,Textile Product Mills,,,39709.4,,0.7,119.0,0.0,0.0,0.0,119.0,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
314,MIDWEST,Textile Product Mills,,,39709.4,,0.7,323.0,0.0,0.0,0.0,323.0,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
314,SOUTH,Textile Product Mills,,,39709.4,,0.7,2100.0,0.0,0.0,0.0,2100.0,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
314,WEST,Textile Product Mills,,,39709.4,,0.7,206.0,0.0,0.0,0.0,206.0,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
315,NERC,Apparel,44.0,3874.0,12439.3,2324.0,0.6,803.0,0.0,0.0,0.0,803.0,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
315,NORTHEAST,Apparel,,,12439.3,,0.6,102.0,0.0,0.0,0.0,102.0,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
315,MIDWEST,Apparel,,,12439.3,,0.6,,0.0,0.0,0.0,,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
315,SOUTH,Apparel,,,12439.3,,0.6,579.0,0.0,0.0,0.0,579.0,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
315,WEST,Apparel,,,12439.3,,0.6,79.0,0.0,0.0,0.0,79.0,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
316,NERC,Leather and Allied Products,15.0,466.0,33483.2,507.0,1.1,316.0,0.0,0.0,0.0,316.0,316.0,0.03239240506329114,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
316,NORTHEAST,Leather and Allied Products,,,33483.2,,1.1,46.0,0.0,0.0,0.0,46.0,316.0,0.03239240506329114,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
316,MIDWEST,Leather and Allied Products,,,33483.2,,1.1,152.0,0.0,0.0,0.0,152.0,316.0,0.03239240506329114,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
316,SOUTH,Leather and Allied Products,,,33483.2,,1.1,98.0,0.0,0.0,0.0,98.0,316.0,0.03239240506329114,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
316,WEST,Leather and Allied Products,,,33483.2,,1.1,20.0,0.0,0.0,0.0,20.0,316.0,0.03239240506329114,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
321,NERC,Wood Products,505.0,8398.0,71281.4,26107.0,3.4,21901.0,0.0,1063.0,610.0,22353.0,21308.0,0.061489018209123336,233.0,3.6609442060085833,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
321,NORTHEAST,Wood Products,,,71281.4,,3.4,1983.0,0.0,19.0,2.0,2000.0,21308.0,0.061489018209123336,233.0,3.6609442060085833,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
321,MIDWEST,Wood Products,,,71281.4,,3.4,2534.0,0.0,54.0,0.0,2588.0,21308.0,0.061489018209123336,233.0,3.6609442060085833,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
