# file...... voltage.csv
# date...... Mon Aug  8 09:52:39 2022
# user...... duncanr
# host...... (null)
# target.... node 39
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,voltage_A,voltage_B,voltage_C
2000-01-01 00:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 01:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 02:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 03:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 04:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 05:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 06:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 07:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 08:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 09:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 10:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 11:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 12:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 13:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 14:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 15:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 16:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 17:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 18:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 19:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 20:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 21:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 22:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
2000-01-01 23:00:00 EST,+2401.78+0i,-1200.89-2080j,-1200.89+2080j
# end of tape
