building_type,UA,CA,UI,CM,UM,DF,K,QE,QG,QO,QV,SA,TS,PZM,PPM,QPM,PZE,PIE,PPE,QZE,QIE,QPE,PPH,QPH
education,300.0,2.0e6,5000.0,8.0e6,600.0,2.0,1.0,1e4,1e3,1.2e3,400.0,15.0,22.0,0.0,0.3,0.03,500.0,0.0,500.0,50.0,0.0,50.0,0.06,0.01
grocery,300.0,2.0e6,5000.0,8.0e6,600.0,2.0,1.0,1e4,1e3,1.2e3,400.0,15.0,22.0,0.0,0.3,0.03,500.0,0.0,500.0,50.0,0.0,50.0,0.06,0.01
house,300.0,2.0e6,5000.0,8.0e6,600.0,2.0,1.0,1e4,1e3,1.2e3,400.0,15.0,22.0,0.0,0.3,0.03,500.0,0.0,500.0,50.0,0.0,50.0,0.06,0.01
healthcare,300.0,2.0e6,5000.0,8.0e6,600.0,2.0,1.0,1e4,1e3,1.2e3,400.0,15.0,22.0,0.0,0.3,0.03,500.0,0.0,500.0,50.0,0.0,50.0,0.06,0.01
largeoffice,300.0,2.0e6,5000.0,8.0e6,600.0,2.0,1.0,1e4,1e3,1.2e3,400.0,15.0,22.0,0.0,0.3,0.03,500.0,0.0,500.0,50.0,0.0,50.0,0.06,0.01
lodging,300.0,2.0e6,5000.0,8.0e6,600.0,2.0,1.0,1e4,1e3,1.2e3,400.0,15.0,22.0,0.0,0.3,0.03,500.0,0.0,500.0,50.0,0.0,50.0,0.06,0.01
restaurant,300.0,2.0e6,5000.0,8.0e6,600.0,2.0,1.0,1e4,1e3,1.2e3,400.0,15.0,22.0,0.0,0.3,0.03,500.0,0.0,500.0,50.0,0.0,50.0,0.06,0.01
retail,300.0,2.0e6,5000.0,8.0e6,600.0,2.0,1.0,1e4,1e3,1.2e3,400.0,15.0,22.0,0.0,0.3,0.03,500.0,0.0,500.0,50.0,0.0,50.0,0.06,0.01
smalloffice,300.0,2.0e6,5000.0,8.0e6,600.0,2.0,1.0,1e4,1e3,1.2e3,400.0,15.0,22.0,0.0,0.3,0.03,500.0,0.0,500.0,50.0,0.0,50.0,0.06,0.01
house,300.0,2.0e6,5000.0,8.0e6,600.0,2.0,1.0,1e4,1e3,1.2e3,400.0,15.0,22.0,0.0,0.3,0.03,500.0,0.0,500.0,50.0,0.0,50.0,0.06,0.01
