building_type,season,fuel,daytype,hour,load
EDUCATION,WINTER,ELECTRIC,WEEKEND,0,0.4624
EDUCATION,WINTER,ELECTRIC,WEEKEND,1,0.463
EDUCATION,WINTER,ELECTRIC,WEEKEND,2,0.4638
EDUCATION,WINTER,ELECTRIC,WEEKEND,3,0.4635
EDUCATION,WINTER,ELECTRIC,WEEKEND,4,0.4708
EDUCATION,WINTER,ELECTRIC,WEEKEND,5,0.4667
EDUCATION,WINTER,ELECTRIC,WEEKEND,6,0.4202
EDUCATION,WINTER,ELECTRIC,WEEKEND,7,0.368
EDUCATION,WINTER,ELECTRIC,WEEKEND,8,0.359
EDUCATION,WINTER,ELECTRIC,WEEKEND,9,0.3678
EDUCATION,WINTER,ELECTRIC,WEEKEND,10,0.3724
EDUCATION,WINTER,ELECTRIC,WEEKEND,11,0.3716
EDUCATION,WINTER,ELECTRIC,WEEKEND,12,0.3672
EDUCATION,WINTER,ELECTRIC,WEEKEND,13,0.3532
EDUCATION,WINTER,ELECTRIC,WEEKEND,14,0.3403
EDUCATION,WINTER,ELECTRIC,WEEKEND,15,0.3237
EDUCATION,WINTER,ELECTRIC,WEEKEND,16,0.312
EDUCATION,WINTER,ELECTRIC,WEEKEND,17,0.3657
EDUCATION,WINTER,ELECTRIC,WEEKEND,18,0.4538
EDUCATION,WINTER,ELECTRIC,WEEKEND,19,0.4779
EDUCATION,WINTER,ELECTRIC,WEEKEND,20,0.4866
EDUCATION,WINTER,ELECTRIC,WEEKEND,21,0.4904
EDUCATION,WINTER,ELECTRIC,WEEKEND,22,0.4931
EDUCATION,WINTER,ELECTRIC,WEEKEND,23,0.493
EDUCATION,WINTER,ELECTRIC,WEEKDAY,0,0.4653
EDUCATION,WINTER,ELECTRIC,WEEKDAY,1,0.4691
EDUCATION,WINTER,ELECTRIC,WEEKDAY,2,0.4705
EDUCATION,WINTER,ELECTRIC,WEEKDAY,3,0.481
EDUCATION,WINTER,ELECTRIC,WEEKDAY,4,0.5255
EDUCATION,WINTER,ELECTRIC,WEEKDAY,5,0.6176
EDUCATION,WINTER,ELECTRIC,WEEKDAY,6,0.8965
EDUCATION,WINTER,ELECTRIC,WEEKDAY,7,1.2717
EDUCATION,WINTER,ELECTRIC,WEEKDAY,8,1.5979
EDUCATION,WINTER,ELECTRIC,WEEKDAY,9,1.7601
EDUCATION,WINTER,ELECTRIC,WEEKDAY,10,1.7981
EDUCATION,WINTER,ELECTRIC,WEEKDAY,11,1.7946
EDUCATION,WINTER,ELECTRIC,WEEKDAY,12,1.7487
EDUCATION,WINTER,ELECTRIC,WEEKDAY,13,1.6425
EDUCATION,WINTER,ELECTRIC,WEEKDAY,14,1.4407
EDUCATION,WINTER,ELECTRIC,WEEKDAY,15,1.1532
EDUCATION,WINTER,ELECTRIC,WEEKDAY,16,0.8689
EDUCATION,WINTER,ELECTRIC,WEEKDAY,17,0.667
EDUCATION,WINTER,ELECTRIC,WEEKDAY,18,0.6039
EDUCATION,WINTER,ELECTRIC,WEEKDAY,19,0.5458
EDUCATION,WINTER,ELECTRIC,WEEKDAY,20,0.5155
EDUCATION,WINTER,ELECTRIC,WEEKDAY,21,0.5013
EDUCATION,WINTER,ELECTRIC,WEEKDAY,22,0.4892
EDUCATION,WINTER,ELECTRIC,WEEKDAY,23,0.4818
EDUCATION,WINTER,GAS,WEEKEND,0,0.2444
EDUCATION,WINTER,GAS,WEEKEND,1,0.2444
EDUCATION,WINTER,GAS,WEEKEND,2,0.2446
EDUCATION,WINTER,GAS,WEEKEND,3,0.2456
EDUCATION,WINTER,GAS,WEEKEND,4,0.2534
EDUCATION,WINTER,GAS,WEEKEND,5,0.2818
EDUCATION,WINTER,GAS,WEEKEND,6,0.3317
EDUCATION,WINTER,GAS,WEEKEND,7,0.3621
EDUCATION,WINTER,GAS,WEEKEND,8,0.3858
EDUCATION,WINTER,GAS,WEEKEND,9,0.4003
EDUCATION,WINTER,GAS,WEEKEND,10,0.4119
EDUCATION,WINTER,GAS,WEEKEND,11,0.4148
EDUCATION,WINTER,GAS,WEEKEND,12,0.4107
EDUCATION,WINTER,GAS,WEEKEND,13,0.4012
EDUCATION,WINTER,GAS,WEEKEND,14,0.3915
EDUCATION,WINTER,GAS,WEEKEND,15,0.3793
EDUCATION,WINTER,GAS,WEEKEND,16,0.3556
EDUCATION,WINTER,GAS,WEEKEND,17,0.3162
EDUCATION,WINTER,GAS,WEEKEND,18,0.278
