building_type,UA,CA,UI,CM,UM,DF,K,QE,QG,QO,QV,SA,TS,PZM,PPM,QPM,PZE,PIE,PPE,QZE,QIE,QPE,PPH,QPH
APARTMENT,2.0,13333.3,33.3,53333.3,4.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,0.0,0.3,0.03,0.5,0.0,0.5,0.05,0.0,0.05,0.06,0.01
CONDO,2.0,13333.3,33.3,53333.3,4.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,0.0,0.3,0.03,0.5,0.0,0.5,0.05,0.0,0.05,0.06,0.01
EDUCATION,2.0,13333.3,33.3,53333.3,4.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.39,0.08,2.96,0.62,2.03,0.6,0.13,0.41,0.35,0.07
GROCERY,2.0,13333.3,33.3,53333.3,4.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.55,0.11,7.8,0.46,5.82,1.58,0.09,1.18,0.48,0.1
HOUSE,2.0,13333.3,33.3,53333.3,4.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,0.0,0.3,0.03,0.5,0.0,0.5,0.05,0.0,0.05,0.06,0.01
HEALTHCARE,2.0,13333.3,33.3,53333.3,4.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.70,0.14,3.18,1.058,1.98,0.65,0.21,0.4,0.6,0.12
LARGEOFFICE,2.0,13333.3,33.3,53333.3,4.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.61,0.12,2.44,1.16,1.85,0.5,0.24,0.38,0.41,0.08
LODGING,2.0,13333.3,33.3,53333.3,4.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.4,0.08,2.53,0.56,2.7,0.51,0.11,0.55,0.38,0.08
RESTAURANT,2.0,13333.3,33.3,53333.3,4.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.77,0.16,9.00,0.94,3.95,1.83,0.19,0.8,0.67,0.14
RETAIL,2.0,13333.3,33.3,53333.3,4.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.49,0.1,4.63,0.4,3.32,0.94,0.08,0.67,0.43,0.09
SMALLOFFICE,2.0,13333.3,33.3,53333.3,4.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.38,0.08,3.69,1.23,3.22,0.75,0.25,0.65,0.34,0.07
TOWNHOUSE,2.0,13333.3,33.3,53333.3,4.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,0.0,0.3,0.03,0.5,0.0,0.5,0.05,0.0,0.05,0.06,0.01
