building_type,load_component,heating,cooling,ventilation,hotwater,cooking,refrigeration,outdoor,lights,plugs,miscellaneous,process,motors,compressors
APARTMENT,MA,0,0,0,0,0,0,0,0,0,0,0,0,0
APARTMENT,MB,0,0.1,0,0,0,0,0,0,0,0,0,0,0
APARTMENT,MC,0,0.1,0,0.4,0,0,0,0,0,0,0.1,0,1
APARTMENT,MD,0.1,0.8,0,0,0,1,0,0,0,0,0,1,0
APARTMENT,PE,0,0,1,0,1,0,0,0,0.5,0,0.1,0,0
APARTMENT,PI,0,0,0,0,0,0,0,0,0,0,0,0,0
APARTMENT,PZ,0.9,0,0,0.6,0,0,1,1,0.5,1,0.8,0,0
CONDO,MA,0,0,0,0,0,0,0,0,0,0,0,0,0
CONDO,MB,0,0.1,0,0,0,0,0,0,0,0,0,0,0
CONDO,MC,0,0.1,0,0.4,0,0,0,0,0,0,0.1,0,1
CONDO,MD,0.1,0.8,0,0,0,1,0,0,0,0,0,1,0
CONDO,PE,0,0,1,0,1,0,0,0,0.5,0,0.1,0,0
CONDO,PI,0,0,0,0,0,0,0,0,0,0,0,0,0
CONDO,PZ,0.9,0,0,0.6,0,0,1,1,0.5,1,0.8,0,0
EDUCATION,MA,0,0.65,0,0,0,0.8,0,0,0,0,0,0,1
EDUCATION,MB,0,0.05,0.7,0,0,0.1,0,0,0,0,0.3,1,0
EDUCATION,MC,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0
EDUCATION,MD,0,0,0,0,0,0,0,0,0,0,0,0,0
EDUCATION,PE,0,0.2,0.3,0,0,0,0,0,1,0,0.3,0,0
EDUCATION,PI,0,0,0,0,0,0,1,1,0,0,0,0,0
EDUCATION,PZ,1,0,0,1,1,0,0,0,0,1,0.4,0,0
GROCERY,MA,0,0.65,0,0,0,0.8,0,0,0,0,0,0,1
GROCERY,MB,0,0.05,0.7,0,0,0.1,0,0,0,0,0.3,1,0
GROCERY,MC,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0
GROCERY,MD,0,0,0,0,0,0,0,0,0,0,0,0,0
GROCERY,PE,0,0.2,0.3,0,0,0,0,0,1,0,0.3,0,0
GROCERY,PI,0,0,0,0,0,0,1,1,0,0,0,0,0
GROCERY,PZ,1,0,0,1,1,0,0,0,0,1,0.4,0,0
HEALTHCARE,MA,0,0.65,0,0,0,0.8,0,0,0,0,0,0,1
HEALTHCARE,MB,0,0.05,0.7,0,0,0.1,0,0,0,0,0.3,1,0
HEALTHCARE,MC,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0
HEALTHCARE,MD,0,0,0,0,0,0,0,0,0,0,0,0,0
HEALTHCARE,PE,0,0.2,0.3,0,0,0,0,0,1,0,0.3,0,0
HEALTHCARE,PI,0,0,0,0,0,0,1,1,0,0,0,0,0
HEALTHCARE,PZ,1,0,0,1,1,0,0,0,0,1,0.4,0,0
HOUSE,MA,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSE,MB,0,0.1,0,0,0,0,0,0,0,0,0,0,0
HOUSE,MC,0,0.1,0,0.4,0,0,0,0,0,0,0.1,0,1
HOUSE,MD,0.1,0.8,0,0,0,1,0,0,0,0,0,1,0
HOUSE,PE,0,0,1,0,1,0,0,0,0.5,0,0.1,0,0
HOUSE,PI,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUSE,PZ,0.9,0,0,0.6,0,0,1,1,0.5,1,0.8,0,0
LARGEOFFICE,MA,0,0,0,0,0,0.8,0,0,0,0,0,0,1
LARGEOFFICE,MB,0,0.6,0.5,0,0,0.1,0,0,0,0,0,1,0
LARGEOFFICE,MC,0,0.15,0,0,0,0.1,0,0,0,0,0,0,0
LARGEOFFICE,MD,0,0,0,0,0,0,0,0,0,0,0,0,0
LARGEOFFICE,PE,0,0.25,0.5,0,0,0,0,0,1,0,1,0,0
LARGEOFFICE,PI,0,0,0,0,0,0,1,1,0,0,0,0,0
LARGEOFFICE,PZ,1,0,0,1,1,0,0,0,0,1,0,0,0
LODGING,MA,0,0.35,0,0,0,0,0,0,0,0,0,0,1
LODGING,MB,0,0.15,0.9,0,0,0,0,0,0,0,0.3,1,0
LODGING,MC,0,0.1,0,0,0,0,0,0,0,0,0,0,0
LODGING,MD,0,0.35,0,0,0,1,0,0,0,0,0,0,0
LODGING,PE,0,0.05,0.1,0,0,0,0,0,1,0,0.3,0,0
LODGING,PI,0,0,0,0,0,0,1,1,0,0,0,0,0
LODGING,PZ,1,0,0,1,1,0,0,0,0,1,0.4,0,0
RESTAURANT,MA,0,0.65,0,0,0,0.8,0,0,0,0,0,0,1
RESTAURANT,MB,0,0.05,0.7,0,0,0.1,0,0,0,0,0.3,1,0
RESTAURANT,MC,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0
RESTAURANT,MD,0,0,0,0,0,0,0,0,0,0,0,0,0
RESTAURANT,PE,0,0.2,0.3,0,0,0,0,0,1,0,0.3,0,0
RESTAURANT,PI,0,0,0,0,0,0,1,1,0,0,0,0,0
RESTAURANT,PZ,1,0,0,1,1,0,0,0,0,1,0.4,0,0
RETAIL,MA,0,0.65,0,0,0,0.8,0,0,0,0,0,0,1
RETAIL,MB,0,0.05,0.7,0,0,0.1,0,0,0,0,0.3,1,0
RETAIL,MC,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0
RETAIL,MD,0,0,0,0,0,0,0,0,0,0,0,0,0
RETAIL,PE,0,0.2,0.3,0,0,0,0,0,1,0,0.3,0,0
RETAIL,PI,0,0,0,0,0,0,1,1,0,0,0,0,0
RETAIL,PZ,1,0,0,1,1,0,0,0,0,1,0.4,0,0
SMALLOFFICE,MA,0,0.65,0,0,0,0.8,0,0,0,0,0,0,1
