building_type,season,fuel,daytype,hour,load
APARTMENT,WINTER,ELECTRIC,WEEKEND,0,0.3513
APARTMENT,WINTER,ELECTRIC,WEEKEND,1,0.3592
APARTMENT,WINTER,ELECTRIC,WEEKEND,2,0.377
APARTMENT,WINTER,ELECTRIC,WEEKEND,3,0.409
APARTMENT,WINTER,ELECTRIC,WEEKEND,4,0.4651
APARTMENT,WINTER,ELECTRIC,WEEKEND,5,0.5243
APARTMENT,WINTER,ELECTRIC,WEEKEND,6,0.5545
APARTMENT,WINTER,ELECTRIC,WEEKEND,7,0.5641
APARTMENT,WINTER,ELECTRIC,WEEKEND,8,0.5684
APARTMENT,WINTER,ELECTRIC,WEEKEND,9,0.5731
APARTMENT,WINTER,ELECTRIC,WEEKEND,10,0.5852
APARTMENT,WINTER,ELECTRIC,WEEKEND,11,0.5918
APARTMENT,WINTER,ELECTRIC,WEEKEND,12,0.6019
APARTMENT,WINTER,ELECTRIC,WEEKEND,13,0.6254
APARTMENT,WINTER,ELECTRIC,WEEKEND,14,0.6674
APARTMENT,WINTER,ELECTRIC,WEEKEND,15,0.7177
APARTMENT,WINTER,ELECTRIC,WEEKEND,16,0.7517
APARTMENT,WINTER,ELECTRIC,WEEKEND,17,0.7615
APARTMENT,WINTER,ELECTRIC,WEEKEND,18,0.7312
APARTMENT,WINTER,ELECTRIC,WEEKEND,19,0.6478
APARTMENT,WINTER,ELECTRIC,WEEKEND,20,0.5383
APARTMENT,WINTER,ELECTRIC,WEEKEND,21,0.4283
APARTMENT,WINTER,ELECTRIC,WEEKEND,22,0.3693
APARTMENT,WINTER,ELECTRIC,WEEKEND,23,0.3493
APARTMENT,WINTER,ELECTRIC,WEEKDAY,0,0.3425
APARTMENT,WINTER,ELECTRIC,WEEKDAY,1,0.3501
APARTMENT,WINTER,ELECTRIC,WEEKDAY,2,0.3721
APARTMENT,WINTER,ELECTRIC,WEEKDAY,3,0.4192
APARTMENT,WINTER,ELECTRIC,WEEKDAY,4,0.4971
APARTMENT,WINTER,ELECTRIC,WEEKDAY,5,0.543
APARTMENT,WINTER,ELECTRIC,WEEKDAY,6,0.5279
APARTMENT,WINTER,ELECTRIC,WEEKDAY,7,0.5126
APARTMENT,WINTER,ELECTRIC,WEEKDAY,8,0.512
APARTMENT,WINTER,ELECTRIC,WEEKDAY,9,0.516
APARTMENT,WINTER,ELECTRIC,WEEKDAY,10,0.5218
APARTMENT,WINTER,ELECTRIC,WEEKDAY,11,0.5232
APARTMENT,WINTER,ELECTRIC,WEEKDAY,12,0.5325
APARTMENT,WINTER,ELECTRIC,WEEKDAY,13,0.5647
APARTMENT,WINTER,ELECTRIC,WEEKDAY,14,0.62
APARTMENT,WINTER,ELECTRIC,WEEKDAY,15,0.6862
APARTMENT,WINTER,ELECTRIC,WEEKDAY,16,0.7355
APARTMENT,WINTER,ELECTRIC,WEEKDAY,17,0.7468
APARTMENT,WINTER,ELECTRIC,WEEKDAY,18,0.7196
APARTMENT,WINTER,ELECTRIC,WEEKDAY,19,0.6406
APARTMENT,WINTER,ELECTRIC,WEEKDAY,20,0.5303
APARTMENT,WINTER,ELECTRIC,WEEKDAY,21,0.4206
APARTMENT,WINTER,ELECTRIC,WEEKDAY,22,0.365
APARTMENT,WINTER,ELECTRIC,WEEKDAY,23,0.3443
APARTMENT,WINTER,GAS,WEEKEND,0,0.2691
APARTMENT,WINTER,GAS,WEEKEND,1,0.2855
APARTMENT,WINTER,GAS,WEEKEND,2,0.3201
APARTMENT,WINTER,GAS,WEEKEND,3,0.3813
APARTMENT,WINTER,GAS,WEEKEND,4,0.476
APARTMENT,WINTER,GAS,WEEKEND,5,0.5605
APARTMENT,WINTER,GAS,WEEKEND,6,0.5775
APARTMENT,WINTER,GAS,WEEKEND,7,0.542
