"PK_ApplianceID","CK_SiteID","CK_RoomID","Row Type","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Washer-Dryer Matched Pair","Washer Depth","Washer Depth_notes","Washer Diameter","Washer Diameter_notes","Washer Size","Washer Size_notes","Washer Primary","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00021584","BLDG_00003","Room_00006836","Washer","Horizontal Axis","No",2005,,"23846516LL","Maytag","Mah21pddww","No","Yes",19.0000,,21.0000,,3.8000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00021585","BLDG_00003","Room_00006836","Washer","Horizontal Axis","No",2005,,"23846516LL","Maytag","Mah21pddww","No","Yes",19.0000,,21.0000,,3.8000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00021586","BLDG_00003","Room_00006836","Washer","Horizontal Axis","No",2005,,"23846516LL","Maytag","Mah21pddww","No","Yes",19.0000,,21.0000,,3.8000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00021587","BLDG_00003","Room_00006836","Washer","Horizontal Axis","No",2005,,"23846516LL","Maytag","Mah21pddww","No","Yes",19.0000,,21.0000,,3.8000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00021627","BLDG_00009","Room_00006887","Washer","Vertical Axis (with agitator)","No",2015,,"1605005344","Alliance Laundry","Swnnc2sp113tw02","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00021659","BLDG_00010","Room_00006907","Washer","Horizontal Axis","No",2011,,"HL13566138","Maytag","MHN30PDAWW0","Yes","No",17.0000,,22.0000,,3.7000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00021660","BLDG_00010","Room_00006907","Washer","Horizontal Axis","No",2010,,"HL00205739","Maytag","MAH22PDBWW0","Yes","No",17.0000,,22.0000,,3.7000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022208","BLDG_00020","Room_00007025","Washer","Horizontal Axis","No",2016,,"C63960025","Maytag","MHN33PDCWW0","Yes","Yes",20.0000,,22.0000,,4.4000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022209","BLDG_00020","Room_00007025","Washer","Horizontal Axis","No",2016,,"C63960025","Maytag","MHN33PDCWW0","Yes","Yes",20.0000,,22.0000,,4.4000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022327","BLDG_00023","Room_00007054","Washer","Vertical Axis (with agitator)","No",2006,,"15014255JP","Maytag","MAT12PDDAWW","No","Yes",13.0000,,24.0000,,3.4000,,"No","No","N/A","Laundry_1","Laundry"
"Appliance_00022328","BLDG_00023","Room_00007054","Washer","Vertical Axis (with agitator)","No",2006,,"15014259JP","Maytag","MAT12PDDAWW","No","Yes",13.0000,,24.0000,,3.4000,,"No","No","N/A","Laundry_1","Laundry"
"Appliance_00021668","BLDG_00029","Room_00007140","Washer","Vertical Axis (with agitator)","No",2007,,"13894376LL","Maytag","MAT12PDLAW","No","Yes",14.0000,,22.0000,,3.1000,,"Yes","No","N/A","Laundry_2","Laundry"
"Appliance_00021669","BLDG_00029","Room_00007140","Washer","Vertical Axis (with agitator)","No",2007,,"13894376LL","Maytag","MAT12PDLAW","No","Yes",14.0000,,22.0000,,3.1000,,"Yes","No","N/A","Laundry_2","Laundry"
"Appliance_00021670","BLDG_00029","Room_00007140","Washer","Vertical Axis (with agitator)","No",2007,,"13894376LL","Maytag","MAT12PDLAW","No","Yes",14.0000,,22.0000,,3.1000,,"Yes","No","N/A","Laundry_2","Laundry"
"Appliance_00022336","BLDG_00034","Room_00007186","Washer","Vertical Axis (with agitator)","No",,"Unknown","CM2009705","Kenmore","20172001","No","Yes",17.0000,,19.0000,,2.8000,,"Yes","No","Coin operated common machine","Laundry_1","Laundry"
"Appliance_00022357","BLDG_00035","Room_00007202","Washer","Horizontal Axis","No",2013,,"305KWTA9J761","LG","Gcw1069qs","Yes","Yes",17.0000,,20.0000,,3.1000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022358","BLDG_00035","Room_00007202","Washer","Horizontal Axis","No",2013,,"305KWTA9J761","LG","Gcw1069qs","Yes","Yes",17.0000,,20.0000,,3.1000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022359","BLDG_00035","Room_00007202","Washer","Horizontal Axis","No",2013,,"305KWTA9J761","LG","Gcw1069qs","Yes","Yes",17.0000,,20.0000,,3.1000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022360","BLDG_00035","Room_00007202","Washer","Horizontal Axis","No",2013,,"305KWTA9J761","LG","Gcw1069qs","Yes","Yes",17.0000,,20.0000,,3.1000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022361","BLDG_00035","Room_00007202","Washer","Horizontal Axis","No",2013,,"305KWTA9J761","LG","Gcw1069qs","Yes","Yes",17.0000,,20.0000,,3.1000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022363","BLDG_00038","Room_00007242","Washer","Vertical Axis (with agitator)","No",1991,,"CA3211930","Sears","110.824077130","No","Yes",20.0000,,19.0000,,3.3000,,"Yes","No","Coin opp","Laundry_1","Laundry"
"Appliance_00022351","BLDG_00045","Room_00007298","Washer","Vertical Axis (with agitator)","No",1990,,"CX2305918","Kenmore","110.82407130","No","No",19.0000,,17.0000,,2.5000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022352","BLDG_00045","Room_00007298","Washer","Vertical Axis (with agitator)","No",1990,,"CX2305918","Kenmore","110.82407130","No","No",19.0000,,17.0000,,2.5000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022322","BLDG_00052","Room_00007353","Washer","Unknown","No",,"Unknown","Unknown","Amana","Unknown","No","No",,"Unknown",,"Unknown",,"Unknown","Yes","No","Washer being used lid locked couldn't access for remaining info","Laundry_1","Laundry"
"Appliance_00022304","BLDG_00054","Room_00007363","Washer","Vertical Axis (with agitator)","No",2011,,"C21960078","Whirlpool","CAM2742TQ3","No","No",17.0000,,19.0000,,2.8000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022305","BLDG_00054","Room_00007363","Washer","Vertical Axis (with agitator)","Yes",2006,,"N/A","Frigidaire","FCCW3000ES0","Yes","Yes",13.0000,,21.0000,,2.6000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022313","BLDG_00062","Room_00007426","Washer","Vertical Axis (with agitator)","No",2010,,"C10860187","Maytag","MAT14PDAWW0","No","Yes",17.0000,,20.0000,,3.1000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022314","BLDG_00062","Room_00007426","Washer","Vertical Axis (with agitator)","No",2010,,"C10860187","Maytag","MAT14PDAWW0","No","Yes",17.0000,,20.0000,,3.1000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022315","BLDG_00062","Room_00007426","Washer","Vertical Axis (with agitator)","No",2010,,"C10860187","Maytag","MAT14PDAWW0","No","Yes",17.0000,,20.0000,,3.1000,,"Yes","No","N/A","Laundry_1","Laundry"
