"PK_ApplianceID","CK_RoomID","CK_SiteID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Dehumidifier Capacity","Dehumidifier Capacity_notes","Dehumidifier Direct Plumbed","Notes","Room Name","Room Type"
"Appliance_00003487","Room_00007885","SITE_00154","Dehumidifier","No",,"Unknown","203TARU00654","LG","Ld451egl","Yes",45,,"No","Not plugged in but is used sometimes","Laundry_1","Laundry"
"Appliance_00003486","Room_00008062","SITE_00169","Dehumidifier","No",,"Unknown","Unknown","Whirlpool","Unknown","Unknown",,"Unknown","No","Could not locate nameplate","Bedroom_1","Bedroom"
"Appliance_00003500","Room_00008205","SITE_00178","Dehumidifier","No",,"Unknown","D205067000114508200660","Spt","Sd-31e","Yes",30,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00003464","Room_00001293","SITE_00356","Dehumidifier","No",,"Unknown","C1619397","Thermastor","4033600","Yes",70,,"Yes","N/A","Basement_2","Basement"
"Appliance_00003495","Room_00011910","SITE_00613","Dehumidifier","No",,"Unknown","0011262","Sharp","Fp-n40cx","Yes",,"Unknown","No","N/A","Office_1","Office"
"Appliance_00003496","Room_00012150","SITE_00632","Dehumidifier","No",,"Unknown","WNX4WA0000271","Kenmore","251.99701801","Yes",70,,"No","N/A","Hall_2","Hall"
"Appliance_00003497","Room_00012156","SITE_00632","Dehumidifier","No",,"Unknown","Unknown","Unknown","Unknown","Unknown",40,,"Yes","N/A","Crawl Space_2","Crawl Space"
"Appliance_00003498","Room_00012358","SITE_00648","Dehumidifier","Yes",2014,,"N/A","PerfectAire","PAD30","Yes",30,,"No","N/A","Hall_1","Hall"
"Appliance_00003488","Room_00012837","SITE_00693","Dehumidifier","No",,"Unknown","Unknown","Hunter","30201","Unknown",,"Unknown","No","Not drained","Kitchen_1","Kitchen"
"Appliance_00003489","Room_00012841","SITE_00693","Dehumidifier","No",,"Unknown","Unknown","Hunter","30201","Unknown",,"Unknown","No","Doesn't drain- 2 filters","Bedroom_1","Bedroom"
"Appliance_00022723","Room_00014500","SITE_00810","Dehumidifier","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown","Unknown","N/A","Bathroom_1","Bathroom"
"Appliance_00003499","Room_00014624","SITE_00825","Dehumidifier","Yes",2016,,"N/A","General Electric","Adel50lrl2","Yes",50,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00003503","Room_00014987","SITE_00860","Dehumidifier","No",,"Unknown","QS1922049","Whirlpool","Ad70usr0","Yes",70,,"No","N/A","Hall_2","Hall"
"Appliance_00003465","Room_00002507","SITE_00922","Dehumidifier","No",,"Unknown","Unknown","Bionair","W-6","Unknown",48,,"No","N/A","Living Room_1","Living Room"
"Appliance_00003466","Room_00002926","SITE_00969","Dehumidifier","Yes",2011,,"Unknown","Aire","Pa30","Yes",30,,"No","N/A","Hall_3","Hall"
"Appliance_00003473","Room_00015348","SITE_01027","Dehumidifier","Yes",2015,,"N/A","PerfectAire","3pad30","Yes",30,,"No","N/A","Living Room_1","Living Room"
"Appliance_00003474","Room_00015709","SITE_01076","Dehumidifier","Yes",2012,,"N/A","Frigidaire","FAD504DUD","Yes",50,,"No","N/A","Bedroom_1","Bedroom"
"Appliance_00003471","Room_00016067","SITE_01097","Dehumidifier","No",,"Unknown","Unknown","Frigidaire","Unknown","Yes",,"Unknown","No","No name plate","Hall_1","Hall"
"Appliance_00003485","Room_00016308","SITE_01120","Dehumidifier","No",2015,,"AF036602","General Electric","ADEL70LR2","Yes",70,,"No","N/A","Living Room_1","Living Room"
"Appliance_00003502","Room_00017798","SITE_01267","Dehumidifier","No",,"Unknown","810TA000856","ComfortAire","BHD-501-D","Yes",50,,"No","N/A","Living Room_1","Living Room"
"Appliance_00003501","Room_00018574","SITE_01334","Dehumidifier","Yes",2013,,"N/A","Frigidaire","FAD704DWD","Yes",70,,"Yes","N/A","Basement_2","Basement"
"Appliance_00003467","Room_00004708","SITE_01417","Dehumidifier","No",2005,,"502TADR09034","Kenmore","580.54501500","Yes",35,,"No","N/A","Family Room_1","Family Room"
"Appliance_00003468","Room_00005015","SITE_01435","Dehumidifier","No",2014,,"AJ0292E0000ASE4Q0483","Haier","De65em-l","Yes",65,,"Unknown","N/A","Living Room_1","Living Room"
"Appliance_00003469","Room_00005760","SITE_01481","Dehumidifier","No",2008,,"802TARUA1638","LG","Ldh45ely8","Yes",45,,"No","N/A","Living Room_1","Living Room"
"Appliance_00003470","Room_00006253","SITE_01513","Dehumidifier","No",,"Unknown","Unknown","Unknown","Unknown","No",,"Unknown","Yes","N/A","Kitchen_1","Kitchen"
"Appliance_00003472","Room_00019246","SITE_01563","Dehumidifier","No",2015,,"WNX5C40000975","Kenmore","251.55550510","Yes",50,,"No","N/A","Living Room_1","Living Room"
"Appliance_00003484","Room_00019506","SITE_01579","Dehumidifier","Yes",2010,,"N/A","Frigidaire","Fad704tdp","Yes",70,,"No","N/A","Bedroom_1","Bedroom"
"Appliance_00003478","Room_00019556","SITE_01582","Dehumidifier","Yes",2010,,"N/A","Frigidaire","Lad504tdl","Yes",50,,"No","N/A","Bedroom_2","Bedroom"
"Appliance_00003481","Room_00019667","SITE_01592","Dehumidifier","Yes",2012,,"N/A","Frigidaire","FAD704DUD","Yes",70,,"No","N/A","Family Room_1","Family Room"
"Appliance_00003479","Room_00020015","SITE_01614","Dehumidifier","No",2015,,"DF029362","General Electric","Adel30lrq2","No",30,,"No","N/A","Bedroom_1","Bedroom"
"Appliance_00003480","Room_00020225","SITE_01630","Dehumidifier","Yes",2010,,"N/A","Frigidaire","LAD504DUL","Yes",50,,"No","N/A","Basement_1","Basement"
"Appliance_00003476","Room_00021234","SITE_01722","Dehumidifier","No",2004,,"QR1521058","Whirlpool","Ad40dsl5","No",40,,"No","N/A","Bathroom_2","Bathroom"
"Appliance_00003475","Room_00021348","SITE_01734","Dehumidifier","No",2015,,"AJ02D6M0000WTFCE4568","Haier","He30er-l","Yes",30,,"No","N/A","Bedroom_1","Bedroom"
"Appliance_00003490","Room_00022263","SITE_01835","Dehumidifier","No",2015,,"D205086381115113200227","PerfectAire","3PAD30","Yes",30,,"No","N/A","Hall_1","Hall"
"Appliance_00003482","Room_00022949","SITE_01894","Dehumidifier","No",2004,,"KS 815279","Maytag","M7dh45b2a*ar","Yes",45,,"Yes","N/A","Basement_1","Basement"
"Appliance_00003483","Room_00023204","SITE_01911","Dehumidifier","Yes",2015,,"N/A","Frigidaire","Ffad5033r10","Yes",50,,"No","N/A","Family Room_1","Family Room"
"Appliance_00003491","Room_00023749","SITE_01949","Dehumidifier","Yes",2015,,"N/A","Aeonair","Rdh70eb-1","Yes",70,,"No","N/A","Bathroom_3","Bathroom"
"Appliance_00003492","Room_00024055","SITE_01972","Dehumidifier","Yes",2015,,"N/A","General Electric","ADEL30LRQ2","No",30,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00003493","Room_00024330","SITE_01992","Dehumidifier","No",,"Unknown","606 14","DeLonghi","DH 400 P","No",40,,"No","N/A","Office_1","Office"
"Appliance_00003494","Room_00024561","SITE_02006","Dehumidifier","No",,"Unknown","Unknown","Kenmore","Unknown","Yes",,"Unknown","No","N/A","Basement_1","Basement"
"Appliance_00003477","Room_00025179","SITE_02047","Dehumidifier","No",2004,,"DD000194","General Electric","AHD38ACS1","No",38,,"No","N/A","Basement_2","Basement"
