"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","TV Screen Type","TV Screen Surface","TV Resolution","Primary","Size (Diagonal Inches)","Size (Diagonal Inches)_notes","Wattage","Wattage_notes","Set Top Box Present","Set Top Box Provider","Set Top Box Year","Set Top Box Year_notes","Set Top Box Size","Set Top Box Records","STB Wifi","TV Wifi","TV Qty of Streaming Devices","TV Qty of Streaming Devices_notes","TV Qty of External Media Devices","TV Qty of External Media Devices_notes","TV Auxiliary Devices Plugged into Single Strip","Notes","Room Name","Room Type"
"Appliance_00018913","BLDG_00029","Room_00007141","Television","Yes",2014,,"N/A","Hitachi","60V500A","Yes","Projector (Non-CRT)","Flat","Unknown","Primary",60.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","Could not access plug","Kitchen_1","Kitchen"
"Appliance_00020259","BLDG_00062","Room_00007427","Television","No",,"Unknown","Unknown","Insignia","Unknown","Unknown","Unknown","Flat","Unknown","Unknown",,"Unknown",,"Could not meter","Yes","Comcast",,"Unknown","Full","Unknown","Unknown","Unknown",0,,1,,"Unknown","Could not access","Other_1","Other"
"Appliance_00019961","BLDG_00113","Room_00009678","Television","Yes",2009,,"N/A","Sanyo","DP46849","No","LCD","Flat","FHD (1080P)","Primary",46.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Unknown","Can't access","Office_1","Office"
"Appliance_00020604","BLDG_00379","Room_00018003","Television","Yes",2007,,"N/A","Sanyo","Dp32647","No","LCD","Flat","FHD (1080P)","Primary",32.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00017684","BLDG_00382","Room_00004064","Television","No",,"Unknown","Unknown","Toshiba","Unknown","Unknown","Tube (CRT and internal or rear projector)","Flat","Standard Definition","Primary",21.0000,,,"Could not meter","Yes","Comcast",,"Unknown","Small","No","No","No",0,,1,,"Yes","N/A","Recreation_1","Recreation"
"Appliance_00017713","BLDG_00398","Room_00004291","Television","No",,"Unknown","Unknown","Magnavox","Unknown","Yes","Tube (CRT and internal or rear projector)","Flat","Unknown","Primary",52.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Unknown","Unknown","Recreation_1","Recreation"
"Appliance_00018224","BLDG_00462","Room_00021470","Television","Yes",2013,,"N/A","Toshiba","32L1350U1","Yes","LED LCD","Flat","FHD (1080P)","Unknown",32.0000,,35.0000,,"Yes","Comcast",,"Unknown","Small","Unknown","Unknown","Yes",0,,2,,"Yes","N/A","Recreation_1","Recreation"
"Appliance_00019366","BLDG_00531","Room_00022835","Television","Yes",2017,,"N/A","LG","55LJ5500","Yes","LED","Flat","FHD (1080P)","Primary",55.0000,,,"Could not meter","Yes","Comcast",2012,,"Small","No","No","No",0,,0,,"No","N/A","Lobby_1","Lobby"
"Appliance_00020654","SITE_00001","Room_00006381","Television","No",,"Unknown","L50900LLB75665","Sanyo","Fw24e05t","Unknown","LED","Flat","High Definition (720P)","Primary",24.0000,,20.6000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00019028","SITE_00002","Room_00006393","Television","No",,"Unknown","LWZQPKEQ2305800","Vizio","E320i-B2","Yes","LED","Flat","FHD (1080P)","Primary",32.0000,,23.0000,,"Yes","Dish Network",2015,,"Full","Yes","No","No",0,,0,,"Yes","N/A","Family Room_2","Family Room"
"Appliance_00019029","SITE_00002","Room_00006399","Television","Yes",2009,,"N/A","Toshiba","19LV61K","Yes","LCD","Flat","High Definition (720P)","Unknown",19.0000,,122.3000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","Dvd integrated","Bedroom_7","Bedroom"
