"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Programmed","Set Point","Set Point_notes","Thermostat Wifi","Notes","Room Name","Room Type"
"Appliance_00016684","BLDG_00062","Room_00007425","Programmable Thermostat","No",,"Unknown","Unknown","Honeywell","Unknown","Unknown","No",,"Off","No","N/A","Hall_1","Hall"
"Appliance_00016685","BLDG_00062","Room_00007425","Manual Thermostat - Analog","No",,"Unknown","Unknown","Honeywell","Unknown","Unknown","No",62.0000,,"No","N/A","Hall_1","Hall"
"Appliance_00016785","BLDG_00071","Room_00007546","Manual Thermostat - Analog","No",,"Unknown","Unknown","Cadet","Unknown","Unknown","No",50.0000,,"No","N/A","Lobby_1","Lobby"
"Appliance_00016608","BLDG_00214","Room_00014647","Manual Thermostat - Analog","No",,"Unknown","Unknown","Lennox","Unknown","Unknown","No",,"Unknown","No","N/A","Hall_1","Hall"
"Appliance_00017005","BLDG_00221","Room_00014730","Manual Thermostat - Analog","No",,"Unknown","Unknown","Honeywell","Unknown","Unknown","No",40.0000,,"No","N/A","Other_1","Other"
"Appliance_00017006","BLDG_00221","Room_00014731","Manual Thermostat - Analog","No",,"Unknown","Unknown","Honeywell","Unknown","Unknown","No",,"Off","No","N/A","Hall_1","Hall"
"Appliance_00017007","BLDG_00221","Room_00014732","Manual Thermostat - Analog","No",,"Unknown","Unknown","Honeywell","Unknown","Unknown","No",,"Off","No","N/A","Laundry_1","Laundry"
"Appliance_00017008","BLDG_00221","Room_00014734","Manual Thermostat - Analog","No",,"Unknown","Unknown","Honeywell","Unknown","Unknown","No",,"Off","No","N/A","Lobby_1","Lobby"
"Appliance_00017009","BLDG_00221","Room_00014731","Programmable Thermostat","No",,"Unknown","Unknown","Honeywell","Unknown","Unknown","Yes",73.0000,,"No","N/A","Hall_1","Hall"
"Appliance_00017036","BLDG_00228","Room_00014808","Manual Thermostat - Analog","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No",,"Off","No","N/A","Hall_1","Hall"
"Appliance_00015874","BLDG_00261","Room_00016289","Manual Thermostat - Analog","No",,"Unknown","Unknown","Unknown","Unknown","No","No",75.0000,,"No","N/A","Laundry_1","Laundry"
"Appliance_00015816","BLDG_00296","Room_00016682","Manual Thermostat - Analog","No",,"Unknown","Unknown","Cadet","Unknown","No","No",66.0000,,"No","N/A","Recreation_1","Recreation"
"Appliance_00016759","BLDG_00357","Room_00017779","Manual Thermostat - Analog","No",,"Unknown","Unknown","Unknown","Unknown","No","No",50.0000,,"No","N/A","Laundry_1","Laundry"
"Appliance_00016768","BLDG_00369","Room_00017917","Manual Thermostat - Analog","No",,"Unknown","Unknown","Unknown","Unknown","No","No",,"Unknown","No","N/A","Laundry_1","Laundry"
"Appliance_00015503","BLDG_00462","Room_00021469","Manual Thermostat - Digital","No",,"Unknown","Unknown","Honeywell","C273.4","No","No",65.0000,,"No","N/A","Office_1","Office"
"Appliance_00015504","BLDG_00462","Room_00021473","Manual Thermostat - Analog","No",,"Unknown","Unknown","Honeywell","Chronotherm","Unknown","No",60.0000,,"No","N/A","Hall_1","Hall"
"Appliance_00015505","BLDG_00462","Room_00021479","Manual Thermostat - Analog","No",,"Unknown","Unknown","Honeywell","Chronotherm","Unknown","No",55.0000,,"No","N/A","Other_4","Other"
"Appliance_00015506","BLDG_00462","Room_00021476","Manual Thermostat - Analog","No",,"Unknown","Unknown","Cadet","859M","Unknown","No",,"Unknown","No","N/A","Office_2","Office"
