"PK_INTRW_BLDG_ID","CK_SiteID","Building Management","Vacancy Percent","Vacancy Percent_notes","Problems or Complaints: Tenant Comfort","Problems or Complaints: HVAC System","Problems or Complaints: Lighting Control","Problems or Complaints: Lighting","Problems or Complaints: Mold or Mildew","Problems or Complaints: Windows","Problems or Complaints: Describe Problems","Domestic Water Lead Pump Has VFD","Domestic Water Boost Pump","Domestic Water Pump Qty","Domestic Water Pump Qty_notes","Domestic Water Total Motor HP","Domestic Water Total Motor HP_notes","Domestic Water Pressure Setpoint","Domestic Water Pressure Setpoint_notes"
"BldgIntrvw_00000019","BLDG_00094","Tenant manager",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000028","BLDG_00095","Property management firm",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000123","BLDG_00096","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000316","BLDG_00097","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000324","BLDG_00099","Property management firm",0.0800,,"Yes","No","No","No","No","No","When it's hot ac might not cool enough","Unknown","No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000016","BLDG_00102","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000078","BLDG_00105","Property management firm",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000057","BLDG_00106","Tenant manager",0.0500,,"No","No","Yes","Yes","No","No","Hud compliant mostly lighting. Old in efficient security lights throughout","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000105","BLDG_00107","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000111","BLDG_00108","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000367","BLDG_00240","Tenant manager",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000124","BLDG_00242","Unknown",0.0900,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000348","BLDG_00246","Tenant manager",,"Unknown","No","No","No","No","No","No","N/A","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000369","BLDG_00428","Property management firm",0.0000,,"No","No","No","No","No","No","Some water issues not in the same area","No","No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000291","BLDG_00382","Property management firm",0.1300,,"No","No","No","No","No","No","N/A","N/A","No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000343","BLDG_00384","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000435","BLDG_00385","Unknown",0.0000,,"No","No","No","No","No","No","N/A","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000083","BLDG_00386","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000005","BLDG_00389","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",0,,,"Unknown",,"Unknown"
"BldgIntrvw_00000046","BLDG_00392","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,,"Unknown"
"BldgIntrvw_00000138","BLDG_00394","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000379","BLDG_00397","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000084","BLDG_00398","Tenant manager",0.0000,,"No","No","No","No","Yes","No","Issues with the roofs of the upstairs units - mold. Water leaking from hood range in some units.","Unknown","No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000434","BLDG_00402","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000032","BLDG_00403","Unknown",0.0800,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000110","BLDG_00406","Property management firm",0.0000,,"Yes","No","No","No","No","No","Gets too hot or too cold","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000108","BLDG_00407","Property management firm",0.0000,,"Yes","No","No","No","No","No","Bad thermal envelope","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000424","BLDG_00455","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown",,"Unknown"
