"PK_Envelope_ID","CK_SiteID","Construction Type","Framing Type","Foundation Type","Total Building Levels","Building Level","Building Level_notes","Area","Area_notes","Average Height","Average Height_notes","Volume","Volume_notes"
"Envelope_00003199","BLDG_00001","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003094","BLDG_00002","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002650","BLDG_00003","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002657","BLDG_00004","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00002664","BLDG_00005","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002653","BLDG_00006","Rigid frame (concrete or steel)","Steel","Other","N/A",1,,,,,,,
"Envelope_00002665","BLDG_00007","Solid masonry","Concrete","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002695","BLDG_00008","Rigid frame (concrete or steel)","Concrete","Other","N/A",1,,,,,,,
"Envelope_00002677","BLDG_00009","Frame","Wood","> 90% Unconditioned Basement","N/A",1,,,,,,,
"Envelope_00002696","BLDG_00010","Solid masonry","Masonry","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00003429","BLDG_00011","Unknown","Unknown","Other","N/A",1,,,,,,,
"Envelope_00002688","BLDG_00012","Frame","Wood","Other","N/A",1,,,,,,,
"Envelope_00002648","BLDG_00013","Solid masonry","Masonry","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002667","BLDG_00014","Frame","Wood","> 90% Unconditioned Basement","N/A",1,,,,,,,
"Envelope_00002673","BLDG_00015","Rigid frame (concrete or steel)","Unknown","Other","N/A",1,,,,,,,
"Envelope_00002697","BLDG_00016","Unknown","N/A","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00002674","BLDG_00018","Unknown","Unknown","Other","N/A",1,,,,,,,
"Envelope_00002694","BLDG_00019","Rigid frame (concrete or steel)","Concrete","Other","N/A",1,,,,,,,
"Envelope_00002986","BLDG_00020","Solid masonry","Brick","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002649","BLDG_00021","Solid masonry","Masonry","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002698","BLDG_00022","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
