"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Grade","Ventilation Working","Ventilation Controls","Ventilation Use","Ventilation Use_notes","Ventilation Use Units","Notes"
"Mechanical_00000257","SITE_00185","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000260","SITE_00191","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day","Laundry"
"Mechanical_00000262","SITE_00233","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000267","SITE_00235","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00000269","SITE_00236","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000270","SITE_00236","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00000272","SITE_00236","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000274","SITE_00238","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0500,,"Hours per day",
"Mechanical_00000280","SITE_00241","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.1250,,"Hours per day",
"Mechanical_00000287","SITE_00246","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000290","SITE_00247","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00000292","SITE_00247","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00000299","SITE_00251","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00000302","SITE_00252","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00000304","SITE_00253","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00000312","SITE_00259","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00000319","SITE_00261","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00000324","SITE_00263","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day","Basement bathroom"
"Mechanical_00000331","SITE_00265","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00000338","SITE_00268","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",2.0000,,"Hours per day",
"Mechanical_00000341","SITE_00269","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day","Not bathroom vent laundry vent."
"Mechanical_00000347","SITE_00274","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000350","SITE_00277","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00000351","SITE_00277","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000357","SITE_00280","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00000365","SITE_00284","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
