"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Grade","Ventilation Type","Ventilation Working","Ventilation Controls","Ventilation Use","Ventilation Use_notes","Ventilation Use Units"
"Mechanical_00003700","SITE_00250","Central Vent","Panasonic or equivalent","Non-controlled","Yes","Continuous",24.0000,,"Hours per day"
"Mechanical_00003701","SITE_00265","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003702","SITE_00383","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.5000,,"Hours per day"
"Mechanical_00003703","SITE_00929","Central Vent","Panasonic or equivalent","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003704","SITE_00983","Central Vent","Builder Grade","Controlled","Yes","Variable Speed",0.0000,,"Hours per day"
"Mechanical_00003705","SITE_01432","Central Vent","Builder Grade","Controlled","Yes","Temperature",3.0000,,"Hours per day"
"Mechanical_00003706","SITE_01490","Central Vent","Unknown","Controlled","Yes","Manual Switch",,"Unknown","Hours per day"
"Mechanical_00003707","SITE_01492","Central Vent","Builder Grade","Controlled","No","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003708","SITE_01799","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003709","SITE_01795","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",17.0000,,"Hours per day"
"Mechanical_00003710","SITE_01819","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",8.0000,,"Hours per day"
"Mechanical_00003711","SITE_01739","Central Vent","Unknown","Non-controlled","Yes","Continuous",24.0000,,"Hours per day"
"Mechanical_00003712","SITE_01075","Central Vent","Unknown","Controlled","Yes","Timer",0.0000,,"Hours per day"
"Mechanical_00003713","SITE_02045","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003714","SITE_01734","Central Vent","Builder Grade","Controlled","Yes","Timer",0.0000,,"Hours per day"
"Mechanical_00003715","SITE_01691","Central Vent","Unknown","Controlled","Yes","Timer",,"Unknown","Hours per day"
"Mechanical_00003716","SITE_01910","Central Vent","Unknown","Controlled","Yes","Timer",,"Unknown","Hours per day"
