"PK_Mechanical_ID","CK_SiteID","System Type","System Sub-Type","Quantity","Quantity_Notes","Primary Heating System","Zones Served","Heating Fuel","High Input Heating Capacity (kW)","High Input Heating Capacity (Btuh)","High Input Heating Capacity_notes","High Output Heating Capacity","High Output Heating Capacity_notes","High Heating Capacity Units","High Heating Capacity Type","High Heating Efficiency","High Heating Efficiency_notes","Low Input Heating Capacity","Low Input Heating Capacity_notes","Low Output Heating Capacity","Low Output Heating Capacity_notes","Low Heating Capacity Units","Low Heating Efficiency","Low Heating Efficiency_notes","COP","COP_notes","COP Type","HSPF","HSPF_notes","HSPF Type","Energy Star Label Present?","Seasonal / Portable Equipment","Equipment Use","Frequency of Use","Dehumidifer or Economizer Part of System","Control Type","Heat Pump Compressor Works in Heating Mode","System on same Tstat as Heat Pump","System is Backup for Heatpump","Length (feet)","Length (feet)_notes","Ignition Type","Fuel Valve Type","Fan Type","Filter Type","Venting Type","Distribution Type","Water or Ground Loop","Component 1","Component 1 Make","Component 1 Model","Component 1 Year of Manufacture on Nameplate","Component 1 Year of Manufacture","Component 1 Year of Manufacture_notes","Component 1 Serial Number","Component 2","Component 2 Make","Component 2 Model","Component 2 Year of Manufacture on Nameplate","Component 2 Year of Manufacture","Component 2 Year of Manufacture_notes","Component 2 Serial Number","Component 3","Component 3 Make","Component 3 Model","Component 3 Year of Manufacture on Nameplate","Component 3 Year of Manufacture","Component 3 Year of Manufacture_notes","Component 3 Serial Number","Component 4","Component 4 Make","Component 4 Model","Component 4 Year of Manufacture on Nameplate","Component 4 Year of Manufacture","Component 4 Year of Manufacture_notes","Component 4 Serial Number","Seasonal Shutdown","Seasonal availability based on time of day","Serves Common Areas","Serves Residences","Qty Ductless Heads","Qty Ductless Heads_notes","DMSHP Room 2","DMSHP Capacity 2","DMSHP Capacity 2_notes","DMSHP Capacity 2 Type","DMSHP Heating Capacity @47 2","DMSHP Heating Capacity @47 2_notes","DMSHP Heating Capacity @47 2 Type","DMSHP HSPF 2","DMSHP HSPF 2_notes","DMSHP HSPF 2 Type","DMSHP Room 3","DMSHP Capacity 3","DMSHP Capacity 3_notes","DMSHP Capacity 3 Type","DMSHP Heating Capacity @47 3","DMSHP Heating Capacity @47 3_notes","DMSHP Heating Capacity @47 3 Type","DMSHP HSPF 3","DMSHP HSPF 3_notes","DMSHP HSPF 3 Type","DMSHP Room 4","DMSHP Capacity 4","DMSHP Capacity 4_notes","DMSHP Heating Capacity @47 4","DMSHP Heating Capacity @47 4_notes","DMSHP Heating Capacity @47 4 Type","DMSHP HSPF 4","DMSHP HSPF 4_notes","DMSHP HSPF 4 Type","Equipment Notes"
"Mechanical_00000001","BLDG_00240","Furnace","N/A",3,,"Unknown","N/A","Natural Gas",,50000.0000,,,"Unknown","Btuh","N/A",,"Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","Unknown","N/A","N/A","Unknown","Unknown",,"N/A","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","N/A","Lennox","Gs1803-50-3","No",1987,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000002","BLDG_00113","Furnace","N/A",1,,"Unknown","N/A","Natural Gas",,70000.0000,,53000.0000,,"Btuh","Rated",0.8000,,,"Unknown",,"Unknown","Unknown",,"Unknown",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","Unknown","N/A","N/A","Unknown","Unknown",,"N/A","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","N/A","Carrier","58STX070","No",2016,,"4316A18495","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000003","BLDG_00076","Air Handler","N/A",1,,"Unknown","N/A","Natural Gas",,,"Unknown",,"Unknown","Btuh","N/A",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","Unknown","N/A","N/A","Unknown","Unknown",,"N/A","N/A","Unknown","Unknown","Unknown","N/A","Unknown","N/A","N/A","Unknown","Unknown","Unknown",,"Unknown","Unknown","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000004","BLDG_00221","Air Source Heat Pump","N/A",1,,"Unknown","Unknown","Electric",,,"Unknown",,"Unknown","kW","N/A",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","No","Unknown","N/A","N/A","N/A",,"N/A","N/A","Unknown","Unknown","Unknown","N/A","Unknown","N/A","Condenser","Trane","Unknown","Unknown",,"Unknown","Unknown","Air Handler","Trane","4TGB3f42A1000AA","Yes",2011,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000006","SITE_00239","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",34000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",8.50000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Programmable Thermostat","Unknown","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Bryant","214ana036-d","Yes",2009,,"N/A","Air Handler","Bryant","Fx4cnf036000aaaa","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000007","SITE_00245","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",24000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",9.00000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Programmable Thermostat","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Coleman","Thjf24s41s3a","No",2015,,"W1G5840816","Air Handler","Coleman","Eb12e","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","They use wood stove as much as possible"
"Mechanical_00000008","SITE_00246","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",36000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",7.70000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Programmable Thermostat","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Bryant","561cj036-f","No",2002,,"2302E13819","Air Handler","Coleman","Unknown","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","Cannot locate nameplate on air handler"
"Mechanical_00000009","SITE_00248","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",42000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",7.50000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Manual Thermostat - Analog","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Goodman","CKL42-1L","No",2005,,"0508249784","Air Handler","Intertherm","E3eb-023h","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000010","SITE_00253","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",30000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",,"Unknown","N/A","N/A","N/A","N/A","N/A","Unknown","Manual Thermostat - Analog","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Intertherm","Pcsb-30kcrb","No",,"Unknown","Unknown","Air Handler","Coleman","3400-818","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","Unkown btus for heat pump"
"Mechanical_00000011","SITE_00255","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",22107.0000,,"Btuh","Average",,"N/A",,"N/A",,"N/A","N/A",,"N/A",3.17000,,"Unknown",6.80000,,"Average","N/A","N/A","N/A","N/A","Unknown","Programmable Thermostat","Yes","N/A","N/A",,"N/A","Unknown","Unknown","ECM","Electronic air cleaner","Unknown","N/A","N/A","Condenser","Payne","PH10JA 024-AG","No",2005,,"3605X88518","Air Handler","Coleman","3400A818","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
