"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Type","Ventilation Controls"
"Mechanical_00007640","SITE_01719","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00007641","SITE_01583","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007642","SITE_01638","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007643","SITE_01632","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007644","SITE_01630","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007645","SITE_01637","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00007646","SITE_01611","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007647","SITE_01592","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007648","SITE_01575","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007649","SITE_01674","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007650","SITE_01607","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007651","SITE_01669","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007652","SITE_01600","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007653","SITE_01558","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007654","SITE_01631","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007655","SITE_01621","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007656","SITE_01644","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007657","SITE_01590","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007658","SITE_01911","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007659","SITE_01636","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007660","SITE_01909","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007661","SITE_01750","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007662","SITE_01635","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007663","SITE_01552","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007664","SITE_01649","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007665","SITE_01579","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007666","SITE_00804","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007667","SITE_01180","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007668","SITE_01125","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007408","SITE_01436","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007409","SITE_01436","Kitchen Vent","Unknown","Manual Switch"
"Mechanical_00007410","SITE_01438","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007411","SITE_01439","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007412","SITE_01440","Kitchen Vent","High Capacity Exhaust","Unknown"
"Mechanical_00007413","SITE_01441","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007414","SITE_01441","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007415","SITE_01442","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007416","SITE_01443","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007417","SITE_01448","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007418","SITE_01452","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007419","SITE_01452","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007420","SITE_01453","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00007421","SITE_01455","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007422","SITE_01456","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007423","SITE_01457","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007424","SITE_01458","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00007425","SITE_01462","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007426","SITE_01464","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007427","SITE_01465","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007428","SITE_01466","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007429","SITE_01469","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007430","SITE_01472","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007431","SITE_01475","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007432","SITE_01477","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007433","SITE_01478","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007434","SITE_01478","Kitchen Vent","Unknown","Manual Switch"
"Mechanical_00007435","SITE_01479","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007436","SITE_01481","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008306","SITE_00826","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008307","SITE_00837","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008308","SITE_00838","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008309","SITE_00840","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008310","SITE_00841","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008311","SITE_00843","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008312","SITE_00844","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008313","SITE_00845","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008314","SITE_00848","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008315","SITE_00849","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008316","SITE_00850","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008317","SITE_00851","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008318","SITE_00856","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00008319","SITE_00857","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00008320","SITE_00858","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008321","SITE_00859","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008322","SITE_00861","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008323","SITE_01258","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008324","SITE_01260","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008325","SITE_01261","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008326","SITE_01270","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008327","SITE_01271","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008328","SITE_01273","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008329","SITE_01274","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008330","SITE_01276","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008331","SITE_01280","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008332","SITE_01284","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008333","SITE_01349","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008334","SITE_01354","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007871","SITE_00638","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007872","SITE_00640","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007873","SITE_00644","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007874","SITE_01696","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007875","SITE_01697","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007876","SITE_01770","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007877","SITE_01773","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007878","SITE_01774","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007879","SITE_01779","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007880","SITE_01783","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007881","SITE_01787","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007882","SITE_01788","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007883","SITE_01789","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007884","SITE_01790","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007885","SITE_01791","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007886","SITE_01792","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007887","SITE_01820","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007888","SITE_01821","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007889","SITE_01822","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007890","SITE_01823","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007891","SITE_01825","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007892","SITE_01826","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007893","SITE_01827","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007894","SITE_01828","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007895","SITE_01829","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007896","SITE_01830","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007897","SITE_01832","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007898","SITE_01833","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007899","SITE_01834","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007179","SITE_00185","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007180","SITE_00191","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007181","SITE_00233","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007182","SITE_00236","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007183","SITE_00237","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007184","SITE_00238","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007185","SITE_00239","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007186","SITE_00241","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007187","SITE_00244","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007188","SITE_00245","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007189","SITE_00246","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007190","SITE_00247","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007191","SITE_00248","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007192","SITE_00249","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007193","SITE_00250","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007194","SITE_00252","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007195","SITE_00252","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007196","SITE_00253","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007197","SITE_00254","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007198","SITE_00254","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007199","SITE_00255","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007200","SITE_00256","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007201","SITE_00257","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007202","SITE_00258","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007203","SITE_00259","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007204","SITE_00260","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007205","SITE_00261","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008103","SITE_00441","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008104","SITE_00716","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008105","SITE_00677","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008106","SITE_00165","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008107","SITE_00143","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008108","SITE_00012","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008109","SITE_00700","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008110","SITE_00784","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008111","SITE_00761","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008112","SITE_01217","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008113","SITE_00064","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008114","SITE_01202","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00008115","SITE_00015","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008116","SITE_01191","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008117","SITE_01063","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008118","SITE_00298","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008119","SITE_00194","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008120","SITE_00396","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008121","SITE_00201","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008122","SITE_00196","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008124","SITE_00454","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008125","SITE_00459","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008126","SITE_00302","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008127","SITE_00821","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008128","SITE_00822","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008129","SITE_00855","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008130","SITE_00823","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008131","SITE_00818","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007437","SITE_01485","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007438","SITE_01486","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007439","SITE_01487","Kitchen Vent","Unknown","Manual Switch"
"Mechanical_00007440","SITE_01488","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007441","SITE_01489","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007442","SITE_01492","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007443","SITE_01493","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007444","SITE_01496","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007445","SITE_01497","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007446","SITE_01498","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007447","SITE_01501","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00007448","SITE_01502","Kitchen Vent","Recirculating Only","Manual Switch"
