DB_SiteID,PK_BuildingID,Region,County,Electric Utility,Gas Utility,Is electric BPA utility,City,State,Zip,Year Built,Site Visit Date,Heating Zone,Cooling Zone,N Floors,In MF Complex?,Qty Buildings in Complex,Qty Studio Units,Qty One-Bedroom Units,Qty Two-Bedroom Units,Qty Three-Bedroom Units,Qty Four-Bedroom Units,Total Units in Building,Limited to 55 or Older?,Limited to Low Income?,Conditioned Area,Construction,Framing Type,Foundation Type,Total Ceiling Area,Total Ceiling U-Value,Ceiling UA,Total Wall Area,Total Wall U-Value,Wall UA,Total Floor Area,Total Floor U-Value,Floor UA,Whole House UA,Annual Electric Usage (kWh),Annual Gas Usage (Therms),Strata Territory,Strata Population Estimate,Area of Conditioned Common Space,Total Residential Floor Area,Total Non-Residential Floor Area,Total Conditioned Area,Total Window Area,Unit Window UA,Primary Heating System,Primary Heating Fuel,Primary Cooling System,Annual Residential Electric Usage (kWh),Annual Residential Gas Usage (Therms),Annual Building Electric Usage (kWh),Annual Building Gas Usage (Therms),Annual Electric Usage (kBtu),Annual Gas Usage (kBtu),Annual Residential Electric Usage (kBtu),Annual Residential Gas Usage (kBtu),Annual Building Electric Usage (kBtu),Annual Building Gas Usage (kBtu),Central Building Heat,Common Area Primary Heating System,Common Area Primary Heating Fuel,Common Area Primary Cooling System
BLDG_00004,BLDG_42BA32B0-52D0-BF46-AA32-1121A3310B57,Puget Sound,"Snohomish, WA",Snohomish PUD,,Y,LYNNWOOD,WA,98037,1970,42775,1,1,2,No,1,0,0,8,0,0,8,Unknown,Unknown,,Frame,Wood,"> 90% Crawlspace ",3700,2.52844500632111E-2,93.552465233881065,5508,0.11730205278592401,646.09970674486942,3700,8.4741388828299E-2,313.54313866470631,1827.5703106434567,N/A,N/A,SnoPUD,2183.10431154381,0,7400,0,7400,1106.25,96.796875,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00123,BLDG_A49AD3BB-7E3F-144B-8337-ED9266B8DE41,Eastern Washington,"Spokane, WA",Modern Electric Water Company,,Y,SPOKANE VALLEY,WA,99206,1965,42863,2,2,1,Yes,20,0,6,0,0,0,6,Yes,Yes,,Frame over concrete slab,Wood,"> 90% Slab ",4000,2.52844500632111E-2,101.1378002528444,2639,8.3787180561374103E-2,221.11436950146626,4000,5.7305000000000002E-2,229.22,1003.2196697543106,N/A,N/A,BPA,1747.28211284514,0,4000,0,4000,389.4375,75.29125,Zonal Heat,Electric,Packaged AC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00110,BLDG_5F807E4C-F13C-4C43-88F6-58E22CA898F4,Eastern Washington,"Okanogan, WA",PUD No. 1 of Okanogan County,,Y,OMAK,WA,98841,1994,42889,2,2,2,Yes,3,Unknown,Unknown,Unknown,Unknown,Unknown,12,Unknown,Unknown,,Frame,Wood,"> 90% Crawlspace ",3878,2.52844500632111E-2,98.053097345132642,6016,9.5238095238095205E-2,572.95238095238074,3878,3.2583903551645498E-2,126.36037797328125,1529.7173729374613,N/A,N/A,BPA,1747.28211284514,0,7450,0,7450,1927.24083333333,61.0292930555556,Electric Baseboard,Electric,Packaged AC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00120,BLDG_A1686BD4-2BB6-9B45-85F6-80D621FAD18F,Eastern Washington,"Lincoln, WA",Avista,,N,WILBUR,WA,99185,1981,42878,2,2,1,Yes,3,0,4,4,0,0,8,Unknown,Unknown,,Frame,Wood,"> 90% Crawlspace ",5532,4.4644995224437621E-2,246.97611358158892,3750,6.0606060606060601E-2,227.27272727272725,5532,Exclude,Exclude,Exclude,66282.633622161404,N/A,"Non-BPA, Non-PSE",3063.59584295612,0,5532,0,5532,536.666666666667,25.4916666666667,Electric Baseboard,Electric,N/A,8285.3292027701755,N/A,N/A,N/A,226156.34591881471,N/A,28269.543239851839,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00164,BLDG_A77C1DB6-087F-5549-BFE0-66270C652EF4,Eastern Oregon,"Malheur, OR",Idaho Power Co,,N,ONTARIO,OR,97914,1984,42840,1,3,2,Yes,3,0,4,4,0,0,8,Unknown,Unknown,,Frame over concrete slab,Wood,"> 90% Slab ",4155,6.5703413177882697E-2,272.99768175410259,5256,0.14798720341242336,777.82074113569718,4155,4.0233453670276774E-2,167.17,1582.9217562231333,80532.288161688019,N/A,Non-BPA,663.873015873016,0,5511,0,5511,521.333333333333,45.6166666666667,Electric Baseboard,Electric,Packaged AC,7996.8180753858323,N/A,16557.743558601363,N/A,274776.16720767954,N/A,27285.143273216458,N/A,56495.021021947854,N/A,N/A,N/A,N/A,N/A
BLDG_00165,BLDG_2A70B0BE-B04E-924B-B5F3-86DAE5C29198,Eastern Oregon,"Malheur, OR",Idaho Power Co,,N,VALE,OR,97918,Unknown,42840,1,3,2,No,1,0,8,0,0,0,8,Unknown,Unknown,,Frame over concrete slab,Wood,"> 90% Slab ",4750,0.11146333754740834,529.45085335018962,6070,Exclude,Exclude,4750,4.4568421052631577E-2,211.7,Exclude,60459.282379724296,N/A,Non-BPA,663.873015873016,187,3813,3250,7250,149.333333333333,21.6533333333333,Electric Baseboard,Electric,N/A,6865.0098720359547,N/A,5539.2034034366607,N/A,206287.07147961931,N/A,23423.413683386676,N/A,18899.762012525887,N/A,N/A,N/A,N/A,N/A
BLDG_00174,BLDG_0F35B098-8678-8F4B-B2DF-1D0A23B3B43A,Eastern Washington,"Spokane, WA",Avista,,N,SPOKANE,WA,99201,1920,42892,2,2,2,Yes,2,Unknown,Unknown,Unknown,Unknown,Unknown,24,No,No,,Frame,Wood,"> 90% Conditioned Basement ",6416,4.4644995224437621E-2,286.44228935999178,11160,0.1295723920106327,1446.0278948386608,6416,7.2270836693639665E-2,463.68968822639209,3147.3432057583782,156469.22285961089,N/A,"Non-BPA, Non-PSE",3063.59584295612,1820,13320,0,15140,1358.83333333333,39.6326388888889,Electric Baseboard,Electric,N/A,6519.5509524837871,N/A,N/A,N/A,533872.98839699232,N/A,22244.707849874681,N/A,N/A,N/A,N/A,Electric Baseboard,Electric,N/A
BLDG_00183,BLDG_8609F324-354B-7A4C-B8F1-6290D9EB5920,Eastern Washington,"Spokane, WA",Avista,,N,SPOKANE,WA,99206,1975,42860,2,2,2.5,No,1,0,0,12,0,0,12,Unknown,Unknown,,Frame,Wood,"> 90% Slab ",4320,4.4644995224437621E-2,192.86637936957052,8160,0,0,4320,5.7453703703703701E-2,248.2,862.35575436957049,N/A,N/A,"Non-BPA, Non-PSE",3063.59584295612,0,12960,0,12960,1108.65625,35.1074479166667,Zonal Heat,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00193,BLDG_FD9102EB-8912-2349-A297-E4B4D0382D0A,Puget Sound,"King, WA",Puget Sound Energy,,N,BELLEVUE,WA,98007,Unknown,42770,1,1,2,Yes,17,0,0,8,0,0,8,Unknown,Unknown,,Frame over concrete slab,Wood,"> 90% Slab ",4695,2.52844500632111E-2,118.71049304677611,6592,9.5238095238095205E-2,627.80952380952363,4695,6.4059637912673051E-2,300.76,1610.8577946340777,87712.658688147814,N/A,PSE - King County,4650.536998,0,9390,0,9390,805.111111111111,70.4472222222222,Electric Baseboard,Electric,N/A,10964.082336018477,N/A,N/A,N/A,299275.59144396032,N/A,37409.44893049504,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00217,BLDG_0E5AA1A2-D7B6-49FB-982C-62800A435E3E,Western Montana,"Flathead, MT",Flathead Electric Cooperative,,Y,COLUMBIA FALLS,MT,59912,2004,42915,3,1,1,No,6,0,4,0,0,0,4,Unknown,Unknown,,Frame,Wood,"> 90% Crawlspace ",2552,2.9498525073746302E-2,75.280235988200559,2432,5.3319114902692602E-2,129.6720874433484,2552,0.23,586.96,955.67121232043792,44507.615035493494,N/A,BPA,528.925423728814,0,2552,0,2552,430.944444444444,40.9397222222222,Electric Baseboard,Electric,N/A,9422.1884328367232,N/A,6818.8613041466051,N/A,151859.9825011038,N/A,32148.5069328389,N/A,23265.954769748216,N/A,N/A,N/A,N/A,N/A
