Cadmus ID,DB_SiteID,PK_SiteID,CK_BuildingID,Region,County,Electric Utility,Gas Utility,Is electric BPA utility,Home Type - FMP Detailed,Home Type - Final,City,State,Zip,Year Built,Site Visit Date,Heating Zone,Cooling Zone,Ownership,N Floors,Conditioned Area,Conditioned Volume,Construction,Framing Type,Foundation Type,Qty Occupants,Qty Bedrooms,Qty Bathrooms,Qty Rooms,Qty Installed CFL Lamps,Qty Installed LED Lamps,Qty Installed Incandescent Lamps,Qty Installed Halogen Lamps,Qty Installed Incandescent / Halogen Lamps,Qty Installed Linear Fluor. Lamps,Qty Installed Unknown Lamps,Qty Installed Other Lamps,Qty Stored CFL Lamps,Qty Stored LED Lamps,Qty Stored Incandescent Lamps,Qty Stored Halogen Lamps,Qty Stored Incandescent / Halogen Lamps,Qty Stored Linear Fluor. Lamps,Qty Stored Unknown Lamps,Qty Stored Other Lamps,Total Installed Lighting,Total Stored Lighting,Primary Heating System,Primary Heating Fuel,Primary Cooling System,Attic Ceiling Area,Attic Ceiling U-Value,Roof Deck Ceiling Area,Roof Deck Ceiling U-Value,Sloped / Vaulted (no attic) Ceiling Area,Sloped / Vaulted (no attic) Ceiling U-Value,Adiabatic Ceiling Area,Adiabatic Ceiling U-Value,Other Ceiling Area,Other Ceiling U-Value,Total Ceiling Area,Total Ceiling U-Value,Ceiling UA,Adiabatic Wall Area,Adiabatic Wall U-Value,Framed Wall Area,Framed Wall U-Value,Framed 2x2 Wall Area,Framed 2x2 Wall U-Value,Framed 2x3 Wall Area,Framed 2x3 Wall U-Value,Framed 2x4 Wall Area,Framed 2x4 Wall U-Value,Framed 2x6 Wall Area,Framed 2x6 Wall U-Value,Framed 2x8 Wall Area,Framed 2x8 Wall U-Value,Framed Alternative Framed Wall Area,Framed Alternative Framed Wall U-Value,ICF Wall Area,ICF Wall U-Value,Infill Frame Wall Area,Infill Frame Wall U-Value,Knee Wall Area,Knee Wall U-Value,Log Wall Area,Log Wall U-Value,Masonry Wall Area,Masonry Wall U-Value,Masonry (Basement) Wall Area,Masonry (Basement) Wall U-Value,Other Wall Area,Other Wall U-Value,SIP Wall Area,SIP Wall U-Value,Total Wall Area,Total Wall U-Value,Wall UA,Basement Floor Area,Basement Floor U-Value,Cantilever Floor Area,Cantilever Floor U-Value,Crawlspace Floor Area,Crawlspace Floor U-Value,Floor over other area Floor Area,Floor over other area Floor U-Value,Slab Floor Area,Slab Floor Perimeter,Slab Floor F-Value,Slab Floor FA,Total Floor Area,Total Floor U-Value,Floor UA,Window Area,Window U-Value,Window UA,Door Area,Door U-Value,Door UA,Storm Window Area,Storm Window U-Value,Storm Window UA,Skylight Area,Skylight U-Value,Skylight UA,Window and Door UA,Whole House UA,Conditioned Volume to Area Ratio,Floor to Ceiling Ratio,Window to Wall Ratio,Wall Area to Conditioned Area,Audio Equipment Qty,Dehumidifier Qty,Desktop Qty,Dishwasher Qty,Dryer Qty,Freezer Qty,Game Console Qty,Laptop Qty,Large Unusual Load Qty,Power Strip Qty,Refrigerator Qty,Stove/Oven Qty,Television Qty,Thermostat Qty,Washer Qty,Well Pump Qty,Total Appliances,Faucet Qty,Showerhead Qty,Ducting Qty,Ventilation Qty,Blower Door Qty,TrueFlow Qty,Air Handler Qty,Air Source Heat Pump Qty,Air Source Dual Fuel Heat Pump Qty,Boiler Qty,Central AC Qty,Chiller Qty,Cooling Tower Qty,Electric Baseboard Qty,Evaporative Cooling Qty,Furnace Qty,GeoThermal Heat Pump Qty,Mini-split AC Qty,Mini-split HP Qty,Packaged AC Qty,Packaged HP Qty,Stove/Fireplace Qty,Water Source Heat Pump Qty,Zonal Heat Qty,Instantaneous Electric Resistance Water Heater Qty,Instantaneous Fossil Fuel Condensing Water Heater Qty,Instantaneous Fossil Fuel Non-Condensing Water Heater Qty,Instantaneous Unknown Water Heater Qty,Storage Electric Heat Pump (Packaged) Water Heater Qty,Storage Electric Heat Pump (Split System) Water Heater Qty,Storage Electric Resistance Water Heater Qty,Storage Fossil Fuel Condensing Water Heater Qty,Storage Fossil Fuel Non-Condensing Water Heater Qty,Storage Indirect Water Heater Water Heater Qty,Storage Unknown Water Heater Qty,Total DHW,Total Cooling,Total Heating,Annual Electric Usage (kWh),Annual Gas Usage (Therms),Annual Wood Cord Usage (Cords),Annual Wood Pellet Usage (Tons),Annual Propane Usage (Gallons),Annual Oil Usage (Gallons),Strata Territory,Strata Population Estimate,Annual Electric Usage (kBtu),Annual Gas Usage (kBtu),Annual Wood Cord Usage (kBtu),Annual Wood Pellet Usage (kBtu),Annual Propane Usage (kBtu),Annual Oil Usage (kBtu)
BM70609 OS BPA,SITE_00001,SITE_016CBECC-3436-334D-87A4-C491B51162E2,BLDG_A44CDAE7-4C75-984C-A120-13CC8A2D8440,Western Oregon,"Lane, OR",Eugene Water and Electric Board,N/A,Y,Apartment Building (3 or fewer floors),Multifamily (5 or more units),EUGENE,OR,97402,1969,42983,1,1,Rent,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,3,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,Zonal Heat,Electric,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.8611111111111,0.38,15.5272222222222,20,1.2266666666666668,24.5333333333333,0,0,0,0,0,0,40.0605555555556,N/A,N/A,N/A,N/A,N/A,0,0,1,0,0,0,0,0,0,1,1,1,1,2,0,0,7,2,1,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N/A,N/A,0,0,0,0,BPA,45845,N/A,N/A,0,0,0,0
BPH20057 OS BPA,SITE_00002,SITE_6E5FD861-8003-5D46-96DC-267580C06A49,,Puget Sound,"Snohomish, WA",Snohomish PUD,Puget Sound Energy,Y,Double Wide,Manufactured,MOUNTLAKE TERRACE,WA,98043,1968,42794,1,1,Own / buying,1,1101.5,8594,Frame,Wood,"> 90% Crawlspace ",1,2,2,14,9,35,3,15,0,0,0,0,0,6,8,5,0,0,0,0,62,19,Furnace,Natural Gas,Central AC,1106.25,0.11912463619514453,0,0,0,0,0,0,0,0,1106.25,0.11912463619514453,131.78162879087864,0,0,0,0,0,0,0,0,1072.5,0.12014093474156942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072.5,0.12014093474156942,128.85115251033321,0,0,0,0,1101.5,9.5973844265126312E-2,0,0,0,0,0,0,1101.5,9.5973844265126312E-2,105.71518945803663,173.920138888889,0.397935674499391,69.2090277777778,20,1.2266666666666668,24.5333333333333,0,0,0,6.25,0.6,3.75,97.4923611111111,463.84033187035959,7.8020880617339987,0.99570621468926557,0.16216329966329965,0.97367226509305493,0,0,0,1,1,0,0,0,0,1,1,2,2,1,1,0,10,3,1,1,3,0,No,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3211.3666424764201,N/A,0,0,0,0,SnoPUD,16959,10957.182984129546,N/A,0,0,0,0
BPH20316 OS BPA,SITE_00003,SITE_A7092D80-B9D5-114B-A839-BD165D5B1DA6,,Puget Sound,"Snohomish, WA",Snohomish PUD,N/A,Y,Double Wide,Manufactured,GOLD BAR,WA,98251,1984,42773,1,1,Own / buying,1,1100,9350,Frame,Wood,"> 90% Crawlspace ",2,2,2,8,10,0,13,1,0,2,0,0,0,0,20,1,0,0,0,0,26,21,Stove/Fireplace,Wood (Cord),,1100,8.97584458242313E-2,0,0,0,0,0,0,0,0,1100,8.97584458242313E-2,98.734290406654424,0,0,0,0,0,0,0,0,1008,0.12572040943673379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,0.12572040943673379,126.72617271222767,0,0,0,0,1100,5.8018463072185188E-2,0,0,0,0,0,0,1100,5.8018463072185188E-2,63.820309379403703,195.743055555556,0.636265654379679,124.544583333333,36,0.4,14.4,0,0,0,0,0,0,138.944583333333,428.22535583161914,8.5,1,0.19418953924162255,0.91636363636363638,1,0,0,1,1,1,0,0,0,1,1,2,2,1,1,0,12,4,1,1,3,0,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,14807.052519438001,N/A,1,0,0,0,SnoPUD,16959,50521.663196322457,N/A,18000,0,0,0
BPH20395 OS BPA,SITE_00004,SITE_69E03941-3714-5F47-9AEF-9A5CF8AA6757,,Puget Sound,"Snohomish, WA",Snohomish PUD,N/A,Y,Double Wide,Manufactured,CAMANO ISLAND,WA,98282,1982,42815,1,1,Own / buying,1,1269,10152,Frame,Wood,"> 90% Crawlspace ",2,3,2,12,12,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,Furnace,Electric,,1344,8.97584458242313E-2,0,0,0,0,0,0,0,0,1344,8.97584458242313E-2,120.63535118776687,0,0,0,0,0,0,0,0,0,0,1155,9.1659756198689768E-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,9.1659756198689768E-2,105.86701840948668,0,0,0,0,1383,8.994282624133898E-2,0,0,0,0,0,0,1383,8.994282624133898E-2,124.3909286917718,127.388888888889,0.38,48.4077777777778,36.1458333333333,1.2266666666666668,44.3388888888889,0,0,0,0,0,0,92.7466666666667,443.63996495569199,8,1.0290178571428572,0.1102934102934103,0.91016548463356972,1,0,0,1,1,0,1,1,0,1,1,1,3,1,1,0,13,3,2,1,3,0,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14947.038921982699,N/A,0,0,0,0,SnoPUD,16959,50999.296801804972,N/A,0,0,0,0
BPH20412 OS BPA,SITE_00005,"SITE_42DABBAC-373D-3845-B49A-9FADC8E3AC9D_x000D_
SITE_C06A640D-D00C-48AE-BC1A-A0E113382AF2",,Puget Sound,"Snohomish, WA",Snohomish PUD,N/A,Y,Double Wide,Manufactured,MARYSVILLE,WA,98271,1973,42791,1,1,Own / buying,1,1344,9811,Frame,Wood,"> 90% Crawlspace ",1,3,2,16,20,0,9,0,0,2,0,0,5,0,17,0,0,0,0,0,31,22,Furnace,Electric,,0,0,1344,0.11394715615431475,0,0,0,0,0,0,1344,0.11394715615431475,153.14497787139902,0,0,0,0,0,0,0,0,1200,9.4660257130752795E-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,9.4660257130752795E-2,113.59230855690335,0,0,0,0,1344,0.13814571573111717,0,0,0,0,0,0,1344,0.13814571573111717,185.66784194262149,155.189236111111,1.16,180.019513888889,33,1.2266666666666668,40.48,0,0,0,0,0,0,220.499513888889,672.90464225981282,7.2998511904761907,1,0.1293243634259259,0.8928571428571429,4,0,0,1,1,0,0,1,0,3,1,1,1,1,1,0,15,3,2,1,1,0,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,11647.6113959633,N/A,0.5,0,0,0,SnoPUD,16959,39741.650083026783,N/A,9000,0,0,0
BPH20424 OS BPA,SITE_00006,SITE_5030EA61-EDE9-E944-B451-FFBA61457C32,,Puget Sound,"Snohomish, WA",Snohomish PUD,N/A,Y,Double Wide,Manufactured,TULALIP,WA,98271,1992,42818,1,1,Own / buying,1,1876,15026,Frame,Wood,"> 90% Crawlspace ",2,3,2,13,5,28,12,0,0,8,8,0,0,0,0,0,0,0,0,0,61,0,Air Source Heat Pump,Electric,Air Source Heat Pump,602,8.97584458242313E-2,0,0,1281.2,8.4929597754492686E-2,0,0,0,0,1883.2,8.6473229093693316E-2,162.84638502924327,0,0,0,0,0,0,0,0,0,0,1535.5,9.1659756198689768E-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535.5,9.1659756198689768E-2,140.74355564308814,0,0,0,0,1876,0.10341921693463417,0,0,0,0,0,0,1876,0.10341921693463417,194.01445096937371,238.194444444444,0.38,90.5138888888889,0,Unknown,0,0,0,0,4.33333333333333,0,0,90.5138888888889,588.11828053059401,8.0095948827292105,0.99617672047578587,0.15512500452259489,0.81849680170575689,1,0,2,1,1,1,0,0,1,5,1,1,4,1,1,0,20,6,2,1,1,0,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,2,12935.293485214799,N/A,1,0,0,0,SnoPUD,16959,44135.221371552892,N/A,18000,0,0,0
BPH20569 OS BPA,SITE_00007,SITE_2E1CA782-D83D-EE46-A1C0-46F2A54D0AB4,,Puget Sound,"Snohomish, WA",Snohomish PUD,N/A,Y,Double Wide,Manufactured,SNOHOMISH,WA,98290,1971,42774,1,1,Own / buying,1,1452,11245,Frame,Wood,"> 90% Crawlspace ",2,3,2,11,4,7,10,0,0,4,0,1,0,4,0,0,0,0,0,0,26,4,Zonal Heat,Electric,,884,0.11912463619514453,0,0,568,0.11394715615431475,0,0,0,0,1452,0.11709928587614224,170.02816309215854,0,0,0,0,0,0,0,0,1320,0.10216646060469818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,0.10216646060469818,134.85972799820161,0,0,0,0,1452,9.4597487288034035E-2,0,0,0,0,0,0,1452,9.4597487288034035E-2,137.35555154222541,231.194444444444,1.08842724978974,251.638333333333,32.8125,0.45,14.765625,45,0,0,0,0,0,266.403958333333,708.64740096591891,7.7444903581267219,1,0.17514730639730641,0.90909090909090906,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,9,4,2,1,2,0,No,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,5,8966.8411147978495,N/A,0.5,0,0,0,SnoPUD,16959,30594.861883690261,N/A,9000,0,0,0
BPH20608 OS BPA,SITE_00008,SITE_F11E39F2-E0AB-DE41-9667-42BFE90493DE,,Puget Sound,"Snohomish, WA",Snohomish PUD,N/A,Y,Single Family Detached,Single Family (4 or fewer units),SULTAN,WA,98294,1983,42773,1,1,Rent,1,923,7384,Frame,Wood,"> 90% Crawlspace ",2,2,1,9,9,1,23,0,0,0,0,1,0,0,1,0,0,0,0,0,34,1,Stove/Fireplace,Wood (Cord),,923,8.023553445122876E-2,0,0,0,0,0,0,0,0,923,8.023553445122876E-2,74.057398298484145,0,0,0,0,0,0,0,0,1200,9.4660257130752795E-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,9.4660257130752795E-2,113.59230855690335,0,0,5,4.4242041495255471E-2,923,7.4258446073681456E-2,0,0,0,0,0,0,928,7.4096719755909757E-2,68.761755933484253,150.541666666667,0.38,57.2058333333333,37.7777777777778,0.39999999999999997,15.1111111111111,0,0,0,0,0,0,72.3169444444444,328.7284072333162,8,1.0054171180931744,0.12545138888888885,1.3001083423618636,2,0,0,1,1,0,0,1,0,1,2,1,2,1,1,0,13,2,1,1,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,3,13073,N/A,0.5,0,0,0,SnoPUD,228091,44605.076000000001,N/A,9000,0,0,0
BPH20662 OS BPA,SITE_00009,SITE_C1F9EC07-8C02-2943-BB6E-0670564EDB9F,,Puget Sound,"Pierce, WA",Ohop Mutual Light Co,N/A,Y,Double Wide,Manufactured,EATONVILLE,WA,98328,2007,42816,1,1,Own / buying,1,1644,13974,Frame,Wood,"> 90% Crawlspace ",3,3,2,9,6,5,17,14,0,0,0,0,0,0,3,7,0,0,0,0,42,10,Furnace,Electric,,1715,3.1860456304987225E-2,0,0,0,0,0,0,0,0,1715,3.1860456304987225E-2,54.64068256305309,0,0,0,0,0,0,0,0,0,0,1344,6.6361070416133025E-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,6.6361070416133025E-2,89.18927863928279,0,0,0,0,1644,2.8683943865281468E-2,0,0,0,0,0,0,1644,2.8683943865281468E-2,47.156403714522732,200.152777777778,0.38,76.0580555555556,20,0.4,8,0,0,0,0,0,0,84.0580555555556,275.04442047241417,8.5,0.95860058309037899,0.14892319775132273,0.81751824817518248,1,0,0,1,1,0,0,0,0,2,1,1,3,1,1,0,12,3,1,1,3,0,No,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,13765.9677620326,N/A,0.5,0,0,0,BPA,11058,46969.482004055229,N/A,9000,0,0,0
BPH20821 OS BPA,SITE_00010,SITE_B18CE895-5616-4744-874E-85698D1DDE8C,,Puget Sound,"Pierce, WA",Puget Sound Energy,N/A,N,Double Wide,Manufactured,PUYALLUP,WA,98372,1971,42816,1,1,Own / buying,1,960,7200,Frame,Wood,"> 90% Crawlspace ",1,2,1,8,11,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,Mini-Split HP,Electric,Mini-Split HP,960,0.11912463619514453,0,0,0,0,0,0,0,0,960,0.11912463619514453,114.35965074733875,0,0,0,0,960,0.16785879908735091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0.16785879908735091,161.14444712385688,0,0,0,0,960,9.5973844265126312E-2,0,0,0,0,0,0,960,9.5973844265126312E-2,92.134890494521258,74.9166666666667,1.16,86.9033333333333,30.1041666666667,0.45,13.546875,73.4027777777778,0,0,0,0,0,100.450208333333,468.08919669905015,7.5,1,7.8038194444444445E-2,1,0,0,0,1,1,0,0,0,1,1,1,1,3,1,1,0,11,2,1,1,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9646.7126757251208,N/A,0,0,0,0,PSE,51539,32914.58364957411,N/A,0,0,0,0
