"SITEID","Building_Category","State","Site_Case_Weight","Ownership","Vintage","Conditioned_Area","COHORT","county","City","subregion","zip","utility_name","ut_class","utility_id","stratum","pop_ct","unit_multiplicity_ct","ALT_svy_wt"
SITE_00001,Multifamily (5 or more units),OR,751.56,Rent,1969,,MF,Lan,EUGENE,WO,97402,Eugene City of,BPA,6022,OR.2,30617,1,651.4255319
SITE_00002,Manufactured,WA,997.59,Own / buying,1968,1101.5,MH,Sno,MOUNTLAK,PS,98043,Snohomish Coun,BPA,17470,WA.6,16835,1,990.2941176
SITE_00003,Manufactured,WA,997.59,Own / buying,1984,1100,MH,Sno,GOLD BAR,PS,98251,Snohomish Coun,BPA,17470,WA.6,16835,1,990.2941176
SITE_00004,Manufactured,WA,997.59,Own / buying,1982,1269,MH,Isl,CAMANO I,PS,98282,Snohomish Coun,BPA,17470,WA.6,16835,1,990.2941176
SITE_00005,Manufactured,WA,997.59,Own / buying,1973,1344,MH,Sno,MARYSVIL,PS,98271,Snohomish Coun,BPA,17470,WA.6,16835,1,990.2941176
SITE_00006,Manufactured,WA,997.59,Own / buying,1992,1876,MH,Sno,TULALIP,PS,98271,Snohomish Coun,BPA,17470,WA.6,16835,1,990.2941176
SITE_00007,Manufactured,WA,997.59,Own / buying,1971,1452,MH,Sno,SNOHOMIS,PS,98290,Snohomish Coun,BPA,17470,WA.6,16835,1,990.2941176
SITE_00008,Single Family (4 or fewer units),WA,3801.52,Rent,1983,923,SF,Sno,SULTAN,PS,98294,Snohomish Coun,snoPUD,17470,PS.5,237332,1,3955.533333
SITE_00009,Manufactured,WA,921.5,Own / buying,2007,1644,MH,Pie,EATONVIL,PS,98328,Ohop Mutual Li,BPA,14012,WA.5,10143,1,845.25
SITE_00010,Manufactured,WA,1982.27,Own / buying,1971,960,MH,Pie,PUYALLUP,PS,98372,Puget Sound En,non-BPA,15500,WA.7,21947,1,1828.916667
SITE_00011,Manufactured,WA,921.5,Own / buying,1987,1152,MH,Pie,PUYALLUP,PS,98375,Elmhurst Mutua,BPA,5832,WA.5,10143,1,845.25
SITE_00012,Manufactured,WA,1982.27,Own / buying,1970,960,MH,Pie,PUYALLUP,PS,98372,Puget Sound En,non-BPA,15500,WA.7,21947,1,1828.916667
SITE_00013,Manufactured,WA,921.5,Unknown,1972,679,MH,Pie,PUYALLUP,PS,98375,Elmhurst Mutua,BPA,5832,WA.5,10143,1,845.25
SITE_00014,Manufactured,WA,921.5,Own / buying,1995,1053,MH,Pie,GIG HARB,PS,98329,Peninsula Ligh,BPA,14668,WA.5,10143,1,845.25
SITE_00015,Manufactured,WA,921.5,Own / buying,1997,2328.6,MH,Pie,ANDERSON,PS,98303,Tanner Electri,BPA,18448,WA.5,10143,1,845.25
SITE_00016,Manufactured,WA,1313.97,Own / buying,1986,1478,MH,Mas,GRAPEVIE,WW,98546,PUD No 3 of Ma,BPA,15419,WA.4,20712,1,2301.333333
SITE_00017,Manufactured,WA,997.59,Own / buying,1968,1456,MH,Sno,EVERETT,PS,98203,Snohomish Coun,BPA,17470,WA.6,16835,1,990.2941176
SITE_00018,Manufactured,WA,997.59,Own / buying,1978,1817.6,MH,Sno,EVERETT,PS,98208,Snohomish Coun,BPA,17470,WA.6,16835,1,990.2941176
SITE_00019,Manufactured,WA,997.59,Occupy without rent,1990,1680,MH,Sno,MARYSVIL,PS,98270,Snohomish Coun,BPA,17470,WA.6,16835,1,990.2941176
SITE_00020,Manufactured,WA,997.59,Own / buying,2000,1690,MH,Sno,MARYSVIL,PS,98271,Snohomish Coun,BPA,17470,WA.6,16835,1,990.2941176
SITE_00021,Single Family (4 or fewer units),WA,2986.36,Own / buying,2017,2313,SF,Lew,WINLOCK,WW,98596,PUD No 1 of Le,BPA,10944,WWA.,82143,1,9127
SITE_00022,Manufactured,WA,921.5,Own / buying,1971,860,MH,Pie,GIG HARB,PS,98332,Peninsula Ligh,BPA,14668,WA.5,10143,1,845.25
