"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Number of Pieces of Audio Equipment","Number of Pieces of Audio Equipment_notes","Contains Suboofer","Does Subwoofer have indicator light or warm to touch","Audio Wifi Enabled","Audio Connected to TV","Notes","Room Name","Room Type"
"Appliance_00001333","BLDG_00221","Room_00014734","Audio Equipment","Yes",2004,,"N/A","Emerson","MS7616","Unknown",3.0000,,"No","N/A","No","No","N/A","Lobby_1","Lobby"
"Appliance_00000322","BLDG_00462","Room_00021470","Audio Equipment","No",,"Unknown","Unknown","Magnavox","8051","Unknown",2.0000,,"No","N/A","No","No","N/A","Recreation_1","Recreation"
"Appliance_00000551","SITE_00003","Room_00006401","Audio Equipment","No",,"Unknown","Y202161SU","Yamaha","RX-V520","Unknown",4.0000,,"No","N/A","No","No","N/A","Family Room_1","Family Room"
"Appliance_00000678","SITE_00004","Room_00006410","Audio Equipment","No",,"Unknown","Unknown","Yamaha","RX-V2600","No",5.0000,,"No","N/A","No","Yes","N/A","Family Room_1","Family Room"
"Appliance_00000618","SITE_00005","Room_00006422","Audio Equipment","No",,"Unknown","Unknown","Logitech","Unknown","No",2.0000,,"No","N/A","No","Yes","No label","Living Room_1","Living Room"
"Appliance_00000619","SITE_00005","Room_00006422","Audio Equipment","No",,"Unknown","10502962021","Sherwood","Sp-150s-f","No",5.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000620","SITE_00005","Room_00006422","Audio Equipment","No",,"Unknown","0081767","Sony","Sa-wp780","No",1.0000,,"Yes","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000621","SITE_00005","Room_00006425","Audio Equipment","No",,"Unknown","Unknown","Logitech","Z313","No",3.0000,,"Yes","No","No","No","Connected to computer","Office_1","Office"
"Appliance_00000679","SITE_00006","Room_00006443","Audio Equipment","No",,"Unknown","Unknown","Onkyo","Unknown","Unknown",7.0000,,"Yes","No","No","Yes","N/A","Family Room_1","Family Room"
"Appliance_00000586","SITE_00007","Room_00006460","Audio Equipment","No",,"Unknown","Unknown","Denon","Unknown","No",3.0000,,"No","N/A","No","No","N/A","Living Room_1","Living Room"
"Appliance_00000552","SITE_00008","Room_00006464","Audio Equipment","Yes",2005,,"N/A","Magnavox","MAS85/17","Unknown",2.0000,,"No","N/A","No","No","N/A","Family Room_1","Family Room"
"Appliance_00000553","SITE_00008","Room_00006468","Audio Equipment","Yes",2013,,"N/A","Philips","BTM2180/37","Unknown",3.0000,,"No","N/A","No","No","N/A","Bedroom_1","Bedroom"
