"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Primary Dryer","Washer-Dryer Matched Pair","Dryer Fuel","Dryer Gas Line Available","Heat Pump Dryer","Dryer Vented","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00005790","BLDG_00003","Room_00006836","Dryer","Unknown",,"Unknown","Unknown","Maytag","Mde21pddyw","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005791","BLDG_00003","Room_00006836","Dryer","Unknown",,"Unknown","Unknown","Maytag","Mde21pddyw","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005792","BLDG_00003","Room_00006836","Dryer","Unknown",,"Unknown","Unknown","Maytag","Mde21pddyw","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005793","BLDG_00003","Room_00006836","Dryer","Unknown",,"Unknown","Unknown","Maytag","Mde21pddyw","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005832","BLDG_00009","Room_00006887","Dryer","Unknown",,"Unknown","Unknown","Alliance Laundry","Sdgbcrgs11tw02","No","Yes","Unknown","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005861","BLDG_00010","Room_00006907","Dryer","Unknown",,"Unknown","Unknown","Maytag","DE26CS","No","Yes","No","Electric","Yes","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005862","BLDG_00010","Room_00006907","Dryer","Unknown",,"Unknown","Unknown","Whirlpool","CEM2760TQ0","No","Yes","No","Electric","Yes","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006400","BLDG_00020","Room_00007025","Dryer","No",2016,,"M63901500","Maytag","MDE28PDCYW0","No","Yes","Yes","Electric","Unknown","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006401","BLDG_00020","Room_00007025","Dryer","No",2016,,"M63901500","Maytag","MDE28PDCYW0","No","Yes","Yes","Electric","Unknown","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006514","BLDG_00023","Room_00007054","Dryer","No",2006,,"14036948JC","Maytag","MDE16PDDYW","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006515","BLDG_00023","Room_00007054","Dryer","No",2006,,"14113852GT","Frigidaire","MDE16PDDYW","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005870","BLDG_00029","Room_00007140","Dryer","Unknown",,"Unknown","Unknown","Maytag","MDE17PDAYW1","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_2","Laundry"
"Appliance_00005871","BLDG_00029","Room_00007140","Dryer","Unknown",,"Unknown","Unknown","Maytag","MDE17PDAYW1","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_2","Laundry"
"Appliance_00005872","BLDG_00029","Room_00007140","Dryer","Unknown",,"Unknown","Unknown","Maytag","MDE17PDAYW1","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_2","Laundry"
"Appliance_00006523","BLDG_00034","Room_00007186","Dryer","No",2002,,"MM2902392","Kenmore","110.60172001","No","Yes","Yes","Electric","No","No","Yes","No","Coin operated common dryer","Laundry_1","Laundry"
