"PK_ApplianceID","CK_RoomID","CK_SiteID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Computer Wifi","Computer Number of Screens","Computer Primary External Monitor","Primary Monitor Size","Primary Monitor Size_notes","Primary Monitor Type","Secondary Monitor External","Secondary Monitor Size","Secondary Monitor Size_notes","Secondary Monitor Type","Size Of Screen 3","Size Of Screen 3_notes","Computer Printer","Computer External Drive","Computer Number of Modems Routers Switches","Computer Number of Modems Routers Switches_notes","Computer Number of Other Accessories","Computer Number of Other Accessories_notes","Computer Other Accessory Description","Computer In single strip","Computer Uninterruptible Power","Uninterruptible Power Size kW","Uninterruptible Power Size kW_notes","Notes","Room Name","Room Type"
"Appliance_00002998","Room_00009677","BLDG_00113","Desktop","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","1","Yes",19.0000,,"LCD","N/A",,"N/A","N/A",,"N/A","Yes","Unknown",1,,0,,"N/A","N/A","No",,"N/A","N/A","Office_2","Office"
"Appliance_00002884","Room_00017527","BLDG_00331","Desktop","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","1","Yes",,"Unknown","Unknown","N/A",,"N/A","N/A",,"N/A","Yes","No",,"Unknown",,"Unknown","N/A","Unknown","Unknown",,"N/A","Did not feel comfortable asking building manager to let me look at features of a computer.","Office_1","Office"
"Appliance_00003262","Room_00017916","BLDG_00369","Desktop","No",,"Unknown","Unknown","Unknown","Unknown","No","Unknown","1","Yes",13.0000,,"LCD","N/A",,"N/A","N/A",,"N/A","Yes","No",1,,0,,"N/A","N/A","Unknown",,"N/A","N/A","Office_1","Office"
"Appliance_00001669","Room_00004283","BLDG_00398","Desktop","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","Yes","1","Yes",,"Unknown","LCD","N/A",,"N/A","N/A",,"N/A","Yes","Unknown",0,,0,,"N/A","N/A","Unknown",,"N/A","N/A","Office_1","Office"
"Appliance_00001948","Room_00021469","BLDG_00462","Desktop","No",,"Unknown","Unknown","Dell","Optiplex 380","Unknown","No","1","Yes",24.0000,,"LED LCD","N/A",,"N/A","N/A",,"N/A","Yes","No",2,,1,,"Check Scanner","Check scanner","No",,"N/A","N/A","Office_1","Office"
"Appliance_00001949","Room_00021470","BLDG_00462","Desktop","Yes",2014,,"N/A","Dell","D08","Unknown","Unknown","1","Yes",24.0000,,"LCD","N/A",,"N/A","N/A",,"N/A","Unknown","No",0,,1,,"Speakers","Speakers","No",,"N/A","N/A","Recreation_1","Recreation"
"Appliance_00001950","Room_00021476","BLDG_00462","Desktop","Yes",2013,,"N/A","Dell","Vostro","Unknown","No","1","Yes",23.0000,,"LCD","N/A",,"N/A","N/A",,"N/A","Yes","No",0,,0,,"N/A","N/A","Unknown",,"N/A","N/A","Office_2","Office"
"Appliance_00002659","Room_00022838","BLDG_00531","Desktop","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","1","Yes",20.0000,,"LCD","N/A",,"N/A","N/A",,"N/A","Yes","No",1,,0,,"N/A","N/A","Unknown",,"N/A","N/A","Office_1","Office"
"Appliance_00003389","Room_00006381","SITE_00001","Desktop","Yes",2016,,"N/A","Dell","Inspiron 3650","Yes","No","1","Yes",22.0000,,"LCD","N/A",,"N/A","N/A",,"N/A","No","No",1,,0,,"N/A","N/A","No",,"N/A","N/A","Living Room_1","Living Room"
"Appliance_00002464","Room_00006412","SITE_00004","Laptop","No",,"Unknown","Unknown","HP","Pavillion","Unknown","Yes","1","No",15.0000,,"LCD","N/A",,"N/A","N/A",,"N/A","Yes","No",1,,0,,"N/A","N/A","No",,"N/A","N/A","Bedroom_1","Bedroom"
"Appliance_00002383","Room_00006425","SITE_00005","Laptop","No",,"Unknown","XC413830Q","Toshiba","L855-s5309","No","Yes","3+","No",15.4000,,"LCD","Yes",27.0000,,"LCD",27,,"Yes","No",1,,1,,"Audio","Audio","No",,"N/A","N/A","Office_1","Office"
"Appliance_00002465","Room_00006448","SITE_00006","Desktop","No",,"Unknown","2AU02705GR","HP","Envy 700-074","No","Yes","1","Yes",20.0000,,"LED LCD","N/A",,"N/A","N/A",,"N/A","No","No",1,,2,,"Keyboard Mouse","Yes","No",,"N/A","N/A","Bedroom_2","Bedroom"
"Appliance_00002466","Room_00006450","SITE_00006","Desktop","No",,"Unknown","Unknown","HP","H6U76AAR","No","Yes","1","Yes",17.0000,,"LCD","N/A",,"N/A","N/A",,"N/A","Yes","No",1,,1,,"Speaker","Yes","No",,"N/A","Both computers in house used about the same","Bedroom_3","Bedroom"
"Appliance_00002328","Room_00006456","SITE_00007","Desktop","No",,"Unknown","Unknown","Dell","Unknown","Unknown","No","1","Yes",19.0000,,"CRT","N/A",,"N/A","N/A",,"N/A","Yes","No",0,,0,,"N/A","N/A","Unknown",,"N/A","N/A","Bedroom_1","Bedroom"
