"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Game System Release","Used for DVD or Bluray","Used to access Internet","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00007167","SITE_00004","Room_00006410","Game Console","No",,"Unknown","Unknown","Sony","Unknown","No","Original","Yes","Yes","Yes","N/A","Family Room_1","Family Room"
"Appliance_00007378","SITE_00015","Room_00006532","Game Console","No",,"Unknown","Unknown","Nintendo","Wii","No","Unknown","No","No","Unknown","N/A","Living Room_1","Living Room"
"Appliance_00022792","SITE_00016","Room_00025841","Game Console","No",2013,,"MB0787209237","Sony","cuh-1001a","No","Original","Yes","Yes","Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00022793","SITE_00016","Room_00025842","Game Console","Yes",2012,,"N/A","Microsoft","rcpm/1410-0292","No","Slim","Yes","Yes","Yes","N/A","Bedroom_2","Bedroom"
"Appliance_00022794","SITE_00016","Room_00006552","Game Console","No",,"Unknown","Unknown","Sony","Unknown","No","Original","Yes","Yes","Yes","No access to console for nameplate information","Bedroom_1","Bedroom"
"Appliance_00022795","SITE_00016","Room_00006549","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","No","Original","Yes","Yes","Yes","No access to nameplate","Living Room_1","Living Room"
"Appliance_00022796","SITE_00017","Room_00006561","Game Console","No",2017,,"LU152330062","Nintendo","Rvl-001","No","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00022797","SITE_00017","Room_00006568","Game Console","Yes",2010,,"N/A","Microsoft","1439","No","Original","Yes","Yes","Yes","N/A","Bedroom_2","Bedroom"
"Appliance_00007168","SITE_00018","Room_00006577","Game Console","No",,"Unknown","FU6404114","Nintendo","Scph-50001","No","Unknown","Unknown","Unknown","Unknown","N/A","Office_1","Office"
"Appliance_00007169","SITE_00018","Room_00006577","Game Console","Yes",2008,,"N/A","Sony","Cechg01","No","Original","Unknown","Unknown","Unknown","N/A","Office_1","Office"
"Appliance_00007442","SITE_00026","Room_00006669","Game Console","Yes",2010,,"N/A","Microsoft","1439","No","Slim","Yes","Yes","Yes","N/A","Bedroom_2","Bedroom"
"Appliance_00007447","SITE_00029","Room_00006696","Game Console","No",,"Unknown","LU72529435","Nintendo","Evil-001","No","Original","No","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007448","SITE_00029","Room_00006695","Game Console","No",,"Unknown","Unknown","Sony","PS4","No","Original","No","Yes","Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00022798","SITE_00038","Room_00006791","Game Console","Yes",2013,,"N/A","Sony","PlayStation 4 Model: CUH-1001A","Unknown","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00022799","SITE_00038","Room_00006791","Game Console","No",2017,,"LU72550393","Nintendo","RVL-001","Unknown","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
