"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Application","Smart Power Strip","Power Strip Device Qty","Power Strip Device Qty_notes","Description of Devices Plugged In","Qty of Electronics Chargers Plugged In","Qty of Electronics Chargers Plugged In_notes","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00008124","BLDG_00462","Room_00021469","Power Strip","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","Home Office","No",5,,"Security system, computer, monitor",1,,"No","Not accessible","Office_1","Office"
"Appliance_00008125","BLDG_00462","Room_00021470","Power Strip","No",,"Unknown","Unknown","Enercell","E89769","Unknown","Entertainment Center","No",5,,"TV, DVD, paper shredder, vhs, cable",0,,"No","N/A","Recreation_1","Recreation"
"Appliance_00008126","BLDG_00462","Room_00021476","Power Strip","Yes",2002,,"N/A","Belkin","F5C550","Unknown","Home Office","No",3,,"Monitor, desktop, printer",0,,"No","N/A","Office_2","Office"
"Appliance_00009592","SITE_00001","Room_00006381","Power Strip","No",,"Unknown","Unknown","Unknown","Unknown","No","Home Office","No",4,,"TV, monitor, cpu, router/modem",0,,"No","N/A","Living Room_1","Living Room"
"Appliance_00008540","SITE_00002","Room_00006393","Power Strip","No",,"Unknown","Unknown","Unknown","Unknown","No","Entertainment Center","No",5,,"TV & accessories",0,,"No","N/A","Family Room_2","Family Room"
"Appliance_00008426","SITE_00003","Room_00006406","Power Strip","No",,"Unknown","Unknown","Utilitech","2225-ylpt-21am2","Unknown","Entertainment Center","No",3,,"TV, STB, charger",1,,"No","N/A","Bedroom_6","Bedroom"
"Appliance_00008541","SITE_00004","Room_00006410","Power Strip","No",,"Unknown","Unknown","Lightspeed 2000","86172","Unknown","Other","No",5,,"Light, phones, tablets",2,,"No","N/A","Family Room_1","Family Room"
"Appliance_00008450","SITE_00005","Room_00006422","Power Strip","No",,"Unknown","Unknown","Ace","Unknown","No","Entertainment Center","No",5,,"TV related devices",0,,"No","N/A","Living Room_1","Living Room"
"Appliance_00008451","SITE_00005","Room_00006422","Power Strip","No",,"Unknown","Unknown","Unknown","Unknown","No","Entertainment Center","No",5,,"TV related devices and other power strip",0,,"No","N/A","Living Room_1","Living Room"
"Appliance_00008452","SITE_00005","Room_00006425","Power Strip","No",,"Unknown","Unknown","Electri-Cord","Unknown","No","Home Office","No",5,,"Five computer related devices and now the temp logger router",0,,"No","Attached to wall. Unable to read label","Office_1","Office"
"Appliance_00008542","SITE_00006","Room_00006441","Power Strip","No",,"Unknown","Unknown","General Electric","Sp600","Unknown","Entertainment Center","No",3,,"Wireless, TV, can opener",0,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00008543","SITE_00006","Room_00006444","Power Strip","No",,"Unknown","Unknown","Embertec","Unknown","Unknown","Entertainment Center","Yes",4,,"TV modem speaker DVD",0,,"No","N/A","Hall_2","Hall"
"Appliance_00008544","SITE_00006","Room_00006444","Power Strip","No",,"Unknown","Unknown","Belkin","Unknown","No","Entertainment Center","No",2,,"Speakers VCR",0,,"No","N/A","Hall_2","Hall"
"Appliance_00008545","SITE_00006","Room_00006448","Power Strip","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","Home Office","No",5,,"Earpiece, light, antenna, monitor, desktop",0,,"No","N/A","Bedroom_2","Bedroom"
"Appliance_00008546","SITE_00006","Room_00006450","Power Strip","Yes",2003,,"N/A","Unknown","Mqu2057aew lo","Yes","Home Office","No",5,,"Screen, computer, light, speakers charger",1,,"No","N/A","Bedroom_3","Bedroom"
"Appliance_00008402","SITE_00008","Room_00006468","Power Strip","Yes",1997,,"N/A","Belkin","F5C595TEL","Unknown","Entertainment Center","No",5,,"TV,clock, router,phone charger, magicjack",0,,"No","N/A","Bedroom_1","Bedroom"
"Appliance_00008547","SITE_00009","Room_00006475","Power Strip","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","Other","No",2,,"Lamp, charger for flashlight",1,,"No","N/A","Bedroom_1","Bedroom"
"Appliance_00008548","SITE_00009","Room_00006477","Power Strip","No",,"Unknown","Unknown","Belkin","Unknown","Unknown","Entertainment Center","No",2,,"Box, TV",0,,"No","N/A","Bedroom_3","Bedroom"
"Appliance_00008516","SITE_00010","Room_00006487","Power Strip","No",,"Unknown","Unknown","Multiway","Bb-05-4b","No","Entertainment Center","No",4,,"Lamps TV DVD",0,,"No","N/A","Bedroom_2","Bedroom"
"Appliance_00008549","SITE_00011","Room_00006496","Power Strip","No",,"Unknown","Unknown","Prime","Pb0002016k(ps603z)","No","Entertainment Center","No",5,,"TV, cable laptop lamp",1,,"No","N/A","Family Room_1","Family Room"
"Appliance_00009150","SITE_00012","Room_00006504","Power Strip","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","Home Office","No",5,,"Charger, TV, DVD, direcTV",1,,"No","Could not access","Living Room_1","Living Room"
"Appliance_00009164","SITE_00015","Room_00006530","Power Strip","No",,"Unknown","Unknown","Unknown","Unknown","No","Home Office","No",3,,"Office",0,,"No","N/A","Family Room_1","Family Room"
"Appliance_00009165","SITE_00015","Room_00006530","Power Strip","No",,"Unknown","Unknown","Unknown","Unknown","No","Home Office","No",2,,"Office",2,,"No","N/A","Family Room_1","Family Room"
"Appliance_00009166","SITE_00015","Room_00006532","Power Strip","No",,"Unknown","Unknown","Unknown","Unknown","No","Other","No",1,,"Phone charger",1,,"No","N/A","Living Room_1","Living Room"
"Appliance_00009167","SITE_00015","Room_00006532","Power Strip","No",,"Unknown","Unknown","Unknown","Unknown","No","Other","No",4,,"Lamps, charger",4,,"No","N/A","Living Room_1","Living Room"
"Appliance_00009168","SITE_00015","Room_00006532","Power Strip","No",,"Unknown","Unknown","TrickleStar","Unknown","Unknown","Entertainment Center","Yes",5,,"Entertainment",0,,"Unknown","N/A","Living Room_1","Living Room"
"Appliance_00009169","SITE_00015","Room_00006532","Power Strip","No",,"Unknown","Unknown","Prime","Unknown","Unknown","Entertainment Center","Unknown",5,,"Wii, DVD",0,,"Unknown","N/A","Living Room_1","Living Room"
"Appliance_00009170","SITE_00015","Room_00006533","Power Strip","No",,"Unknown","Unknown","General Electric","Unknown","No","Home Office","No",3,,"Lamp, phone",1,,"No","N/A","Family Room_2","Family Room"
