"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Style","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Size (Cu ft)","Size (Cu ft)_notes","Icemaker Present","Icemaker type","Icemaker Working","Percent of Year Used","Percent of Year Used_notes","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00011168","BLDG_00029","Room_00007141","Refrigerator","R/F Top Freezer","No",,"Unknown","Unknown","Hotpoint","Unknown","Unknown",16.00000,,"Unknown","Unknown","Unknown",1.00000,,"No","Refrigerator locked","Kitchen_1","Kitchen"
"Appliance_00012306","BLDG_00062","Room_00007427","Refrigerator","R/F Top Freezer","Yes",1993,,"Unknown","Tappan","MRT15CNAZO","No",15.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Other_1","Other"
"Appliance_00012037","BLDG_00113","Room_00009678","Refrigerator","R/F Top Freezer","No",2010,,"ST785958","Hotpoint","HTS16BBSHRWW","No",16.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Office_1","Office"
"Appliance_00012697","BLDG_00142","Room_00010004","Refrigerator","R/F Top Freezer","No",,"Unknown","TM748571","General Electric","Ta14s cb","No",,"Unknown","No","N/A","N/A",1.00000,,"No","Could not locate nameplate","Laundry_1","Laundry"
"Appliance_00012228","BLDG_00211","Room_00014582","Refrigerator","R/F Top Freezer","Yes",2013,,"Unknown","Whirlpool","W4txnwfwq03","No",14.39000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012710","BLDG_00221","Room_00014734","Refrigerator","R/F Top Freezer","No",,"Unknown","MG757249","General Electric","GTE16DTHCRWW","Unknown",16.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Lobby_1","Lobby"
"Appliance_00010036","BLDG_00242","Room_00002759","Freezer","Freezer, upright","No",,"Unknown","Unknown","Unknown","Unknown","No",,"Unknown","Unknown","Unknown","Unknown",,"Unknown","No","N/A","Laundry_1","Laundry"
"Appliance_00011174","BLDG_00252","Room_00016212","Refrigerator","R/F Top Freezer","Yes",1997,,"Unknown","Sears","2539363010","No",12.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Recreation_1","Recreation"
"Appliance_00012605","BLDG_00379","Room_00018003","Refrigerator","Side by Side Refrigerator/Freezer","No",,"Unknown","Unknown","Hotpoint","Unknown","No",,"Unknown","No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00010193","BLDG_00398","Room_00004291","Refrigerator","R/F Top Freezer","No",,"Unknown","Unknown","General Electric","Gth16dbedrww","No",,"Unknown","No","N/A","N/A",1.00000,,"No","No size listed","Recreation_1","Recreation"
"Appliance_00010608","BLDG_00462","Room_00021475","Refrigerator","R/F Top Freezer","No",,"Unknown","Unknown","General Electric","GIE18GTHBRWW","Yes",20.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Other_3","Other"
"Appliance_00012652","SITE_00001","Room_00006381","Refrigerator","R/F Top Freezer","No",,"Unknown","SG758783","General Electric","Gts18gthjrbb","Unknown",,"Unknown","No","N/A","N/A",1.00000,,"No","N/A","Living Room_1","Living Room"
"Appliance_00011253","SITE_00002","Room_00006389","Refrigerator","Side by Side w/ Bottom Freezer","No",2014,,"k42002472","KitchenAid","KBFS25ECMS00","Yes",25.20000,,"Yes","In freezer","No",1.00000,,"No","size unknown","Kitchen_1","Kitchen"
"Appliance_00011074","SITE_00003","Room_00006408","Freezer","Freezer, chest","No",,"Unknown","Unknown","Idylis","Icm050lc","No",5.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Bedroom_7","Bedroom"
"Appliance_00011035","SITE_00003","Room_00006402","Refrigerator","R/F Top Freezer","No",,"Unknown","Unknown","General Electric","GTE18CTHERBB","Yes",18.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011254","SITE_00004","Room_00006418","Refrigerator","Side by Side w/ Bottom Freezer","No",2014,,"K43217650","KitchenAid","KFIV29PCMS03","No",28.60000,,"Yes","Through door","Yes",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011142","SITE_00005","Room_00006424","Refrigerator","R/F Top Freezer","Yes",2006,,"Unknown","Frigidaire","Glrt217tdb9","No",20.61000,,"No","N/A","N/A",1.00000,,"No","Size unknown","Kitchen_1","Kitchen"
"Appliance_00011255","SITE_00006","Room_00006441","Refrigerator","R/F Top Freezer","Yes",1998,,"Unknown","Whirlpool","Gt22dmxgw00","Yes",21.64000,,"Yes","In freezer","Yes",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011256","SITE_00006","Room_00006446","Freezer","Freezer, upright","Yes",2003,,"Unknown","Maytag","Mqu2057aew","No",19.60000,,"No","N/A","N/A",1.00000,,"No","N/A","Closet_1","Closet"
"Appliance_00011078","SITE_00007","Room_00006455","Refrigerator","R/F Top Freezer","No",,"Unknown","Unknown","Kenmore","8618783","No",,"Unknown","Yes","In freezer","No",,"Unknown","No","N/A","Kitchen_1","Kitchen"
"Appliance_00011079","SITE_00007","Room_00006461","Freezer","Freezer, chest","No",,"Unknown","Unknown","Gibson","Unknown","Unknown",,"Unknown","No","N/A","N/A",1.00000,,"No","Cannot locate naneplate","Family Room_1","Family Room"
"Appliance_00011036","SITE_00008","Room_00006466","Refrigerator","Side by Side Refrigerator/Freezer","Yes",2006,,"Unknown","Kenmore","106.56732600","No",23.00000,,"Yes","Through door","Yes",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011037","SITE_00008","Room_00006467","Refrigerator","R/F Top Freezer","Yes",1999,,"Unknown","Whirlpool","ET18GkXHW0 0","No",18.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Garage_1","Garage"
"Appliance_00011257","SITE_00009","Room_00006481","Refrigerator","R/F Top Freezer","Yes",2014,,"Unknown","Kenmore","253.6880201E","No",,"Unknown","No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011204","SITE_00010","Room_00006490","Refrigerator","R/F Top Freezer","No",2012,,"AZ567348","General Electric","Tbx18iabqrww","No",20.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011258","SITE_00011","Room_00006497","Refrigerator","R/F Top Freezer","Yes",2012,,"Unknown","Frigidaire","Frt18l4jmg","No",20.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012120","SITE_00012","Room_00006505","Refrigerator","R/F Top Freezer","Yes",1999,,"Unknown","Gibson","GRT18SJHD0","Unknown",18.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011259","SITE_00013","Room_00006516","Refrigerator","R/F Top Freezer","Yes",2013,,"Unknown","Electrolux","frt18l4jmj","No",18.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Living Room_1","Living Room"
"Appliance_00011260","SITE_00014","Room_00006518","Freezer","Freezer, upright","Yes",2011,,"Unknown","Kenmore","253.28092805","Yes",,"Unknown","No","N/A","N/A",1.00000,,"No","N/A","Outside_2","Outside"
"Appliance_00011261","SITE_00014","Room_00006518","Refrigerator","R/F Top Freezer","Yes",2015,,"Unknown","Whirlpool","WRT134TFDW00","Yes",14.40000,,"No","N/A","N/A",1.00000,,"No","N/A","Outside_2","Outside"
"Appliance_00011262","SITE_00014","Room_00006521","Refrigerator","Side by Side w/ Bottom Freezer","No",2006,,"10227217JL","Kenmore","596.76603600","No",23.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012131","SITE_00015","Room_00006536","Refrigerator","R/F Bottom Freezer","No",2014,,"VS40593177","Whirlpool","Wrf560seym01","No",20.00000,,"Yes","In freezer","Yes",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00022862","SITE_00016","Room_00025844","Refrigerator","N/A","No",1994,,"ED4020846","Whirlpool","et18nkxaw03","No",18.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00022863","SITE_00016","Room_00006548","Refrigerator","N/A","Yes",1994,,"N/A","Whirlpool","Et18nkxaw03","No",18.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00022864","SITE_00017","Room_00006559","Refrigerator","N/A","No",,"Unknown","Unknown","Vissani","Unknown","Unknown",11.00000,,"No","N/A","N/A",1.00000,,"No","No visible or accessible nameplate","Laundry_2","Laundry"
"Appliance_00022865","SITE_00017","Room_00006564","Refrigerator","N/A","Yes",2007,,"N/A","Kenmore","795.77546600","No",21.00000,,"Yes","In freezer","Yes",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011263","SITE_00018","Room_00006581","Refrigerator","Side by Side Refrigerator/Freezer","Yes",2007,,"Unknown","Kenmore","106.56723602","No",,"Unknown","Yes","Through door","Yes",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011264","SITE_00019","Room_00006585","Refrigerator","Side by Side w/ Bottom Freezer","No",,"Unknown","Unknown","LG","Unknown","Unknown",,"Unknown","Yes","Through door","No",1.00000,,"No","Could not locate nameplate","Kitchen_1","Kitchen"
"Appliance_00011265","SITE_00020","Room_00006594","Refrigerator","R/F Top Freezer","No",1994,,"L45246711","Kenmore","363.9741784","No",20.55000,,"Yes","In freezer","Yes",1.00000,,"No","N/A","Garage_2","Garage"
"Appliance_00011266","SITE_00020","Room_00006601","Refrigerator","Side by Side w/ Bottom Freezer","Yes",2009,,"Unknown","Samsung","RF263AEBP","No",25.84000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012362","SITE_00021","Room_00006609","Refrigerator","R/F Bottom Freezer","Yes",2017,,"Unknown","Samsung","Rf28jbedbsr","No",,"Unknown","Yes","Through door","Yes",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012327","SITE_00022","Room_00006623","Refrigerator","R/F Top Freezer","No",,"Unknown","54374970LG","Admiral","LFT2112ARW","No",21.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Living Room_1","Living Room"
"Appliance_00012372","SITE_00023","Room_00006640","Refrigerator","R/F Top Freezer","Yes",2012,,"Unknown","Kenmore","253.68892012","No",16.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012373","SITE_00023","Room_00006643","Freezer","Freezer, chest","No",,"Unknown","Unknown","General Electric","Unknown","No",7.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Bedroom_1","Bedroom"
"Appliance_00012337","SITE_00024","Room_00006650","Refrigerator","R/F Top Freezer","Yes",1992,,"Unknown","Frigidaire","Fpes19tsw0","No",19.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012366","SITE_00025","Room_00006660","Refrigerator","R/F Top Freezer","Yes",2007,,"Unknown","Sears","253.74522405","No",21.00000,,"Yes","In freezer","Unknown",1.00000,,"No","Ice maker is not connected.","Kitchen_1","Kitchen"
"Appliance_00012344","SITE_00026","Room_00006672","Refrigerator","Side by Side Refrigerator/Freezer","No",2009,,"ZS 413241","General Electric","Gss23wgtl ww","No",,"Unknown","Yes","Through door","Yes",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012342","SITE_00027","Room_00006678","Refrigerator","R/F Top Freezer","No",,"Unknown","Unknown","Hotpoint","Unknown","No",14.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012339","SITE_00028","Room_00006683","Refrigerator","R/F Top Freezer","No",2015,,"DF746137","General Electric","Gte18cthbrww","Yes",18.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012346","SITE_00028","Room_00006692","Freezer","Freezer, upright","No",,"Unknown","Unknown","General Electric","Unknown","Unknown",,"Unknown","No","N/A","N/A",1.00000,,"No","Outside - no access","Outside_2","Outside"
"Appliance_00012369","SITE_00029","Room_00006694","Refrigerator","R/F Top Freezer","Yes",2013,,"Unknown","Kenmore","795.78039.210","No",,"Unknown","Yes","In freezer","Unknown",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012376","SITE_00029","Room_00006701","Freezer","Freezer, upright","No",2016,,"WB60947242","Sears","253.22042410","Yes",20.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Outside_2","Outside"
"Appliance_00012377","SITE_00029","Room_00006701","Freezer","Freezer, upright","No",,"Unknown","Unknown","JC Penny","1616","No",16.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Outside_2","Outside"
"Appliance_00012341","SITE_00030","Room_00006706","Refrigerator","Side by Side w/ Bottom Freezer","Yes",2016,,"Unknown","Kenmore","106.73003511","No",14.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012340","SITE_00031","Room_00006715","Refrigerator","R/F Top Freezer","Yes",1989,,"Unknown","Hotpoint","Ctx19gkg","No",19.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012349","SITE_00032","Room_00006725","Refrigerator","Side by Side Refrigerator/Freezer","Yes",2015,,"Unknown","Whirlpool","Wrs571cid01","No",30.00000,,"Yes","Through door","No",1.00000,,"No","N/A","Kitchen_2","Kitchen"
"Appliance_00012350","SITE_00032","Room_00006725","Refrigerator","Mini-Fridge","No",2015,,"FF092330","General Electric","Gde03glhblb","No",4.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_2","Kitchen"
"Appliance_00022866","SITE_00033","Room_00006739","Refrigerator","N/A","No",,"Unknown","VV766552","General Electric","GTH18EBC2RWW","Yes",18.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012317","SITE_00034","Room_00006761","Refrigerator","Side by Side Refrigerator/Freezer","Yes",2015,,"Unknown","Frigidaire","Fghc2331pfaa","Unknown",30.00000,,"Yes","Through door","Yes",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012315","SITE_00034","Room_00006758","Freezer","Freezer, upright","No",,"Unknown","Unknown","Danby","Unknown","Yes",27.00000,,"No","N/A","N/A",1.00000,,"No","Info sticker not available","Laundry_1","Laundry"
"Appliance_00012316","SITE_00034","Room_00006758","Refrigerator","Mini-Fridge","No",,"Unknown","Unknown","Vissani","Unknown","Unknown",12.00000,,"No","N/A","N/A",1.00000,,"No","Model serial sticker not available","Laundry_1","Laundry"
"Appliance_00012370","SITE_00035","Room_00006765","Refrigerator","Side by Side w/ Bottom Freezer","Yes",2012,,"Unknown","Kenmore","795.51312.012","No",28.00000,,"Yes","Through door","Yes",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012378","SITE_00036","Room_00006782","Refrigerator","R/F Top Freezer","No",2009,,"MS578271","General Electric","Tbx18saxprww","No",18.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Living Room_1","Living Room"
"Appliance_00012328","SITE_00037","Room_00006784","Refrigerator","R/F Top Freezer","No",,"Unknown","Unknown","General Electric","Unknown","No",22.00000,,"No","N/A","N/A",1.00000,,"No","Old, moldy","Kitchen_1","Kitchen"
"Appliance_00022867","SITE_00038","Room_00006793","Refrigerator","N/A","Yes",2013,,"N/A","Kenmore","795.69002.900","Unknown",20.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012351","SITE_00039","Room_00006802","Refrigerator","Side by Side Refrigerator/Freezer","No",2017,,"MH213948","Hotpoint","Hsm25gfrf sa","No",30.00000,,"Yes","Through door","Yes",1.00000,,"No","N/A","Kitchen_2","Kitchen"
"Appliance_00012360","SITE_00039","Room_00006804","Refrigerator","R/F Top Freezer","Yes",1991,,"Unknown","Montgomery Ward","Uan177047a","Yes",,"Unknown","No","N/A","N/A",1.00000,,"No","N/A","Laundry_1","Laundry"
"Appliance_00012361","SITE_00039","Room_00006804","Freezer","Freezer, upright","No",,"Unknown","Unknown","Kenmore","Unknown","No",,"Unknown","No","N/A","N/A",1.00000,,"No","Could not locate nameplate","Laundry_1","Laundry"
"Appliance_00022868","SITE_00040","Room_00006813","Refrigerator","N/A","Yes",2006,,"N/A","Whirlpool","ER6AHKXSQ00","Unknown",16.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00022869","SITE_00040","Room_00006813","Freezer","N/A","Yes",2004,,"N/A","Maytag","MQU1554AEW L2","Yes",15.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00012335","SITE_00041","Room_00006829","Refrigerator","R/F Top Freezer","No",2006,,"AL744261","Hotpoint","Ctx14cysjlad","No",14.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011053","SITE_00042","Room_00006839","Refrigerator","R/F Top Freezer","No",,"Unknown","Unknown","Hotpoint","Ctx14cyxkrad","No",,"Unknown","No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011038","SITE_00043","Room_00006844","Refrigerator","R/F Top Freezer","Yes",2000,,"Unknown","Kenmore","25369822890","No",20.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011055","SITE_00044","Room_00006852","Refrigerator","R/F Top Freezer","No",,"Unknown","Unknown","General Electric","GTH22SBSARSS","No",22.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011060","SITE_00045","Room_00006862","Refrigerator","R/F Top Freezer","No",,"Unknown","Unknown","Hotpoint","CTH16CYSGRWH","No",28.00000,,"No","N/A","N/A",1.00000,,"No","2.25'x2.5'x5'","Kitchen_1","Kitchen"
"Appliance_00011092","SITE_00046","Room_00006865","Refrigerator","R/F Top Freezer","Yes",2014,,"Unknown","Kenmore","253.60002410","No",,"Unknown","No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011153","SITE_00047","Room_00006871","Refrigerator","Side by Side w/ Bottom Freezer","No",,"Unknown","Unknown","General Electric","PFCS1NFWA SS","No",11.00000,,"Yes","In freezer","Yes",1.00000,,"Unknown","N/A","Kitchen_1","Kitchen"
"Appliance_00011091","SITE_00048","Room_00006883","Refrigerator","R/F Top Freezer","No",,"Unknown","Unknown","Roper","Rt12vkxew01","No",21.00000,,"No","N/A","N/A",1.00000,,"No","5'x2.5'x1.75'","Kitchen_1","Kitchen"
"Appliance_00011114","SITE_00049","Room_00006896","Refrigerator","R/F Top Freezer","Yes",2010,,"Unknown","Summit","FF1410W","No",29.00000,,"No","N/A","N/A",1.00000,,"No","5.75'x2.25'2.25'","Kitchen_1","Kitchen"
"Appliance_00011154","SITE_00050","Room_00006900","Refrigerator","R/F Top Freezer","No",,"Unknown","Unknown","General Electric","GTS12BBPALWW","No",9.00000,,"No","N/A","N/A",1.00000,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00011200","SITE_00051","Room_00006921","Refrigerator","R/F Bottom Freezer","Yes",2009,,"Unknown","Kenmore","795.78409.801","No",,"Unknown","Yes","Through door","Yes",1.00000,,"No","N/A","Dining Room_1","Dining Room"
"Appliance_00022870","SITE_00052","Room_00006927","Refrigerator","N/A","No",,"Unknown","MZ794575","General Electric","GTK18ICDBRBS","Yes",19.00000,,"Yes","In freezer","Yes",1.00000,,"No","N/A","Kitchen_2","Kitchen"
