Table Name,Column Name,Position,Data Description,Units,Sample Data,DataType,MaxLength,MSAccessDataType
Appliance_AudioEquipment.csv,PK_ApplianceID,1,Appliance ID key. Each appliance has a unique value. ,,"Appliance_00001333; 
Appliance_00000322; 
Appliance_00000551; 
Appliance_00000678; 
Appliance_00000618; 
Appliance_00000619",varchar,255,Char
Appliance_AudioEquipment.csv,CK_SiteID,2,Site ID key. Each site has a unique value. This key can be used to map to other datasets,,"BLDG_00221; 
BLDG_00462; 
SITE_00003; 
SITE_00004; 
SITE_00005; 
SITE_00006",varchar,255,Char
Appliance_AudioEquipment.csv,CK_RoomID,3,Room ID key. Each room has a unique value. This key can be used to map to other datasets,,"Room_00014734; 
Room_00021470; 
Room_00006401; 
Room_00006410; 
Room_00006422; 
Room_00006425",varchar,255,Char
Appliance_AudioEquipment.csv,Type,4,Indicates type of audio equipment,,"Audio Equipment; 
Audio Equipment; 
Audio Equipment; 
Audio Equipment; 
Audio Equipment; 
Audio Equipment",varchar,255,Char
Appliance_AudioEquipment.csv,Year of Manufacture on Nameplate,5,Indicates if the year of manufacture is on the nameplate,,"Yes; 
No; 
Unknown; 
Yes; 
No; 
Unknown",varchar,255,Char
Appliance_AudioEquipment.csv,Vintage,6,Year of manufacture for the audio equipment,,"2004; 
2005; 
2013; 
1993; 
2014; 
2016",int,4,Integer
Appliance_AudioEquipment.csv,Vintage_notes,7,Provides a description of the NULL values in the Vintage field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Appliance_AudioEquipment.csv,Serial,8,Lists the serial number of the audio equipment,,"N/A; 
Unknown; 
Y202161SU; 
10502962021; 
81767; 
L18542 9017",varchar,255,Char
Appliance_AudioEquipment.csv,Make,9,Lists the make of the audio equipment,,"Emerson; 
Magnavox; 
Yamaha; 
Logitech; 
Sherwood; 
Sony",varchar,255,Char
Appliance_AudioEquipment.csv,Model,10,Lists the model of the audio equipment,,"MS7616; 
8051; 
RX-V520; 
RX-V2600; 
Unknown; 
Sp-150s-f",varchar,255,Char
