"PK_Envelope_ID","CK_SiteID","Ceiling Type","Ceiling Area","Ceiling Area_notes","Type of Area Above Ceiling","Ceiling Accessible","Ceiling Insulated","Ceiling Insulation Type 1","Ceiling Insulation Thickness 1","Ceiling Insulation Thickness 1_notes","Ceiling Insulation Condition 1","Ceiling Insulation Condition 1_notes","Ceiling Insulation Type 2","Ceiling Insulation Thickness 2","Ceiling Insulation Thickness 2_notes","Ceiling Insulation Condition 2","Ceiling Insulation Condition 2_notes","Ceiling Insulation Type 3","Ceiling Insulation Thickness 3","Ceiling Insulation Thickness 3_notes","Ceiling Insulation Condition 3","Ceiling Insulation Condition 3_notes","Ceiling Insulation R-Value","Ceiling Insulation R-Value_notes","Ceiling U-Value","Ceiling U-Value_notes","Ceiling Heat Loss Rate (UA)","Ceiling Heat Loss Rate (UA)_notes","Ceiling Notes"
"Envelope_00000748","BLDG_00001","Attic",4900.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0479,"Estimated based on homes of similar vintage",234.6112,,"Attic not accessible. Unit inspected on first floor. Tenant unaware of roof construction or insulation situation."
"Envelope_00000630","BLDG_00002","Roof Deck",12975.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.2935,"Estimated based on homes of similar vintage",3808.1972,,"N/A"
"Envelope_00000375","BLDG_00003","Attic",12500.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0455,"Estimated based on homes of similar vintage",568.5279,,"N/A"
"Envelope_00000377","BLDG_00004","Roof Deck",3700.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.2935,"Estimated based on homes of similar vintage",1085.9599,,"N/A"
"Envelope_00000378","BLDG_00005","Attic",544.0000,,"N/A","Yes","Yes","Blown cellulose",10.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",34.1700,,0.0338,,18.4054,,"N/A"
"Envelope_00000379","BLDG_00005","Attic",544.0000,,"N/A","No","Yes","Blown Fiberglass",14.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",39.5500,,0.0320,,17.4180,,"Mirror of accessible attic"
"Envelope_00000380","BLDG_00005","Attic",1880.0000,,"N/A","No","Yes","Blown Fiberglass",14.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",39.5500,,0.0320,,60.1945,,"N/A"
"Envelope_00000381","BLDG_00009","Attic",3669.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0455,"Estimated based on homes of similar vintage",166.8743,,"N/A"
"Envelope_00000382","BLDG_00010","Roof Deck",2700.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.2935,"Estimated based on homes of similar vintage",792.4572,,"N/A"
"Envelope_00000383","BLDG_00016","Attic",21000.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0361,"Estimated based on homes of similar vintage",757.9150,,"N/A"
"Envelope_00000511","BLDG_00020","Attic",5804.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0455,"Estimated based on homes of similar vintage",263.9789,,"N/A"
"Envelope_00000384","BLDG_00022","Attic",3240.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0695,"Estimated based on homes of similar vintage",225.1447,,"N/A"
"Envelope_00000385","BLDG_00022","Sloped / Vaulted (no attic)",720.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0754,"Estimated based on homes of similar vintage",54.2797,,"N/A"
"Envelope_00000631","BLDG_00023","Roof Deck",7980.0000,,"N/A","No","Yes","Blown Fiberglass",14.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",39.5500,,0.0262,,209.2138,,"N/A"
"Envelope_00008405","BLDG_00026","Attic",4356.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0455,"Estimated based on homes of similar vintage",198.1206,,"N/A"
"Envelope_00000641","BLDG_00027","Attic",35000.0000,,"N/A","No","Yes","Blown Fiberglass",14.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",39.5500,,0.0320,,1120.6427,,"N/A"
"Envelope_00000376","BLDG_00028","Attic",3061.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0455,"Estimated based on homes of similar vintage",139.2211,,"N/A"
"Envelope_00000386","BLDG_00029","Attic",12045.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0695,"Estimated based on homes of similar vintage",836.9962,,"Could not access"
"Envelope_00000235","BLDG_00030","Attic",11280.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0455,"Estimated based on homes of similar vintage",513.0396,,"N/A"
"Envelope_00000387","BLDG_00031","Attic",1960.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0695,"Estimated based on homes of similar vintage",136.1986,,"N/A"
"Envelope_00000749","BLDG_00032","Attic",4800.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0455,"Estimated based on homes of similar vintage",218.3147,,"N/A"
"Envelope_00000639","BLDG_00034","Attic",1924.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0455,"Estimated based on homes of similar vintage",87.5078,,"N/A"
"Envelope_00000667","BLDG_00035","Attic",5108.0000,,"N/A","No","Yes","Blown Fiberglass",14.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",39.5500,,0.0320,,163.5498,,"N/A"
"Envelope_00000663","BLDG_00037","Attic",6608.0000,,"N/A","No","Yes","Blown Fiberglass",14.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",39.5500,,0.0320,,211.5773,,"N/A"
"Envelope_00000680","BLDG_00037","Attic",3230.0000,,"N/A","No","Yes","Blown Fiberglass",14.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",39.5500,,0.0320,,103.4193,,"Attic access is locked"
"Envelope_00000681","BLDG_00037","Attic",132.0000,,"N/A","No","Yes","Blown Fiberglass",14.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",39.5500,,0.0320,,4.2264,,"N/A"
"Envelope_00000669","BLDG_00038","Roof Deck",4920.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.2935,"Estimated based on homes of similar vintage",1444.0331,,"N/A"
"Envelope_00000666","BLDG_00039","Attic",2736.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0455,"Estimated based on homes of similar vintage",124.4394,,"No access."
"Envelope_00000678","BLDG_00040","Attic",17525.0000,,"N/A","No","Yes","Blown Fiberglass",14.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",39.5500,,0.0320,,561.1218,,"N/A"
"Envelope_00000611","BLDG_00041","Ceiling (Unknown)",8384.0000,,"Unknown","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",,"Exclude",,"Exclude","N/A"
"Envelope_00000750","BLDG_00042","Attic",3623.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0368,"Estimated based on homes of similar vintage",133.4138,,"N/A"
"Envelope_00003388","BLDG_00043","Attic",4576.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0455,"Estimated based on homes of similar vintage",208.1267,,"N/A"
"Envelope_00000640","BLDG_00044","Attic",3535.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0455,"Estimated based on homes of similar vintage",160.7797,,"N/A"
"Envelope_00000664","BLDG_00045","Attic",4454.0000,,"N/A","No","Yes","Unknown",,"Unknown",,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0455,"Estimated based on homes of similar vintage",202.5779,,"N/A"
"Envelope_00000751","BLDG_00046","Attic",1630.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0455,"Estimated based on homes of similar vintage",74.1360,,"N/A"
"Envelope_00000752","BLDG_00048","Attic",8512.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0455,"Estimated based on homes of similar vintage",387.1448,,"N/A"
"Envelope_00000652","BLDG_00049","Sloped / Vaulted (no attic)",1890.0000,,"N/A","Yes","Yes","Fiberglass batts",18.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",61.3800,,0.0179,,33.7898,,"Entire attic not visible"
"Envelope_00000653","BLDG_00049","Attic",3914.0000,,"N/A","Yes","Yes","Fiberglass batts",18.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",61.3800,,0.0247,,96.5812,,"N/A"
"Envelope_00000368","BLDG_00050","Attic",2112.0000,,"N/A","No","Yes","Blown Fiberglass",14.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",39.5500,,0.0320,,67.6228,,"N/A"
"Envelope_00000621","BLDG_00051","Ceiling (Unknown)",2875.0000,,"Unknown","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",,"Exclude",,"Exclude","4 plex"
"Envelope_00000622","BLDG_00052","Attic",2740.0000,,"N/A","Yes","Yes","Blown fiberglass",3.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",9.8900,,0.0922,,252.7103,,"N/A"
