"PK_Envelope_ID","CK_SiteID","Floor Type","Floor Sub-Type","Floor Area","Floor Area_notes","Floor Perimeter","Floor Perimeter_notes","Foundation Wall Area","Foundation Wall Area_notes","Type of Area Below","Area Below Heated","Framing Type","Framing Size","Framing Spacing","Framing Spacing_notes","Crawlspace Vents Present","Crawlspace Vents Blocked","Basement Percent Below Grade","Basement Percent Below Grade_notes","Central Heating Equipment in Basement","Ducting in Basement","Slab Heated","Slab Insulated","Slab Insulation Position","Slab Insulation Type 1","Slab Insulation Thickness 1","Slab Insulation Thickness 1_notes","Slab Insulation Condition 1","Slab Insulation Condition 1_notes","Slab Insulation Type 2","Slab Insulation Thickness 2","Slab Insulation Thickness 2_notes","Slab Insulation Condition 2","Slab Insulation Condition 2_notes","Slab Insulation Type 3","Slab Insulation Thickness 3","Slab Insulation Thickness 3_notes","Slab Insulation Condition 3","Slab Insulation Condition 3_notes","Framed Floor Insulated","Framed Floor Insulation Type 1","Framed Floor Insulation Thickness 1","Framed Floor Insulation Thickness 1_notes","Framed Floor Insulation Condition 1","Framed Floor Insulation Condition 1_notes","Framed Floor Insulation Type 2","Framed Floor Insulation Thickness 2","Framed Floor Insulation Thickness 2_notes","Framed Floor Insulation Condition 2","Framed Floor Insulation Condition 2_notes","Framed Floor Insulation Type 3","Framed Floor Insulation Thickness 3","Framed Floor Insulation Thickness 3_notes","Framed Floor Insulation Condition 3","Framed Floor Insulation Condition 3_notes","Framed Floor Insulation R-Value","Framed Floor Insulation R-Value_notes","Crawlspace Walls Insulated","Crawlspace Wall Insulation Type 1","Crawlspace Wall Insulation Condition 1","Crawlspace Wall Insulation Condition 1_notes","Crawlspace Wall Insulation Type 2","Crawlspace Wall Insulation Thickness 2","Crawlspace Wall Insulation Thickness 2_notes","Crawlspace Wall Insulation Condition 2","Crawlspace Wall Insulation Condition 2_notes","Crawlspace Wall Exteriors Insulated","Crawlspace Wall Exterior Insulation Type 1","Crawlspace Wall Exterior Insulation Thickness 1","Crawlspace Wall Exterior Insulation Thickness 1_notes","Crawlspace Wall Exterior Insulation Condition 1","Crawlspace Wall Exterior Insulation Condition 1_notes","Crawlspace Wall Exterior Insulation Type 2","Crawlspace Wall Exterior Insulation Thickness 2","Crawlspace Wall Exterior Insulation Thickness 2_notes","Crawlspace Wall Exterior Insulation Condition 2","Crawlspace Wall Exterior Insulation Condition 2_notes","Crawlspace Wall Interior Insulation R-Value","Crawlspace Wall Interior Insulation R-Value_notes","Crawlspace Wall Exterior Insulation R-Value","Crawlspace Wall Exterior Insulation R-Value_notes","Crawlspace Wall Below Grade U-Value","Crawlspace Wall Below Grade U-Value_notes","Crawlspace Wall Above Grade U-Value","Crawlspace Wall Above Grade U-Value_notes","Foundation Wall U-Value","Foundation Wall U-Value_notes","Foundation Wall Heat Loss Rate (UA)","Foundation Wall Heat Loss Rate (UA)_notes","Foundation F-Value","Foundation F-Value_notes","Ground Contact Heat Loss Rate (UA)","Ground Contact Heat Loss Rate (UA)_notes","Framed Floor U-Value","Framed Floor U-Value_notes","Framed Floor Heat Loss Rate (UA)","Framed Floor Heat Loss Rate (UA)_notes","Final Floor / Foundation Heat Loss Rate (UA)","Final Floor / Foundation Heat Loss Rate (UA)_notes","Heat Loss Components","Floor Notes"
"Envelope_00001538","BLDG_00001","Slab","N/A",4900.0000,,298.0000,,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A","N/A","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.7300,,217.5400,,,"N/A",,"N/A",217.5400,,"Components: Ground Contact UA","Tenant unaware of basement or crawlspace. On site assumption is that building is on slab due to lack of any exterior crawl or basement access, no crawl venting or basement windows visible, and no interior spaces"
"Envelope_00001429","BLDG_00002","Slab","N/A",12975.0000,,860.0000,,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A","N/A","No","No","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.7300,,627.8000,,,"N/A",,"N/A",627.8000,,"Components: Ground Contact UA","N/A"
"Envelope_00000983","BLDG_00003","Slab","N/A",12500.0000,,600.0000,,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A","N/A","No","Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.7300,,438.0000,,,"N/A",,"N/A",438.0000,,"Components: Ground Contact UA","N/A"
"Envelope_00000992","BLDG_00004","Crawlspace","Unconditioned",3700.0000,,324.0000,,"1,296.00","Estimated","N/A","N/A","Unknown","Unknown",,"Unknown","Yes","No",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","Unknown","N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",,"Unknown",0.3500,,,"Unknown",0.6801,,881.3455,,0.5900,,191.1600,,0.0997,"Estimated based on homes of similar vintage",368.7960,,368.7960,,"Components: Framed Floor UA","Can identify foundation as crawl space due to venting, cannot see framing/insulation through venting"
"Envelope_00000999","BLDG_00005","Slab","N/A",2968.0000,,304.0000,,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A","N/A","Unknown","Yes","Unknown","Expanded Polystyrene Foam Board",2.5000,,,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.7000,,212.8000,,,"N/A",,"N/A",212.8000,,"Components: Ground Contact UA","N/A"
"Envelope_00001007","BLDG_00009","Slab","N/A",725.0000,,158.0000,,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A","N/A","No","No","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.7300,,115.3400,,,"N/A",,"N/A",115.3400,,"Components: Ground Contact UA","N/A"
"Envelope_00001008","BLDG_00009","Basement","Unconditioned",2944.0000,,280.5000,,"2,400.00","Basement wall details in separate table","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",0.5000,,"No","No Exposed Ducts in Basement","No","No","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.6281,,1507.3776,,0.5300,,148.6650,,0.1849,"Estimated based on homes of similar vintage",544.4914,,409.7646,,"Final UA includes buffer space calculations. Components: Foundation Wall UA, Ground Contact UA, Framed Floor UA","N/A"
"Envelope_00001022","BLDG_00010","Basement","Conditioned",2700.0000,,208.0000,,"1,373.00","Basement wall details in separate table","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",0.5000,,"No","No Exposed Ducts in Basement","No","No","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",0.0000,,"N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.6191,,850.0916,,0.5300,,110.2400,,0.2127,,574.3307,,110.2400,,"Components: Ground Contact UA. (Basement wall details in separate table)","N/A"
"Envelope_00001023","BLDG_00016","Slab","N/A",21000.0000,,1020.0000,,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A","N/A","No","No","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.7300,,744.6000,,,"N/A",,"N/A",744.6000,,"Components: Ground Contact UA","N/A"
"Envelope_00001307","BLDG_00020","Slab","N/A",5804.0000,,450.0000,,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A","N/A","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.7300,,328.5000,,,"N/A",,"N/A",328.5000,,"Components: Ground Contact UA","N/A"
