"PK_Mechanical_ID","CK_SiteID","Blower Door Trials","Blower Door Trials_notes","First Trial: Location","First Trial: Windy","First Trial: Unusual Conditions","First Trial: P25 Ring Size","First Trial: P25 House Pressure","First Trial: P25 House Pressure_notes","First Trial: P25 Fan Pressure","First Trial: P25 Fan Pressure_notes","First Trial: P25 CFM","First Trial: P25 CFM_notes","First Trial: P50 Ring Size","First Trial: P50 House Pressure","First Trial: P50 House Pressure_notes","First Trial: P50 Fan Pressure","First Trial: P50 Fan Pressure_notes","First Trial: P50 CFM","First Trial: P50 CFM_notes","First Trial: Notes","First Trial: Flow Coefficient","First Trial: Flow Coefficient_notes","First Trial: Q50","First Trial: Q50_notes","First Trial: ACH50","Second Trial: Location","Second Trial: Windy","Second Trial: Unusual Conditions","Second Trial: P25 Ring Size","Second Trial: P25 House Pressure","Second Trial: P25 House Pressure_notes","Second Trial: P25 Fan Pressure","Second Trial: P25 Fan Pressure_notes","Second Trial: P25 CFM","Second Trial: P25 CFM_notes","Second Trial: P50 Ring Size","Second Trial: P50 House Pressure","Second Trial: P50 House Pressure_notes","Second Trial: P50 Fan Pressure","Second Trial: P50 Fan Pressure_notes","Second Trial: P50 CFM","Second Trial: P50 CFM_notes","Second Trial: Notes","Second Trial: Flow Exponent","Second Trial: Flow Exponent_notes","Second Trial: Flow Coefficient","Second Trial: Flow Coefficient_notes","Second Trial: Q50","Second Trial: Q50_Notes","Second Trial: ACH50","Conditioned Volume","Conditioned Volume_notes","Building Height","Site Location"
"Mechanical_00013009","SITE_00237",1,,"Front Door","No",,"B",24.30000,,27.30000,,317.00000,,"B",50.60000,,75.20000,,519.00000,,,37.13040,,514.85500,,3.6489,,,,,,,,,,,,,,,,,,,,,,,,,,8466.00000,,"1","PRESTON, ID"
"Mechanical_00013010","SITE_00238",1,,"Front Door","No",,"B",24.90000,,129.40000,,677.00000,,"A",50.30000,,31.90000,,1045.00000,,,93.02660,,1041.15000,,5.5424,,,,,,,,,,,,,,,,,,,,,,,,,,11271.00000,,"1","TWIN FALLS, ID"
"Mechanical_00013011","SITE_00239",1,,"Side Door To Garage","No",,"B",24.40000,,172.80000,,779.00000,,"A",49.60000,,44.20000,,1204.00000,,,109.65700,,1209.95000,,5.7828,,,,,,,,,,,,,,,,,,,,,,,,,,12554.00000,,"1","TWIN FALLS, ID"
"Mechanical_00013026","SITE_00332",1,,"Front Door","Yes",,"A",25.00000,,80.70000,,1637.00000,,"A",50.10000,,216.50000,,2595.00000,,,193.69300,,2591.43000,,12.7825,,,,,,,,,,,,,,,,,,,,,,,,,,12164.00000,,"1","ABERDEEN, ID"
"Mechanical_00013027","SITE_00333",1,,"Side","No","Felt a lot of air pulling through but didnt see any obvious problems, i was at the end of a hallway so that might have made me feel more airflow","A",24.80000,,76.00000,,1569.00000,,"0",49.40000,,31.30000,,2655.00000,,,135.27400,,2679.58000,,5.7334,,,,,,,,,,,,,,,,,,,,,,,,,,28042.00000,,"2","BOISE, ID"
"Mechanical_00013028","SITE_00334",1,,"Front Door","No","Conditioned garage","A",25.20000,,26.70000,,941.00000,,"A",49.90000,,63.00000,,1432.00000,,,129.50300,,1433.76000,,5.1599,,,,,,,,,,,,,,,,,,,,,,,,,,16672.00000,,"1","TWIN FALLS, ID"
"Mechanical_00013029","SITE_00335",2,,"Front Door","No",,"A",24.00000,,169.80000,,2307.00000,,"0",50.30000,,43.40000,,3229.00000,,,544.37400,,3220.23000,,7.7543,"Front","No",,"A",24.70000,,188.40000,,2436.00000,,"0",49.70000,,45.70000,,3289.00000,,,0.42938,,614.71700,,3297.51000,,7.9404,24917.00000,,"2.5","BOISE, ID"
"Mechanical_00013031","SITE_00338",1,,"Front Door","No",,"B",24.60000,,80.00000,,536.00000,,"B",50.50000,,235.00000,,904.00000,,,52.27670,,897.48600,,2.6815,,,,,,,,,,,,,,,,,,,,,,,,,,20082.00000,,"1","IDAHO FALLS, ID"
"Mechanical_00013033","SITE_00340",1,,"Front Door","No",,"B",25.00000,,119.00000,,650.00000,,"A",49.60000,,30.50000,,1015.00000,,,80.08380,,1020.32000,,4.7567,,,,,,,,,,,,,,,,,,,,,,,,,,12870.00000,,"1","NEW MEADOWS, ID"
"Mechanical_00013034","SITE_00341",1,,"Front Door","No",,"A",27.70000,,25.30000,,921.00000,,"A",48.30000,,58.90000,,1396.00000,,,76.77780,,1432.59000,,4.3511,,,,,,,,,,,,,,,,,,,,,,,,,,19755.00000,,"1","STAR, ID"
