"PK_Mechanical_ID","CK_SiteID","System Type","System Sub-Type","Quantity","Quantity_notes","Primary Cooling System","Control Type","Zones Served","Cooling Fuel","Cooling Capacity","Cooling Capacity_notes","Cooling Capacity Units","Cooling Capacity Type","SEER","SEER_notes","SEER Type","EER","EER_notes","EER Type","COP","COP_notes","COP Type","Frequency of Use","Distribution Type","Water or Ground Loop?","Component 1","Component 1 Make","Component 1 Model","Component 1 Year of Manufacture on Nameplate","Component 1 Year of Manufacture","Component 1 Year of Manufacture_notes","Component 1 Serial Number","Component 2","Component 2 Make","Component 2 Model","Component 2 Year of Manufacture on Nameplate","Component 2 Year of Manufacture","Component 2 Year of Manufacture_notes","Component 2 Serial Number","Component 3","Component 3 Make","Component 3 Model","Component 3 Year of Manufacture on Nameplate","Component 3 Year of Manufacture","Component 3 Year of Manufacture_notes","Component 3 Serial Number","Component 4","Component 4 Make","Component 4 Model","Component 4 Year of Manufacture on Nameplate","Component 4 Year of Manufacture","Component 4 Year of Manufacture_notes","Component 4 Serial Number","Energy Star Label Present?","Qty Ductless Heads","Qty Ductless Heads_notes","DMSHP Room 2","DMSHP Capacity 2","DMSHP Capacity 2_notes","DMSHP Capacity 2 Type","DMSHP Cooling Capacity 2","DMSHP Cooling Capacity 2_notes","DMSHP Cooling Capacity 2 Type","DMSHP EER 2","DMSHP EER 2_notes","DMSHP EER 2 Type","DMSHP SEER 2","DMSHP SEER 2_notes","DMSHP SEER 2 Type","DMSHP Room 3","DMSHP Capacity 3","DMSHP Capacity 3_notes","DMSHP Capacity 3 Type","DMSHP EER 3","DMSHP EER 3_notes","DMSHP EER 3 Type","DMSHP SEER 3","DMSHP SEER 3_notes","DMSHP SEER 3 Type","DMSHP Cooling Capacity 3","DMSHP Cooling Capacity 3_notes","DMSHP Cooling Capacity 3 Type","DMSHP Room 4","DMSHP Capacity 4","DMSHP Capacity 4_notes","DMSHP EER 4","DMSHP EER 4_notes","DMSHP EER 4 Type","DMSHP SEER 4","DMSHP SEER 4_notes","DMSHP SEER 4 Type","DMSHP Cooling Capacity 4","DMSHP Cooling Capacity 4_notes","DMSHP Cooling Capacity 4 Type","Equipment Notes"
"Mechanical_00000003","BLDG_00076","Air Handler","N/A",1,,"N/A","N/A","N/A","DX",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","Unknown","N/A","N/A","Unknown","Unknown","Unknown",,"Unknown","Unknown","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000004","BLDG_00221","Air Source Heat Pump","N/A",1,,"Unknown","Unknown","Unknown","Electric",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","Unknown","N/A","Condenser","Trane","Unknown","Unknown",,"Unknown","Unknown","Air Handler","Trane","4TGB3f42A1000AA","Yes",2011,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000006","SITE_00239","Air Source Heat Pump","N/A",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",35800.0000,,"Btuh","Rated",15.0000,,"Nominal",12.5000,,"Nominal",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Bryant","214ana036-d","Yes",2009,,"N/A","Air Handler","Bryant","Fx4cnf036000aaaa","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000007","SITE_00245","Air Source Heat Pump","N/A",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",24000.0000,,"Btuh","Nominal",14.5000,,"Nominal",,"Unknown","N/A",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Coleman","Thjf24s41s3a","No",2015,,"W1G5840816","Air Handler","Coleman","Eb12e","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","They use wood stove as much as possible"
"Mechanical_00000008","SITE_00246","Air Source Heat Pump","N/A",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",33591.6700,,"Btuh","Average",10.5000,,"Average",9.0000,,"Average",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Bryant","561cj036-f","No",2002,,"2302E13819","Air Handler","Coleman","Unknown","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","Cannot locate nameplate on air handler"
"Mechanical_00000009","SITE_00248","Air Source Heat Pump","N/A",,"N/A","Yes","Manual Thermostat - Analog","Whole Home","Electric",42000.0000,,"Btuh","Nominal",10.0000,,"Nominal",9.5000,,"Nominal",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Goodman","CKL42-1L","No",2005,,"0508249784","Air Handler","Intertherm","E3eb-023h","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000010","SITE_00253","Air Source Heat Pump","N/A",,"N/A","Yes","Manual Thermostat - Analog","Whole Home","Electric",30000.0000,,"Btuh","Nominal",,"Unknown","N/A",,"Unknown","N/A",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Intertherm","Pcsb-30kcrb","No",,"Unknown","Unknown","Air Handler","Coleman","3400-818","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","Unkown btus for heat pump"
"Mechanical_00000011","SITE_00255","Air Source Heat Pump","N/A",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",22630.0000,,"Btuh","Average",10.0000,,"Average",9.3200,,"Average",3.1700,,"Unknown","N/A","N/A","N/A","Condenser","Payne","PH10JA 024-AG","No",2005,,"3605X88518","Air Handler","Coleman","3400A818","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000013","SITE_00258","Air Source Heat Pump","N/A",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",28600.0000,,"Btuh","Average",11.0000,,"Average",10.2500,,"Average",2.3300,,"Unknown","N/A","N/A","N/A","Condenser","Bryant","661cj030-a","No",1997,,"2697E21160","Air Handler","Coleman","6806a852","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","Could not locate size information, condenser make not obvious from exterior/nameplate"
"Mechanical_00000014","SITE_00263","Air Source Heat Pump","N/A",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",34600.0000,,"Btuh","Rated",14.5000,,"Rated",11.7000,,"Rated",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Lennox","14hpx-036-230","No",2011,,"1911J18963","Air Handler","Lennox","Cbx32m-036-230-6-05","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A"
