"PK_Mechanical_ID","CK_SiteID","Distance to Return Grilles","Distance to Return Grilles_notes","Filter Condition","HVAC System Mode","Plate Used","Return Duct Sealing","TrueFlow Probe Location","Secondary Probe Location","TrueFlow Plate Location","NSOP","NSOP_notes","Plate 14 Pressure Differential","Plate 14 Pressure Differential_notes","Plate 20 Pressure Differential","Plate 20 Pressure Differential_notes","Secondary Pressure","Secondary Pressure_notes","TrueFlow SOP","TrueFlow SOP_notes","System Airflow (CFM)","TrueFlow Notes"
"Mechanical_00014822","SITE_00233",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014823","SITE_00234",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014824","SITE_00240",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014825","SITE_00245",,,"Clean, like new","Cool","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Supply register (fits 'Secondary')","Filter slot at air handler",69.0000,,3.9000,,,,69.0000,,72.9000,,220.9484,"N/A"
"Mechanical_00014826","SITE_00246",,,"Fairly dirty","Fan only, high","Plate #14 (14x20 to 18x20)",,"Filter","Supply register (fits 'Secondary')","Filter slot at air handler",105.5000,,40.8000,,,,19.4000,,53.5000,,1031.5191,"N/A"
"Mechanical_00014827","SITE_00248",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014828","SITE_00249",,,"Clean, like new","Cool","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Supply register (fits 'Secondary')","Filter slot at air handler",31.6000,,5.0000,,,,31.3000,,36.6000,,238.9383,"N/A"
"Mechanical_00014829","SITE_00250",,,"Some dirt","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Supply register (fits 'Secondary')","Filter slot at air handler",61.4000,,9.3000,,,,61.4000,,70.7000,,326.8239,"N/A"
"Mechanical_00014830","SITE_00252",,,"Fairly dirty","Cool","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Supply register (fits 'Secondary')","Filter slot at air handler",96.0000,,20.0000,,,,98.1000,,116.0000,,467.8638,"N/A"
"Mechanical_00014831","SITE_00253",,,"Very dirty","Cool","Plate #20 (20x20 to 24x24)",,"Side of return plenum (fits 'Best')","Supply register (fits 'Secondary')","Filter slot at air handler",44.1000,,,,3.0000,,44.1000,,47.1000,,258.1013,"N/A"
"Mechanical_00014832","SITE_00255",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014833","SITE_00258",,,"Clean, like new","Fan only, high","Plate #20 (20x20 to 24x24)",,"Filter","Supply register (fits 'Secondary')","Filter slot next to air handler",56.0000,,,,34.6000,,60.5000,,16.8000,,1653.8577,"N/A"
"Mechanical_00014834","SITE_00259",,,,,,,,,,,,,,,,,,,,,"Could not perform , Homeowner is in process of wiring generator back up service no power to air handler"
"Mechanical_00014835","SITE_00260",,,"Clean, like new","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Supply register (fits 'Secondary')","Filter slot at air handler",25.5000,,1.5000,,,,25.0000,,24.0000,,145.1804,"N/A"
"Mechanical_00014836","SITE_00261",,,"Some dirt","Heat","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')",,"Filter slot at air handler",43.3000,,,,6.8000,,,,50.1000,,373.3363,"N/A"
"Mechanical_00014837","SITE_00263",,,"Some dirt","Cool","Plate #20 (20x20 to 24x24)",,"Side of supply plenum (fits 'Best')","Dead-end corner of supply plenum (fits 'Best')","Filter slot at air handler",34.8000,,,,15.3000,,38.7000,,50.1000,,502.0387,"N/A"
"Mechanical_00014838","SITE_00264",,,"Some dirt","Fan only, high","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')","Supply register (fits 'Secondary')","Filter slot at air handler",14.0000,,,,1.4000,,14.0000,,15.4000,,173.7354,"N/A"
"Mechanical_00014839","SITE_00265",,,"Very dirty","Heat","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Supply register (fits 'Secondary')","Filter slot at air handler",32.5000,,39.3000,,,,,,71.8000,,485.0356,"N/A"
"Mechanical_00014840","SITE_00270",,,"Clean, like new","Heat","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Supply register (fits 'Secondary')","Filter slot at air handler",19.2000,,3.3000,,,,19.2000,,22.5000,,192.9808,"N/A"
"Mechanical_00014841","SITE_00272",,,"Very dirty","Heat","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Supply register (fits 'Secondary')","Filter slot at air handler",90.4000,,27.8000,,,,90.0000,,118.2000,,530.2684,"N/A"
"Mechanical_00014842","SITE_00273",,,"Clean, like new","Cool","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Supply register (fits 'Secondary')","Filter slot at air handler",43.9000,,12.8000,,,,43.9000,,31.1000,,488.8267,"N/A"
"Mechanical_00014843","SITE_00274",,,"Some dirt","Heat","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Supply register (fits 'Secondary')","Filter slot at air handler",83.1000,,0.7000,,,,83.1000,,80.6000,,97.6967,"N/A"
