"PK_Mechanical_ID","CK_SiteID","System Type","Technology","Size (Gallons)","Size (Gallons)_notes","Make","Model","Year Manufactured on Nameplate","Year Manufactured","Year Manufactured_notes","Serial Number","Provided by Heating System","Supplemental Solar Water Heating","Fuel Type","Capacity","Capacity_notes","Capacity Units","Energy Factor","Energy Factor_notes","HPWH in Conditioned Space","HPWH Conditioned Space Type","HPWH Conditioned Space Size","HPWH Conditioned Space Size_notes","HPWH Relation to Space Heating Unit","HPWH Ducting","Location","Serves Whole House","Within 4 feet of a drain","Drain Type","Tank Wrap","Tank Wrap Thickness","Tank Wrap Thickness_notes","Pipe Wrap","Pipe Wrap Type","Pipe Wrap Length","Pipe Wrap Length_notes","Pipe Wrap Thickness","Pipe Wrap Thickness_notes","Can Exhaust to Garage or Get Supply Air from Home Interior","In a room greater than 1,000 cubic feet","Eight feet of Vertical Space","Wifi Enabled"
"Mechanical_00011003","SITE_00641","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Rheem","22v50f1","Yes",2012,,"N/A","No","No","Natural Gas",38000.0000,,"Btuh",0.5800,,"N/A","N/A",,"N/A","N/A","N/A","Main House","No","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00011004","SITE_01236","Storage Water Heater","Electric Resistance",50.0000,,"Ruud","PE52-2 C","No",2002,,"RU 0102203272","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011005","SITE_00617","Storage Water Heater","Electric Resistance",50.0000,,"Reliance","650D0RS","No",2006,,"G06A093634","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00011006","SITE_00576","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Unknown","Unknown","No",,"Unknown","Unknown","No","No","Natural Gas",,"Unknown","Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","Yes",3.0000,,"No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011007","SITE_00643","Storage Water Heater","Electric Resistance",40.0000,,"General Electric","GE40M06AAG","No",2013,,"GE M481301893","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00011008","SITE_00570","Storage Water Heater","Electric Resistance",52.0000,,"State","PV 52 20RT4","No",1988,,"M88850094","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011009","SITE_00603","Instantaneous Water Heater","Unknown",0.0000,,"Noritz","nrc98-dv","Yes",2014,,"N/A","No","No","Natural Gas",180000.0000,,"Btuh",0.9600,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","Yes","Floor drain","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00011010","SITE_00620","Storage Water Heater","Electric Resistance",80.0000,,"AO Smith","ees80913","No",1990,,"ME90-0068393-913","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011011","SITE_00579","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Bradford White","mi40t6fbn7","No",2005,,"BM7066015","No","No","Natural Gas",40000.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011012","SITE_00634","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","MI50T6DS13","No",2001,,"XK0371004","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
