"PK_INTRW_ID","CK_SiteID","Primary Home","Move In Year","Move In Year_Notes","Business Operated Out of the Home","Any Occupants Moved In within Last Year","Any Occupant Moved Out within Last Year","Planning to Move Within Six Months","Qty Occupants Between Less than 1 Year","Qty Occupants Between Less than 1 Year_Notes","Qty Occupants Between 1 and 5 Years","Qty Occupants Between 1 and 5 Years_Notes","Qty Occupants Between 6 and 10 Years","Qty Occupants Between 6 and 10 Years_Notes","Qty Occupants Between 11 and 18 Years","Qty Occupants Between 11 and 18 Years_Notes","Qty Occupants Between 19 and 45 Years","Qty Occupants Between 19 and 45 Years_Notes","Qty Occupants Between 46 and 64 Years","Qty Occupants Between 46 and 64 Years_Notes","Qty Occupants Between 65 Years or Older","Qty Occupants Between 65 Years or Older_Notes","Qty Occupants Work Outside the Home","Qty Occupants Work Outside the Home_Notes","Qty Occupants","Qty Occupants_notes","Qty Adults","Qty Adults_notes","Do you own or rent your home","Do you have a carbon monoxide alarm","Who pays the electric bill","Who pays the electric bill - Other Specified","Receive financial assistance for electric bill","Percent assistance for electric bill","Who pays the gas bill","Who pays the gas bill - Other Specified","Receive financial assistance for gas bill","Percent assistance for gas bill","Qualify for energy bill, weatherization, or other assistance","Highest level of school completed by household","Someone works from or operates business out of home","Reported Income"
"SiteIntrvw_00001919","SITE_00001","Primary",2017,,"Unknown","Yes","Unknown","No",0,,0,,0,,0,,0,,1,,0,,0,,1,,1,,"Rent","No","Household member / occupant","N/A","No","N/A","N/A","N/A","N/A","N/A","Yes","Bachelor's degree","No","$10,000 to under $15,000"
"SiteIntrvw_00000426","SITE_00002","Primary",2015,,"Unknown","No","No","No",0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,"Own / buying","Yes","Household member / occupant","N/A","No","N/A","Household member / occupant","N/A","No","N/A","No","Graduate or professional degree","Yes","$55,000 to under $60,000"
"SiteIntrvw_00000427","SITE_00003","Primary",2015,,"Unknown","No","No","No",0,,0,,0,,0,,0,,1,,1,,0,,2,,2,,"Own / buying","Yes","Household member / occupant","N/A","No","N/A","N/A","N/A","N/A","N/A","Yes","High school graduate; includes GED","No","$20,000 to under $25,000"
"SiteIntrvw_00000428","SITE_00004","Primary",2015,,"Unknown","No","No","No",0,,0,,0,,0,,0,,2,,0,,1,,2,,2,,"Own / buying","Yes","Household member / occupant","N/A","No","N/A","N/A","N/A","N/A","N/A","No","Some college, no degree","No","$40,000 to under $45,000"
"SiteIntrvw_00000429","SITE_00005","Primary",2015,,"Unknown","No","No","No",0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,"Own / buying","Yes","Household member / occupant","N/A","No","N/A","N/A","N/A","N/A","N/A","Unknown","Graduate or professional degree","No","$20,000 to under $25,000"
"SiteIntrvw_00000430","SITE_00006","Primary",2014,,"Unknown","No","No","No",0,,0,,0,,0,,0,,0,,2,,0,,2,,2,,"Own / buying","No","Household member / occupant","N/A","No","N/A","N/A","N/A","N/A","N/A","No","Bachelor's degree","No","$60,000 to under $65,000"
"SiteIntrvw_00000431","SITE_00007","Primary",2013,,"Unknown","No","Yes","Yes",0,,0,,0,,0,,0,,2,,0,,0,,2,,2,,"Own / buying","No","Household member / occupant","N/A","No","N/A","N/A","N/A","N/A","N/A","Unknown","Graduate or professional degree","Yes","$10,000 to under $15,000"
"SiteIntrvw_00000432","SITE_00008","Primary",2016,,"Unknown","No","Yes","No",0,,0,,0,,0,,0,,2,,0,,2,,2,,2,,"Rent","Yes","Household member / occupant","N/A","Yes","Less than 25%","N/A","N/A","N/A","N/A","Unknown","Associates degree","No","$15,000 to under $20,000"
"SiteIntrvw_00000433","SITE_00009","Primary",2017,,"Unknown","Yes","Yes","No",0,,0,,0,,0,,2,,1,,0,,2,,3,,3,,"Own / buying","Yes","Household member / occupant","N/A","No","N/A","Household member / occupant","N/A","No","N/A","No","Some college, no degree","No","$80,000 to under $85,000"
"SiteIntrvw_00000434","SITE_00010","Primary",2014,,"Unknown","No","No","No",0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,"Own / buying","No","Household member / occupant","N/A","No","N/A","N/A","N/A","N/A","N/A","Unknown","Associates degree","No","$25,000 to under $30,000"
