"PK_INTRW_ID","CK_SiteID","Clothes Washer Loads Per Week","Clothes Washer Loads Per Week_Notes","Primary Showerhead","Indoor Air Quality Problems","Air Quality: Drafty","Air Quality: Mildew","Air Quality: Persistent Odor","Air Quality: Stuffy","Qty Dishwasher Loads per Week","Qty Dishwasher Loads per Week_Notes","Percent Clothes Washer Loads Dried in Dryer","Percent Clothes Washer Loads Dried in Dryer_Notes","Percent Clothes Washer Loads Washed in Hot Water","Percent Clothes Washer Loads Washed in Hot Water_Notes","Qty TVs","Which TV is Used Most","Primary TV Hours per Day","Primary TV Hours per Day_Notes","Additional TVs Hours per Day","Additional TVs Hours per Day_Notes","Control of Thermostat Setpoint","Use Air Conditioning Equipment","Use Portable Cooling Equipment","Cooling Setpoint","Cooling Setpoint_Notes","Cooling Setback","Cooling Setback_Notes","Use Portable Heating Equipment","Heating Setback","Heating Setback_Notes","Heating Setpoint","Heating Setpoint_Notes","Open Windows When Heating","Block Off Part of Home In Heating Season","Block Off Part of Home In Heating Season_Notes","Are you aware of the ENERGY STAR ratings for major appliances","Do you have any ENERGY STAR rated appliances","Satisfied with performance of ENERGY STAR appliaces"
"SiteIntrvw_00001919","SITE_00001",,"No Washing Machine","Only one","No","N/A","N/A","N/A","N/A",,"Unknown",,"Unknown",,"Unknown","1","Unknown",0.0000,,,"Unknown","Yes","No","Unknown",,"Unknown",,"Unknown","No",68.0000,,68.0000,,"No",0.0000,,"Yes","No","N/A"
"SiteIntrvw_00000426","SITE_00002",5.0000,,"reduced flow","No","N/A","N/A","N/A","N/A",2.0000,,1.0000,,0.0000,,"1","Unknown",3.0000,,,"Unknown","Yes","Yes","No",70.0000,,55.0000,,"No",55.0000,,72.0000,,"No",0.7500,,"Yes","Yes","No"
"SiteIntrvw_00000427","SITE_00003",3.0000,,"Non master bath","Yes","Yes","No","No","Yes",1.0000,,1.0000,,0.0000,,"2","Unknown",10.0000,,,"Unknown","Yes","No","Unknown",,"Unknown",,"Unknown","No",,"Unknown",,"Unknown","No",0.1500,,"No","N/A","N/A"
"SiteIntrvw_00000428","SITE_00004",2.0000,,"Both same","Yes","No","No","No","Yes",2.0000,,0.7500,,0.0000,,"2","Unknown",10.0000,,,"Unknown","Yes","Yes","Yes",70.0000,,,"Unknown","No",65.0000,,68.0000,,"No",0.0000,,"Yes","Yes","Yes"
"SiteIntrvw_00000429","SITE_00005",1.0000,,"Master","No","N/A","N/A","N/A","N/A",1.0000,,1.0000,,1.0000,,"1","Unknown",3.0000,,,"Unknown","Yes","No","Unknown",,"Unknown",,"Unknown","Yes",42.0000,,60.0000,,"No",0.5000,,"Yes","Unknown","N/A"
"SiteIntrvw_00000430","SITE_00006",3.0000,,"Master","No","N/A","N/A","N/A","N/A",3.0000,,1.0000,,0.0000,,"3 or more","Living and kitchen",4.0000,,2.0000,,"Yes","Yes","No",76.0000,,,"Unknown","No",55.0000,,69.0000,,"No",0.0000,,"Yes","Yes","Yes"
"SiteIntrvw_00000431","SITE_00007",3.0000,,"Master","Yes","No","Yes","No","No",3.0000,,0.7500,,0.0000,,"No TVs","N/A",,"Unknown",,"Unknown","Yes","No","Unknown",,"Unknown",,"Unknown","No",62.0000,,62.0000,,"No",,"N/A","Yes","Unknown","N/A"
"SiteIntrvw_00000432","SITE_00008",3.0000,,"Main bath","No","N/A","N/A","N/A","N/A",1.0000,,1.0000,,0.7500,,"2","Unknown",4.0000,,,"Unknown","Yes","No","Unknown",,"Unknown",,"Unknown","No",,"Unknown",,"Unknown","No",0.1500,,"Yes","Unknown","N/A"
"SiteIntrvw_00000433","SITE_00009",4.0000,,"Only one","No","N/A","N/A","N/A","N/A",6.0000,,1.0000,,0.0000,,"3 or more","LR & Master",4.0000,,0.0000,,"Yes","No","Unknown",,"Unknown",,"Unknown","No",,"Unknown",69.0000,,"Yes",0.0000,,"Yes","No","N/A"
"SiteIntrvw_00000434","SITE_00010",3.0000,,"Main bath","No","No","N/A","N/A","No",1.0000,,1.0000,,0.0000,,"2","Unknown",4.0000,,,"Unknown","Yes","Yes","No",70.0000,,70.0000,,"No",66.0000,,69.0000,,"No",0.0000,,"No","N/A","N/A"
"SiteIntrvw_00000435","SITE_00011",3.0000,,"Master bath","Yes","No","Yes","Yes","No",2.0000,,1.0000,,0.0200,,"2","Unknown",5.0000,,,"Unknown","Yes","Yes","No",74.0000,,74.0000,,"Yes",64.0000,,68.0000,,"Yes",0.2500,,"Yes","Yes","Yes"
"SiteIntrvw_00000436","SITE_00012",1.0000,,"Main","Yes","No","No","No","Yes",,"Unknown",0.5000,,0.5000,,"1","Unknown",8.0000,,,"Unknown","Yes","No","Unknown",,"Unknown",,"Unknown","No",45.0000,,68.0000,,"No",0.1500,,"No","N/A","N/A"
"SiteIntrvw_00000437","SITE_00013",1.0000,,"only","No","N/A","N/A","N/A","N/A",1.0000,,1.0000,,0.0000,,"1","Unknown",16.0000,,,"Unknown","Yes","No","Unknown",,"Unknown",,"Unknown","No",68.0000,,68.0000,,"No",0.0000,,"Prefer not to say","Prefer not to say","Prefer not to say"
"SiteIntrvw_00000438","SITE_00014",7.0000,,"Main","No","N/A","N/A","N/A","N/A",7.0000,,0.7500,,0.7500,,"1","Unknown",3.0000,,,"Unknown","Yes","Yes","No",73.0000,,73.0000,,"No",65.0000,,70.0000,,"Yes",0.0000,,"Yes","Unknown","N/A"
"SiteIntrvw_00000439","SITE_00015",3.0000,,"Master","No","N/A","N/A","N/A","N/A",1.0000,,1.0000,,0.0000,,"2","Unknown",3.0000,,,"Unknown","Yes","No","Unknown",,"Unknown",,"Unknown","Yes",60.0000,,68.0000,,"No",0.5000,,"Yes","Yes","Yes"
"SiteIntrvw_00000440","SITE_00016",,"No Washing Machine","About the same","Yes","No","No","No","Yes",7.0000,,,"Unknown",,"Unknown","3 or more","Living room and bedroom",24.0000,,10.0000,,"Yes","No","Unknown",,"Unknown",,"Unknown","Yes",71.0000,,71.0000,,"No",0.5000,,"Yes","Yes","Yes"
"SiteIntrvw_00000441","SITE_00017",8.0000,,"About the same","No","N/A","N/A","N/A","N/A",1.0000,,0.7500,,0.0000,,"3 or more","Living Room",10.0000,,0.0000,,"Yes","Yes","No",70.0000,,70.0000,,"No",65.0000,,70.0000,,"No",0.2500,,"No","N/A","N/A"
"SiteIntrvw_00000442","SITE_00018",3.0000,,"Master","No","N/A","N/A","N/A","N/A",3.0000,,1.0000,,0.0000,,"3 or more","LR & Master",16.0000,,0.0000,,"Yes","Yes","No",68.0000,,68.0000,,"Yes",,"Unknown",72.0000,,"Yes",0.0000,,"Yes","Yes","Yes"
"SiteIntrvw_00000443","SITE_00019",9.0000,,"Master","Yes","Yes","No","No","No",1.0000,,1.0000,,0.0000,,"3 or more","Bedrooms",16.0000,,15.0000,,"Yes","Yes","Yes",70.0000,,70.0000,,"Yes",,"Unknown",68.0000,,"No",0.0000,,"Unknown","N/A","N/A"
"SiteIntrvw_00000444","SITE_00020",3.0000,,"Master","Yes","No","No","Yes","Yes",5.0000,,0.0000,,0.2500,,"3 or more","Living room and madter",8.0000,,0.2000,,"Yes","Yes","No",71.0000,,71.0000,,"Yes",64.0000,,68.0000,,"No",0.0000,,"Yes","Yes","Yes"
"SiteIntrvw_00000445","SITE_00021",3.0000,,"Master","No","N/A","N/A","N/A","N/A",2.0000,,1.0000,,0.0000,,"No TVs","N/A",,"Unknown",,"Unknown","Yes","Yes","No",74.0000,,75.0000,,"No",66.0000,,68.0000,,"No",0.0000,,"Yes","Yes","Yes"
"SiteIntrvw_00000446","SITE_00022",3.0000,,"Bathtub","No","N/A","N/A","N/A","N/A",1.0000,,1.0000,,0.0900,,"No TVs","N/A",,"Unknown",,"Unknown","No","No","Unknown",,"Unknown",,"Unknown","No",62.0000,,65.0000,,"No",0.0000,,"Yes","Yes","Yes"
"SiteIntrvw_00000447","SITE_00023",3.0000,,"Master","No","N/A","N/A","N/A","N/A",3.0000,,1.0000,,0.0000,,"2","Unknown",3.0000,,,"Unknown","Yes","No","Unknown",,"Unknown",,"Unknown","No",68.0000,,68.0000,,"No",0.0000,,"Yes","Yes","Yes"
