building_type,floor_area,UA,CM,CA,UM,UI
MidriseApartment,211.9,646.2,1.536e+07,701.7,323.1,323.1
MidriseApartment,236.4,661,1.578e+07,783.1,330.5,330.5
MidriseApartment,243.8,679.7,1.623e+07,807.3,339.9,339.9
MidriseApartment,261.5,968.2,2.3e+07,923.6,484.1,484.1
MidriseApartment,132.8,519.1,1.222e+07,439.6,259.5,259.5
MidriseApartment,626.4,1404,3.321e+07,1706,702.1,702.1
MidriseApartment,1181,3639,8.763e+07,4419,1819,1819
MidriseApartment,510.4,2224,5.428e+07,2443,1112,1112
PrimarySchool,1914,1.206e+04,4.454e+08,6338,6032,6032
MidriseApartment,117.3,735.5,1.726e+07,422.2,367.7,367.7
MidriseApartment,214.8,624.4,1.488e+07,711.4,312.2,312.2
MidriseApartment,147.8,496.7,1.176e+07,489.5,248.4,248.4
MidriseApartment,387.4,1374,3.311e+07,1537,686.9,686.9
MidriseApartment,246.8,880.5,2.099e+07,887.8,440.2,440.2
MidriseApartment,139.5,554,1.324e+07,530.4,277,277
MidriseApartment,150,393.6,1.667e+07,535.9,196.8,196.8
MidriseApartment,538.9,1357,3.222e+07,1615,678.6,678.6
MidriseApartment,166.9,533.9,1.267e+07,552.9,267,267
MidriseApartment,108,424.2,9.981e+06,357.7,212.1,212.1
MidriseApartment,297.9,488.4,1.945e+07,986.4,244.2,244.2
MidriseApartment,156.4,513.4,1.216e+07,518,256.7,256.7
MidriseApartment,163.7,555.1,1.314e+07,542,277.6,277.6
MidriseApartment,215.5,378.1,1.517e+07,713.7,189,189
MidriseApartment,149.1,291.2,1.181e+07,493.6,145.6,145.6
MidriseApartment,771.3,1931,4.615e+07,2446,965.6,965.6
MidriseApartment,261,1681,4.054e+07,1199,840.4,840.4
MidriseApartment,144.1,494.1,1.169e+07,477.3,247.1,247.1
MidriseApartment,288.1,948.7,2.214e+07,845.7,474.3,474.3
MidriseApartment,181.5,578.6,1.373e+07,601.2,289.3,289.3
MidriseApartment,192.6,614.6,1.458e+07,637.8,307.3,307.3
MidriseApartment,312.8,641.4,2.56e+07,951.2,320.7,320.7
MidriseApartment,246.9,641.7,2.676e+07,830.1,320.9,320.9
MidriseApartment,289.8,819.3,1.955e+07,959.6,409.6,409.6
MidriseApartment,277.1,767.5,1.833e+07,917.6,383.7,383.7
MidriseApartment,653.7,490.4,3.653e+07,1737,245.2,245.2
MidriseApartment,146.3,533.8,1.259e+07,484.7,266.9,266.9
MidriseApartment,375.4,612.2,2.436e+07,1243,306.1,306.1
MidriseApartment,106.9,310,1.305e+07,361.9,155,155
MidriseApartment,342.7,540.1,2.14e+07,1135,270,270
MidriseApartment,189.2,577.3,1.372e+07,626.7,288.6,288.6
MidriseApartment,158.7,587.9,1.386e+07,525.5,294,294
MidriseApartment,161.3,306.5,1.24e+07,534.3,153.2,153.2
MidriseApartment,227.4,841.4,2.062e+07,1086,420.7,420.7
MidriseApartment,163.5,550.9,1.304e+07,541.3,275.5,275.5
MidriseApartment,130.5,465.4,1.099e+07,432.2,232.7,232.7
MidriseApartment,848.9,1736,7.258e+07,3152,868,868
MidriseApartment,272.6,1018,2.427e+07,997.6,508.8,508.8
MidriseApartment,240,910.2,2.144e+07,794.8,455.1,455.1
MidriseApartment,238.2,254.4,2.084e+07,799.2,127.2,127.2
MediumOffice,963,7592,2.65e+08,4831,3796,3796
MidriseApartment,233.7,755.8,1.737e+07,608.6,377.9,377.9
MidriseApartment,329.8,444.3,2.545e+07,1099,222.2,222.2
MidriseApartment,59.69,306.8,7.156e+06,197.7,153.4,153.4
MidriseApartment,148.9,498.4,1.18e+07,493.1,249.2,249.2
MidriseApartment,302.8,593.6,2.339e+07,887.8,296.8,296.8
MidriseApartment,129.4,483.4,1.14e+07,428.5,241.7,241.7
MidriseApartment,671.7,2051,4.892e+07,2295,1025,1025
MidriseApartment,940.4,2102,8.938e+07,3627,1051,1051
MidriseApartment,383.8,1084,2.663e+07,1696,542.1,542.1
