building_type,floor_area,UA,CM
MidriseApartment,211.9,646.1721,15360912.1
MidriseApartment,236.45,660.9592,15778006.1
MidriseApartment,243.76,679.7377,16228240.4
MidriseApartment,261.53,968.1819,23004707.6
MidriseApartment,132.75,519.0835,12215067.7
MidriseApartment,626.43,1404.1203,33209721.9
MidriseApartment,1180.59,3638.8553,87634779.6
MidriseApartment,510.43,2224.1688,54284801.2
PrimarySchool,1913.94,12064.0553,445387223.7
MidriseApartment,117.26,735.4838,17259332.2
MidriseApartment,214.81,624.3548,14875769.0
MidriseApartment,147.82,496.7313,11758240.6
MidriseApartment,387.42,1373.7676,33110417.4
MidriseApartment,246.75,880.4812,20993431.9
MidriseApartment,139.52,554.043,13243126.8
MidriseApartment,150.02,393.5987,16666626.1
MidriseApartment,538.9,1357.2636,32215576.2
MidriseApartment,166.95,533.9095,12665147.0
MidriseApartment,108.01,424.2334,9981446.4
MidriseApartment,297.86,488.4084,19445529.0
MidriseApartment,156.42,513.3704,12164245.5
MidriseApartment,163.65,555.1498,13135909.9
MidriseApartment,215.51,378.0675,15167487.6
MidriseApartment,149.06,291.2318,11813400.2
MidriseApartment,771.32,1931.1092,46148878.9
MidriseApartment,260.98,1680.8058,40535343.3
MidriseApartment,144.13,494.1415,11687227.4
MidriseApartment,288.09,948.6551,22142043.7
MidriseApartment,181.53,578.5604,13726370.0
MidriseApartment,192.59,614.5666,14579821.0
MidriseApartment,312.83,641.4003,25599818.8
MidriseApartment,246.87,641.717,26756132.3
MidriseApartment,289.78,819.2539,19545720.5
MidriseApartment,277.09,767.4988,18329659.2
MidriseApartment,653.66,490.4251,36533294.5
MidriseApartment,146.35,533.7662,12593357.0
MidriseApartment,375.39,612.1583,24356762.0
MidriseApartment,106.9,310.0497,13045635.9
MidriseApartment,342.7,540.0643,21400225.1
MidriseApartment,189.23,577.2895,13723178.6
MidriseApartment,158.68,587.9433,13863156.9
MidriseApartment,161.33,306.483,12397900.4
MidriseApartment,227.37,841.3626,20618051.6
MidriseApartment,163.47,550.9033,13038976.5
MidriseApartment,130.52,465.4326,10990806.1
MidriseApartment,848.86,1735.9593,72583903.9
MidriseApartment,272.63,1017.5523,24268805.2
MidriseApartment,240.02,910.1681,21442205.9
MidriseApartment,238.17,254.4346,20836451.3
MediumOffice,963.01,7591.8784,264953250.4
MidriseApartment,233.73,755.802,17371819.6
MidriseApartment,329.76,444.3326,25446989.3
MidriseApartment,59.69,306.7695,7156482.8
MidriseApartment,148.9,498.3555,11798657.0
MidriseApartment,302.83,593.5585,23385020.8
MidriseApartment,129.38,483.4447,11395533.4
MidriseApartment,671.67,2050.7655,48923228.4
MidriseApartment,940.36,2101.7981,89382365.4
MidriseApartment,383.81,1084.2496,26625190.5
MidriseApartment,525.03,1560.4201,36380230.8
MidriseApartment,487.7,1246.8755,29196165.2
MediumOffice,258.48,1939.3743,89751604.7
SmallOffice,603.52,3983.5705,145260087.0
MidriseApartment,754.29,2075.6563,49306963.3
MidriseApartment,202.82,622.3298,14789931.6
MidriseApartment,137.89,493.594,11654050.6
MidriseApartment,134.06,515.7428,12143647.8
MidriseApartment,549.95,385.8131,32363742.7
MidriseApartment,61.71,169.5907,7083216.6
MidriseApartment,192.03,611.1502,14500465.5
MidriseApartment,140.28,493.8605,11668042.5
MidriseApartment,264.73,429.4796,17077880.9
Warehouse,2134.99,3826.1635,679836852.4
MidriseApartment,173.67,552.2456,13103369.1
MidriseApartment,152.02,537.9403,12706895.0
MidriseApartment,189.53,395.5072,17179109.7
MidriseApartment,75.98,338.3768,7927557.0
MidriseApartment,145.71,524.9591,12391471.2
MidriseApartment,214.36,653.1169,15526626.8
MidriseApartment,180.32,588.8041,13980352.7
MidriseApartment,224.83,643.1621,15335689.7
MidriseApartment,331.42,1030.6514,25163555.3
MidriseApartment,194.84,639.2193,15146478.1
MidriseApartment,232.84,393.3671,15715482.2
MidriseApartment,184.29,619.4931,14663952.4
MidriseApartment,239.96,922.0825,22597752.6
MidriseApartment,267.9,541.8757,23466020.7
MidriseApartment,121.89,456.0035,10748233.7
MidriseApartment,723.65,1178.1904,45876300.5
MidriseApartment,181.33,201.5696,15618554.0
MidriseApartment,268.08,755.6433,18030775.1
SmallOffice,632.4,4202.6354,152974812.7
MidriseApartment,156.46,629.6575,15140895.2
MidriseApartment,352.12,850.5346,20462614.6
MidriseApartment,338.27,509.5512,20076960.3
MidriseApartment,380.7,1625.7634,39089148.8
MidriseApartment,208.76,615.1706,14647318.8
Outpatient,1136.67,7268.8265,479854641.2
SmallOffice,309.61,2313.4117,81762998.1
MidriseApartment,254.78,713.8307,17038155.2
MidriseApartment,182.0,619.9163,14665938.1
MidriseApartment,77.09,169.5388,9624097.3
MidriseApartment,414.59,1453.6631,34259705.5
MidriseApartment,330.82,498.3876,19637420.9
MidriseApartment,127.8,468.613,11053872.1
MidriseApartment,217.33,745.0019,18034613.0
MidriseApartment,629.67,1415.5249,60031680.5
MidriseApartment,319.1,839.4313,20100931.4
MidriseApartment,200.71,648.3588,15373277.0
MidriseApartment,241.2,485.0717,19291389.4
MidriseApartment,188.5,575.4573,13679179.7
MediumOffice,693.86,934.3603,65922035.5
MidriseApartment,296.57,1102.4023,26047513.7
MidriseApartment,219.55,755.0229,17855238.2
MidriseApartment,171.09,582.7143,13908973.5
MidriseApartment,79.52,196.3465,8124832.5
MidriseApartment,215.74,211.6828,18028502.7
MidriseApartment,273.01,508.9363,19473640.0
MidriseApartment,298.09,822.5354,19647791.1
MidriseApartment,130.83,588.4634,14312579.1
MidriseApartment,124.52,447.8975,10573114.6
MidriseApartment,155.72,528.9519,12515336.9
MidriseApartment,163.13,570.2972,13477738.2
QuickServiceRestaurant,286.69,1272.8584,228445176.2
MidriseApartment,240.5,948.6812,21813599.0
MidriseApartment,110.51,422.3526,9947126.5
MidriseApartment,417.43,1070.5949,24826133.1
MidriseApartment,208.58,633.1097,15053604.5
FullServiceRestaurant,686.87,1702.7336,241797990.8
MidriseApartment,1308.26,1342.8092,95275495.4
SmallOffice,543.02,3345.6918,139563804.3
MediumOffice,1092.97,7047.1387,305782702.1
MidriseApartment,202.73,383.308,15498286.7
MidriseApartment,187.91,339.5364,13664777.7
MidriseApartment,265.13,428.5856,17035069.3
MidriseApartment,356.6,1151.66,27430870.6
MidriseApartment,191.87,620.4105,14709993.9
MidriseApartment,298.18,276.7937,18918679.2
MidriseApartment,452.33,1435.3118,34605714.7
MediumOffice,980.21,8011.0575,277298769.8
MidriseApartment,179.76,676.1679,15934345.2
MidriseApartment,40.55,264.4781,6256853.5
MidriseApartment,261.33,482.6085,20620894.6
MidriseApartment,214.51,823.3961,20079080.5
MidriseApartment,183.38,337.2372,13597123.2
MidriseApartment,100.35,394.9849,9292589.4
MediumOffice,1231.63,9263.0851,326872879.8
MidriseApartment,569.44,1613.4467,37980067.3
MidriseApartment,272.61,778.0301,18553596.4
MidriseApartment,323.19,1213.452,28966261.3
MidriseApartment,170.83,630.8104,15149053.1
MidriseApartment,222.28,639.9112,15253465.2
MidriseApartment,436.49,1451.8694,34902129.5
MidriseApartment,265.68,715.2749,17107197.3
MidriseApartment,527.46,1614.7648,37545635.1
RetailStandalone,881.67,2056.694,306911687.2
MidriseApartment,267.14,1179.1292,27826317.2
SmallOffice,222.08,1640.4695,58140040.3
MidriseApartment,177.34,700.9242,17073242.9
MidriseApartment,257.41,885.4795,20940109.3
MidriseApartment,202.79,635.0726,15078866.8
RetailStripmall,761.35,1054.8558,259870529.8
MidriseApartment,440.01,1363.9955,31706821.5
MidriseApartment,221.29,638.598,15220372.4
MidriseApartment,198.9,627.2771,14889130.7
MidriseApartment,660.41,2075.8055,49639341.0
MidriseApartment,191.9,611.1296,14499568.1
MidriseApartment,351.14,1253.749,30065498.8
MidriseApartment,256.96,723.8687,17273087.2
MidriseApartment,460.12,1493.3771,36193032.5
MidriseApartment,133.13,481.8047,11370823.0
MidriseApartment,294.15,929.1725,22737220.4
MidriseApartment,372.99,698.3826,26735794.8
MidriseApartment,464.48,1497.8848,35325514.4
RetailStandalone,798.48,1527.4293,284112480.0
MidriseApartment,144.87,299.8468,12228587.7
Warehouse,3914.57,8563.034,1257291781.7
MidriseApartment,136.35,474.2634,11210491.0
MidriseApartment,377.3,624.6544,24897948.7
SmallHotel,623.21,5070.8098,172624784.4
