building_type,UA,CA,UI,CM,UM,DF,K,QE,QG,QO,QV,SA,TS,PZM,PPM,QPM,PZE,PIE,PPE,QZE,QIE,QPE,PPH,QPH
APARTMENT,300.0,2000000.0,5000.0,8000000.0,600.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,0.0,0.3,0.03,0.5,0.0,0.5,0.05,0.0,0.05,0.06,0.01
CONDO,300.0,2000000.0,5000.0,8000000.0,600.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,0.0,0.3,0.03,0.5,0.0,0.5,0.05,0.0,0.05,0.06,0.01
EDUCATION,300.0,2000000.0,5000.0,8000000.0,600.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.39,0.08,2.9599999999999995,0.62,2.0300000000000002,0.6,0.13,0.41,0.35,0.07
GROCERY,300.0,2000000.0,5000.0,8000000.0,600.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.55,0.11,7.8,0.45999999999999996,5.82,1.58,0.09,1.18,0.48,0.1
HOUSE,300.0,2000000.0,5000.0,8000000.0,600.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,0.0,0.3,0.03,0.5,0.0,0.5,0.05,0.0,0.05,0.06,0.01
HEALTHCARE,300.0,2000000.0,5000.0,8000000.0,600.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.6900000000000001,0.14,3.18,1.0499999999999998,1.9800000000000002,0.65,0.21,0.4,0.6,0.12
LARGEOFFICE,300.0,2000000.0,5000.0,8000000.0,600.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.61,0.12,2.44,1.1600000000000001,1.85,0.5,0.24,0.38,0.41,0.08
LODGING,300.0,2000000.0,5000.0,8000000.0,600.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.4,0.08,2.5300000000000002,0.56,2.7,0.51,0.11,0.55,0.38,0.08
RESTAURANT,300.0,2000000.0,5000.0,8000000.0,600.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.77,0.16,8.990000000000002,0.94,3.95,1.83,0.19,0.8,0.67,0.14
RETAIL,300.0,2000000.0,5000.0,8000000.0,600.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.49000000000000005,0.1,4.630000000000001,0.4,3.3200000000000003,0.94,0.08,0.67,0.43,0.09
SMALLOFFICE,300.0,2000000.0,5000.0,8000000.0,600.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,1.0,0.38,0.08,3.69,1.23,3.2200000000000006,0.75,0.25,0.65,0.34,0.07
TOWNHOUSE,300.0,2000000.0,5000.0,8000000.0,600.0,2.0,1.0,10000.0,1000.0,1200.0,400.0,15.0,22.0,0.0,0.3,0.03,0.5,0.0,0.5,0.05,0.0,0.05,0.06,0.01
