group_id,dep1,dep2,dep3,dep4,dep5,dep6,dep7
BASALT 1101_115,1,0,,,,,
BASALT 1105_1,1,0,,,,,
BASALT 1106_121,BASALT 1106_127,,,,,,
BASALT 1106_127,1,0,,,,,
CALISTOGA 1101_123,CALISTOGA 1101_26,CALISTOGA 1101_20,CALISTOGA 1101_21,,,,
CALISTOGA 1101_20,CALISTOGA 1101_123,,,,,,
CALISTOGA 1101_21,CALISTOGA 1101_123,,,,,,
CALISTOGA 1101_22,CALISTOGA 1101_26,,,,,,
CALISTOGA 1101_23,CALISTOGA 1101_26,,,,,,
CALISTOGA 1101_25,1,0,,,,,
CALISTOGA 1101_26,CALISTOGA 1101_22,CALISTOGA 1101_23,CALISTOGA 1101_25,CALISTOGA 1101_123,,,
CALISTOGA 1102_51,1,0,,,,,
CALISTOGA 1102_52,CALISTOGA 1102_58,,,,,,
CALISTOGA 1102_53,CALISTOGA 1102_58,,,,,,
CALISTOGA 1102_54,CALISTOGA 1102_58,,,,,,
CALISTOGA 1102_55,CALISTOGA 1102_58,,,,,,
CALISTOGA 1102_56,CALISTOGA 1102_58,,,,,,
CALISTOGA 1102_57,CALISTOGA 1102_58,,,,,,
CALISTOGA 1102_58,CALISTOGA 1102_51,CALISTOGA 1102_56,CALISTOGA 1102_57,CALISTOGA 1102_52,CALISTOGA 1102_53,CALISTOGA 1102_54,CALISTOGA 1102_55
HIGHWAY 1101_125,1,0,,,,,
HIGHWAY 1102_124,1,0,,,,,
HIGHWAY 1103_27,1,0,,,,,
HIGHWAY 1104_120,1,0,,,,,
HIGHWAY 1105_84,1,0,,,,,
HIGHWAY 1106_73,1,0,,,,,
MONTICELLO 1101_64,MONTICELLO 1101_65,,,,,,
MONTICELLO 1101_65,1,0,,,,,
NAPA 1102_109,1,0,,,,,
NAPA 1102_110,NAPA 1102_109,,,,,,
NAPA 1103_108,1,0,,,,,
NAPA 1105_82,1,0,,,,,
NAPA 1106_42,1,0,,,,,
NAPA 1109_126,1,0,,,,,
NAPA 1110_43,1,0,,,,,
NAPA 1112_61,NAPA 1112_63,,,,,,
NAPA 1112_62,NAPA 1112_63,,,,,,
NAPA 1112_63,1,0,,,,,
PUEBLO 1102_107,1,0,,,,,
PUEBLO 1103_85,1,0,,,,,
PUEBLO 1104_17,PUEBLO 1104_21,,,,,,
PUEBLO 1104_18,PUEBLO 1104_19,PUEBLO 1104_20,,,,,
PUEBLO 1104_19,PUEBLO 1104_18,,,,,,
PUEBLO 1104_20,PUEBLO 1104_18,PUEBLO 1104_21,,,,,
PUEBLO 1104_21,1,0,,,,,
PUEBLO 1105_86,PUEBLO 1105_88,,,,,,
PUEBLO 1105_87,PUEBLO 1105_88,,,,,,
PUEBLO 1105_88,1,0,,,,,
PUEBLO 2101_122,1,0,,,,,
PUEBLO 2102_100,PUEBLO 2102_102,,,,,,
PUEBLO 2102_101,PUEBLO 2102_102,,,,,,
PUEBLO 2102_102,1,0,,,,,
PUEBLO 2102_91,PUEBLO 2102_102,,,,,,
PUEBLO 2102_92,PUEBLO 2102_102,,,,,,
PUEBLO 2102_93,PUEBLO 2102_102,,,,,,
PUEBLO 2102_94,PUEBLO 2102_102,,,,,,
PUEBLO 2102_96,PUEBLO 2102_102,,,,,,
PUEBLO 2102_97,PUEBLO 2102_102,,,,,,
