node,class,bustype,busflags,group_id,parent,from,to,load,lat,long,length,height
node_14,substation,SWING,HASSOURCE,nodevolts,,,,,35.387067,-119.000517,,
substation_meter,meter,PQ,HASSOURCE,nodevolts,,,,,35.387067,-119.000517,,
line14to11,overhead_line,,,,,node_14,load_11,,35.387067,-119.000942,250.0,
load_11,load,PQ,HASSOURCE,area_A,,,,,35.387067,-119.001367,,
meter_25,triplex_meter,PQ,,load_11,node_11A,,,0.0,35.387067,-119.001367,,
meter_26,triplex_meter,PQ,,load_11,node_11A,,,0.0,35.387067,-119.001367,,
meter_27,triplex_meter,PQ,,load_11,node_11A,,,0.0,35.387067,-119.001367,,
meter_28,triplex_meter,PQ,,load_11,node_11A,,,0.0,35.387067,-119.001367,,
node_11A,triplex_node,PQ,,,,,,,,,,
line14to10,overhead_line,,,,,node_14,load_10,,35.386725,-119.000517,250.0,
load_10,load,PQ,HASSOURCE,area_A,,,,,35.386383,-119.000517,,
meter_23,triplex_meter,PQ,,load_10,node_10A,,,0.0,35.386383,-119.000517,,
meter_24,triplex_meter,PQ,,load_10,node_10A,,,0.0,35.386383,-119.000517,,
node_10A,triplex_node,PQ,,,,,,,,,,
node_150,node,SWING,HASSOURCE,nodevolts,,,,,35.386067,-119.003150,,
node_15001,node,PQ,HASSOURCE,nodevolts,,,,,35.386067,-119.003150,,
node_149,node,PQ,HASSOURCE,nodevolts,,,,,35.386067,-119.003150,,
line149to1,overhead_line,,,,,node_149,load_1,,35.385675,-119.002675,400.0,
load_1,load,PQ,HASSOURCE,area_A,,,,,35.385283,-119.002200,,
meter_1,triplex_meter,PQ,,load_1,node_1A,,,0.0,35.385283,-119.002200,,
meter_2,triplex_meter,PQ,,load_1,node_1A,,,0.0,35.385283,-119.002200,,
meter_3,triplex_meter,PQ,,load_1,node_1A,,,0.0,35.385283,-119.002200,,
meter_4,triplex_meter,PQ,,load_1,node_1A,,,0.0,35.385283,-119.002200,,
line1to2,overhead_line,,,,,load_1,load_2,,35.385525,-119.002200,175.0,
load_2,load,PQ,HASSOURCE,area_A,,,,,35.385767,-119.002200,,
meter_5,triplex_meter,PQ,,load_2,node_2B,,,0.0,35.385767,-119.002200,,
meter_6,triplex_meter,PQ,,load_2,node_2B,,,0.0,35.385767,-119.002200,,
node_2B,triplex_node,PQ,,,,,,,,,,
line1to3,overhead_line,,,,,load_1,node_3,,35.384942,-119.002200,250.0,
